rep,ID,eta_beta_exp_simulated,eta_delta0_simulated,eta_p_simulated,eta_td_simulated,eta_b_exp_simulated,eta_h_0_simulated,eta_tc_simulated,eta_sigma_simulated,eta_rho_exp_simulated,eta_q_exp_simulated,eta_ifn0_simulated,split,color,filter
1,7,1.95848,0.108322,-0.437026,-0.73594,-0.56831,1.0047,-0.893423,-1.36008,2.3692,1.05155,-0.217229,All,#4682B4,0
2,7,2.43342,-2.62446,-1.43825,0.735632,-1.60767,1.14226,-0.880269,0.323687,0.580811,-1.72785,0.548055,All,#4682B4,0
3,7,1.1408,0.210922,-0.32809,0.810921,-1.76222,0.218883,-1.00808,1.27426,0.575237,-0.443735,-0.588542,All,#4682B4,0
4,7,0.172802,-0.373815,0.0294711,0.446937,-1.29737,0.229172,-0.261815,-1.45265,1.76776,-1.16465,-0.498744,All,#4682B4,0
5,7,1.33589,0.468212,-0.358481,0.0437986,-0.884453,1.22937,-0.456427,0.620905,1.33259,1.0623,2.13535,All,#4682B4,0
6,7,0.298118,0.558425,0.691077,1.36187,-1.95115,0.82909,-0.640394,0.969841,0.522721,0.444983,-0.258676,All,#4682B4,0
7,7,1.99022,-0.0508124,-0.188846,0.561341,-0.28176,1.00213,-0.78858,0.254926,2.23314,1.13415,0.562851,All,#4682B4,0
8,7,-1.37337,0.672704,-0.0929223,0.971164,-0.868537,0.272789,1.66742,-0.0551862,1.63398,1.01633,1.02037,All,#4682B4,0
9,7,-0.428363,1.0461,-0.864414,-0.0587631,-1.2268,0.371763,-0.370154,1.13184,0.98915,-0.516107,-0.0223257,All,#4682B4,0
10,7,0.249634,-0.298178,0.188713,0.160797,-2.04304,1.15269,-0.0473594,0.465682,0.444906,-0.254535,1.85398,All,#4682B4,0
1,8,0.506778,-1.23475,-0.59222,0.888473,0.298795,1.014,-0.26042,-0.903426,-1.67321,-0.619203,0.129104,All,#4682B4,0
2,8,-0.0721137,-0.322772,-0.0727564,1.80801,0.705289,-0.304839,0.800853,-1.87418,-0.630721,-0.299116,-0.370004,All,#4682B4,0
3,8,-0.508443,-0.728808,-1.30809,-0.268139,1.02497,-0.286141,-0.0281098,-1.51792,-0.46007,-2.41745,1.60869,All,#4682B4,0
4,8,0.560436,-0.973271,0.903574,0.314952,-0.441451,0.662648,-1.82679,-0.565743,-0.871113,-0.802308,-0.904039,All,#4682B4,0
5,8,-0.685081,-0.475944,0.0812779,-0.904888,0.250102,-0.987707,-0.246216,-0.554972,-0.394381,-0.981117,0.808755,All,#4682B4,0
6,8,0.387964,-1.87096,1.45346,1.95751,0.377856,-1.02608,-0.162627,-0.281832,-1.39161,-1.58786,0.831729,All,#4682B4,0
7,8,-0.0479833,-2.19559,1.55541,1.02329,0.377696,-0.0739376,0.0890464,-0.351154,-0.293608,0.116278,0.779726,All,#4682B4,0
8,8,-1.78627,-0.603942,1.51066,0.954831,0.684768,-1.09284,0.327831,-0.0676428,0.0738655,-0.310521,0.844908,All,#4682B4,0
9,8,-1.69022,-1.34007,1.33418,1.53047,-0.203811,0.33238,-0.0262049,-0.569456,-0.548945,0.302863,-0.177514,All,#4682B4,0
10,8,-1.31823,-0.998158,-0.348005,1.91448,0.449089,0.171631,0.62854,-0.774276,-1.68448,-0.780684,-0.0188662,All,#4682B4,0
1,9,1.77549,0.171024,0.724917,-0.328382,-0.404136,0.0735871,-0.813569,1.114,-0.363662,-0.031239,-0.526354,All,#4682B4,0
2,9,0.725973,-0.246083,0.514124,-0.131271,0.399021,-1.48525,0.082726,-0.801021,-0.900798,0.424138,0.0676595,All,#4682B4,0
3,9,1.28054,-0.0701884,0.326769,-0.284751,0.227451,-1.26345,0.58688,-2.13833,-2.1118,1.32753,0.476613,All,#4682B4,0
