pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4,0,-4,0,All
-1.50843,0.00255754,-2.54123,0.000255754,-1.70191,0.00255754,All
-1.42716,0.00511509,-2.53,0.000511509,-1.52136,0.00511509,All
-1.3538,0.00767263,-2.52758,0.000767263,-1.46399,0.00767263,All
-1.34578,0.0102302,-2.5243,0.00102302,-1.38246,0.0102302,All
-1.23677,0.0127877,-2.48675,0.00127877,-1.34446,0.0127877,All
-1.20464,0.0153453,-2.48554,0.00153453,-1.29161,0.0153453,All
-1.17677,0.0179028,-2.47874,0.00179028,-1.26376,0.0179028,All
-1.15117,0.0204604,-2.47457,0.00204604,-1.20984,0.0204604,All
-1.15,0.0230179,-2.46765,0.00230179,-1.15349,0.0230179,All
-1.078,0.0255754,-2.46605,0.00255754,-1.06045,0.0255754,All
-1.02151,0.028133,-2.44367,0.0028133,-1.04984,0.028133,All
-0.996467,0.0306905,-2.44349,0.00306905,-1.03584,0.0306905,All
-0.996259,0.0332481,-2.43558,0.00332481,-0.987755,0.0332481,All
-0.980272,0.0358056,-2.43357,0.00358056,-0.976187,0.0358056,All
-0.974509,0.0383632,-2.40537,0.00383632,-0.96988,0.0383632,All
-0.960486,0.0409207,-2.39768,0.00409207,-0.940446,0.0409207,All
-0.952846,0.0434783,-2.39605,0.00434783,-0.937628,0.0434783,All
-0.92405,0.0460358,-2.37872,0.00460358,-0.937569,0.0460358,All
-0.917556,0.0485934,-2.3785,0.00485934,-0.918778,0.0485934,All
-0.909664,0.0511509,-2.37453,0.00511509,-0.916428,0.0511509,All
-0.900821,0.0537084,-2.34038,0.00537084,-0.908494,0.0537084,All
-0.900167,0.056266,-2.33234,0.0056266,-0.8638,0.056266,All
-0.884281,0.0588235,-2.31423,0.00588235,-0.863767,0.0588235,All
-0.883402,0.0613811,-2.29268,0.00613811,-0.860634,0.0613811,All
-0.883101,0.0639386,-2.28376,0.00639386,-0.843673,0.0639386,All
-0.876024,0.0664962,-2.27466,0.00664962,-0.826159,0.0664962,All
-0.863741,0.0690537,-2.2704,0.00690537,-0.81722,0.0690537,All
-0.86038,0.0716113,-2.267,0.00716113,-0.814088,0.0716113,All
-0.83949,0.0741688,-2.26662,0.00741688,-0.797265,0.0741688,All
-0.824841,0.0767263,-2.26531,0.00767263,-0.788044,0.0767263,All
-0.810257,0.0792839,-2.25968,0.00792839,-0.783667,0.0792839,All
-0.808691,0.0818414,-2.25853,0.00818414,-0.782796,0.0818414,All
-0.803671,0.084399,-2.25147,0.0084399,-0.771261,0.084399,All
-0.79173,0.0869565,-2.23721,0.00869565,-0.737679,0.0869565,All
-0.790173,0.0895141,-2.22626,0.00895141,-0.732292,0.0895141,All
-0.785819,0.0920716,-2.22009,0.00920716,-0.731169,0.0920716,All
-0.784802,0.0946292,-2.21462,0.00946292,-0.731109,0.0946292,All
-0.781495,0.0971867,-2.21151,0.00971867,-0.726935,0.0971867,All
-0.779727,0.0997442,-2.21117,0.00997442,-0.719414,0.0997442,All
-0.754897,0.102302,-2.20367,0.0102302,-0.699332,0.102302,All
-0.734686,0.104859,-2.20343,0.0104859,-0.654317,0.104859,All
-0.73409,0.107417,-2.20108,0.0107417,-0.639501,0.107417,All
-0.733053,0.109974,-2.18094,0.0109974,-0.635022,0.109974,All
-0.732722,0.112532,-2.17641,0.0112532,-0.611832,0.112532,All
-0.724065,0.11509,-2.17617,0.011509,-0.606215,0.11509,All
-0.722259,0.117647,-2.16176,0.0117647,-0.592573,0.117647,All
-0.722162,0.120205,-2.15737,0.0120205,-0.580536,0.120205,All
-0.700962,0.122762,-2.15505,0.0122762,-0.571715,0.122762,All
-0.664098,0.12532,-2.15399,0.012532,-0.569019,0.12532,All
-0.663946,0.127877,-2.14415,0.0127877,-0.556417,0.127877,All
-0.65941,0.130435,-2.13305,0.0130435,-0.547657,0.130435,All
-0.656201,0.132992,-2.11406,0.0132992,-0.545995,0.132992,All
-0.653414,0.13555,-2.10985,0.013555,-0.515413,0.13555,All
-0.650598,0.138107,-2.10826,0.0138107,-0.499174,0.138107,All
-0.644709,0.140665,-2.10796,0.0140665,-0.486659,0.140665,All
-0.641235,0.143223,-2.09872,0.0143223,-0.48568,0.143223,All
-0.639951,0.14578,-2.09461,0.014578,-0.48352,0.14578,All
-0.638639,0.148338,-2.09113,0.0148338,-0.482542,0.148338,All
-0.630799,0.150895,-2.08734,0.0150895,-0.480761,0.150895,All
-0.626427,0.153453,-2.08207,0.0153453,-0.47517,0.153453,All
-0.626397,0.15601,-2.08006,0.015601,-0.469512,0.15601,All
-0.624465,0.158568,-2.07952,0.0158568,-0.466021,0.158568,All
-0.620623,0.161125,-2.07897,0.0161125,-0.463718,0.161125,All
-0.619188,0.163683,-2.07708,0.0163683,-0.455324,0.163683,All
-0.617407,0.16624,-2.07669,0.016624,-0.452407,0.16624,All
-0.611539,0.168798,-2.07437,0.0168798,-0.445726,0.168798,All
-0.608703,0.171355,-2.07379,0.0171355,-0.440367,0.171355,All
-0.607434,0.173913,-2.07226,0.0173913,-0.437134,0.173913,All
-0.603663,0.176471,-2.06564,0.0176471,-0.435265,0.176471,All
-0.596173,0.179028,-2.05936,0.0179028,-0.41396,0.179028,All
-0.593706,0.181586,-2.05828,0.0181586,-0.396799,0.181586,All
-0.592679,0.184143,-2.05176,0.0184143,-0.393509,0.184143,All
-0.588079,0.186701,-2.02415,0.0186701,-0.387128,0.186701,All
-0.587117,0.189258,-2.01496,0.0189258,-0.385672,0.189258,All
-0.586511,0.191816,-2.01204,0.0191816,-0.384131,0.191816,All
-0.580702,0.194373,-2.0085,0.0194373,-0.381254,0.194373,All
