standEta_beta_exp_abscissa,standEta_beta_exp_cdf,standEta_delta0_abscissa,standEta_delta0_cdf,standEta_p_abscissa,standEta_p_cdf,standEta_td_abscissa,standEta_td_cdf,standEta_b_exp_abscissa,standEta_b_exp_cdf,standEta_h_0_abscissa,standEta_h_0_cdf,standEta_tc_abscissa,standEta_tc_cdf,standEta_sigma_abscissa,standEta_sigma_cdf,standEta_rho_exp_abscissa,standEta_rho_exp_cdf,standEta_q_exp_abscissa,standEta_q_exp_cdf,standEta_ifn0_abscissa,standEta_ifn0_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,All
-1.68905,0.00833333,-2.2904,0.00833333,-2.48572,0.00833333,-2.5562,0.00833333,-1.89743,0.00833333,-2.43661,0.00833333,-2.18318,0.00833333,-2.11795,0.00833333,-1.82553,0.00833333,-2.47783,0.00833333,-1.60824,0.00833333,All
-1.61722,0.0166667,-2.156,0.0166667,-2.46029,0.0166667,-1.52416,0.0166667,-1.78859,0.0166667,-1.91535,0.0166667,-2.05419,0.0166667,-1.99937,0.0166667,-1.81357,0.0166667,-1.89705,0.0166667,-1.49917,0.0166667,All
-1.53278,0.025,-1.92465,0.025,-2.37311,0.025,-1.52133,0.025,-1.77634,0.025,-1.81692,0.025,-2.03919,0.025,-1.87534,0.025,-1.70817,0.025,-1.68842,0.025,-1.49349,0.025,All
-1.50953,0.0333333,-1.71567,0.0333333,-2.19157,0.0333333,-1.45173,0.0333333,-1.77591,0.0333333,-1.78096,0.0333333,-2.03242,0.0333333,-1.87048,0.0333333,-1.65196,0.0333333,-1.59164,0.0333333,-1.4685,0.0333333,All
-1.50805,0.0416667,-1.71208,0.0416667,-2.12816,0.0416667,-1.39902,0.0416667,-1.75009,0.0416667,-1.76872,0.0416667,-1.97768,0.0416667,-1.83882,0.0416667,-1.43545,0.0416667,-1.46932,0.0416667,-1.40873,0.0416667,All
-1.43275,0.05,-1.69178,0.05,-1.59393,0.05,-1.39545,0.05,-1.65239,0.05,-1.73234,0.05,-1.81335,0.05,-1.81479,0.05,-1.43236,0.05,-1.20103,0.05,-1.32714,0.05,All
-1.42631,0.0583333,-1.6893,0.0583333,-1.59185,0.0583333,-1.33163,0.0583333,-1.64114,0.0583333,-1.58006,0.0583333,-1.75177,0.0583333,-1.51186,0.0583333,-1.41561,0.0583333,-1.18162,0.0583333,-1.28226,0.0583333,All
-1.42095,0.0666667,-1.68758,0.0666667,-1.58458,0.0666667,-1.22347,0.0666667,-1.59315,0.0666667,-1.54498,0.0666667,-1.72822,0.0666667,-1.46611,0.0666667,-1.39874,0.0666667,-1.13552,0.0666667,-1.21838,0.0666667,All
-1.3845,0.075,-1.61854,0.075,-1.54099,0.075,-1.19465,0.075,-1.57075,0.075,-1.50057,0.075,-1.67337,0.075,-1.46109,0.075,-1.38053,0.075,-1.05804,0.075,-1.1713,0.075,All
-1.36666,0.0833333,-1.54143,0.0833333,-1.49632,0.0833333,-1.18138,0.0833333,-1.53768,0.0833333,-1.43251,0.0833333,-1.60538,0.0833333,-1.39471,0.0833333,-1.27177,0.0833333,-1.04915,0.0833333,-1.08533,0.0833333,All
-1.35834,0.0916667,-1.5408,0.0916667,-1.47161,0.0916667,-1.1475,0.0916667,-1.51073,0.0916667,-1.42649,0.0916667,-1.55447,0.0916667,-1.39191,0.0916667,-1.26481,0.0916667,-0.943203,0.0916667,-1.05556,0.0916667,All
-1.35218,0.1,-1.54019,0.1,-1.42653,0.1,-1.13879,0.1,-1.47783,0.1,-1.41385,0.1,-1.47246,0.1,-1.36717,0.1,-1.21307,0.1,-0.938363,0.1,-1.03368,0.1,All
