ID,standEta_beta_exp_mean,standEta_beta_exp_mode,standEta_delta0_mean,standEta_delta0_mode,standEta_p_mean,standEta_p_mode,standEta_td_mean,standEta_td_mode,standEta_b_exp_mean,standEta_b_exp_mode,standEta_h_0_mean,standEta_h_0_mode,standEta_tc_mean,standEta_tc_mode,standEta_sigma_mean,standEta_sigma_mode,standEta_rho_exp_mean,standEta_rho_exp_mode,standEta_q_exp_mean,standEta_q_exp_mode,standEta_ifn0_mean,standEta_ifn0_mode,filter
7,0.798369,0.898404,0.828692,0.839479,-1.62986,-1.68952,0.522344,0.565704,-1.42533,-1.45972,1.58222,1.57912,0.18641,-0.0235415,0.32095,0.268725,1.57991,1.59576,0.202491,0.222058,0.546045,0.484719,0
8,-1.05746,-1.14494,-0.672524,-0.69657,1.03196,1.11925,0.490962,0.586468,0.781574,0.72696,-0.65217,-0.621242,-0.714728,-0.716121,-1.01716,-0.985989,-1.07251,-1.08371,-0.507391,-0.592023,-0.287466,-0.215492,0
9,-0.178161,-0.145896,-0.516135,-0.493376,0.715835,0.661658,-0.379529,-0.29329,0.621688,0.660593,-0.959755,-0.968074,-0.19044,-0.175603,-0.34638,-0.329158,-0.812078,-0.81282,0.24256,0.269868,-0.165554,-0.119388,0
10,0.39253,0.37833,-0.72488,-0.703951,0.568794,0.560744,-1.13303,-1.05969,0.756008,0.766341,-0.875649,-0.859534,0.63841,0.565572,0.956334,0.95477,-0.434203,-0.424544,0.419529,0.407259,-0.283234,-0.310419,0
11,-1.1779,-1.25153,-1.31475,-1.313,1.02821,1.15311,-0.396221,-0.390645,1.23344,1.15719,-1.15315,-1.12953,-0.754958,-0.73032,-0.107654,-0.0954094,-1.10458,-1.18929,0.0474474,-0.174272,-0.388678,-0.573396,0
12,-0.776749,-0.787453,-1.47191,-1.46662,-0.908469,-0.845257,2.33608,2.38655,1.02655,0.986348,-1.0019,-0.956278,-1.72859,-1.74374,-0.592662,-0.511439,-0.297848,-0.348326,2.16054,2.04518,2.25739,2.25948,0
13,1.83985,1.77608,1.01051,0.980471,-0.577264,-0.619151,-1.31638,-1.27998,-1.16717,-1.14264,0.534309,0.556595,1.67332,1.62447,1.13366,1.13556,0.905586,0.894763,0.00341991,-0.0327047,-0.328577,-0.366309,0
14,0.1399,0.061196,0.651317,0.627613,0.599993,0.61898,-0.660729,-0.597998,0.00534423,-0.0151954,0.27067,0.321466,0.710499,0.712696,0.296188,0.283731,-0.225169,-0.27487,-0.969461,-1.00248,-0.783359,-0.796193,0
15,1.09349,1.12297,0.73401,0.78772,-1.38567,-1.41274,0.363088,0.458412,-0.670023,-0.694766,0.729367,0.746417,1.03144,0.92926,1.88226,1.91211,1.4771,1.47571,0.678614,0.659818,0.973831,0.987178,0
16,0.323261,0.29922,0.747973,0.752812,-0.191544,-0.155591,-0.423662,-0.351441,-1.00883,-0.990895,0.786436,0.782564,0.307712,0.340313,-0.671432,-0.685319,0.581528,0.60643,-0.709625,-0.76817,-0.607611,-0.580663,0
17,-0.510271,-0.511655,0.536615,0.550194,-0.0272443,-0.0375297,0.426584,0.56629,-0.648168,-0.647898,0.940938,0.942344,-0.520443,-0.5205,-0.970241,-0.957607,0.200552,0.193442,-0.872031,-0.857161,-0.401675,-0.378207,0
18,-1.26532,-1.28421,-0.663186,-0.671805,0.808829,0.832039,0.757524,0.806963,0.975046,0.941867,-0.608383,-0.584885,-1.09835,-1.08689,-0.982703,-0.976903,-1.07875,-1.1093,-0.114491,-0.199204,0.0412648,0.0346328,0
