simulations,OFV
100,1671.28
200,1649.36
300,1636
400,1632.56
500,1629.77
600,1632.11
700,1630.72
800,1629.48
900,1630.27
1000,1629.76
1100,1624.41
1200,1622.94
1300,1617.43
1400,1616.94
1500,1617.26
1600,1612.79
1700,1613.09
1800,1611.79
1900,1606.58
2000,1607.41
2100,1607.82
2200,1608.61
2300,1608.07
2400,1608.81
2500,1609.39
2600,1609.92
2700,1610.73
2800,1610.8
2900,1611.36
3000,1611.45
3100,1611.38
3200,1609.59
3300,1609.97
3400,1609.72
3500,1610.19
3600,1610.63
3700,1609.17
3800,1609.31
3900,1609.37
4000,1609.6
4100,1609.97
4200,1610.26
4300,1610.47
4400,1610.68
4500,1611.01
4600,1607.82
4700,1607.89
4800,1608.05
4900,1608.32
5000,1608.71
5100,1608.78
5200,1609.1
5300,1609.33
5400,1609.61
5500,1609.72
5600,1609.78
5700,1609.88
5800,1610.16
5900,1610.36
6000,1610.61
6100,1610.69
6200,1610.5
6300,1610.69
6400,1610.63
6500,1610.82
6600,1610.35
6700,1610.53
6800,1610.65
6900,1610.77
7000,1610.77
7100,1610.56
7200,1610.84
7300,1610.99
7400,1611.18
7500,1611.25
7600,1611.4
7700,1611.64
7800,1611.86
7900,1612.07
8000,1612.24
8100,1612.44
8200,1612.67
8300,1612.83
8400,1613.05
8500,1612.35
8600,1612.56
8700,1612.75
8800,1612.91
8900,1613.07
9000,1613.16
9100,1613.39
9200,1613.53
9300,1613.53
9400,1613.6
9500,1613.79
9600,1613.86
9700,1614.04
9800,1614.1
9900,1613.98
10000,1614.14
