time,empiricalCdf,theoreticalCdf,piLower,piUpper,split
7.15828e-19,0.150895,0.229858,0.164376,0.323396,All
0.0493939,0.245524,0.380141,0.271607,0.522415,All
0.0987879,0.278772,0.394768,0.279409,0.538585,All
0.148182,0.296675,0.409198,0.29412,0.552071,All
0.197576,0.306905,0.420561,0.312575,0.565814,All
0.24697,0.327366,0.434784,0.327252,0.57265,All
0.296364,0.352941,0.446907,0.34398,0.583252,All
0.345758,0.381074,0.461085,0.358533,0.593198,All
0.395152,0.398977,0.475746,0.373625,0.610841,All
0.444545,0.424552,0.486261,0.385749,0.622763,All
0.493939,0.450128,0.502387,0.398313,0.640021,All
0.543333,0.478261,0.514218,0.414061,0.647841,All
0.592727,0.506394,0.527846,0.431164,0.656909,All
0.642121,0.529412,0.541569,0.447977,0.672494,All
0.691515,0.542199,0.554617,0.465613,0.682313,All
0.740909,0.565217,0.567409,0.479272,0.693614,All
0.790303,0.575448,0.581955,0.491592,0.706611,All
0.839697,0.595908,0.596221,0.507848,0.720208,All
0.889091,0.598465,0.60885,0.520936,0.730227,All
0.938485,0.601023,0.620731,0.530751,0.736091,All
0.987879,0.613811,0.632677,0.545566,0.74664,All
1.03727,0.634271,0.645086,0.55556,0.754984,All
1.08667,0.662404,0.655776,0.567979,0.767133,All
1.13606,0.670077,0.667461,0.582249,0.774366,All
1.18545,0.68798,0.678445,0.594246,0.785399,All
1.23485,0.705882,0.690307,0.60239,0.793694,All
1.28424,0.71867,0.699647,0.616396,0.810855,All
1.33364,0.71867,0.710557,0.625783,0.81956,All
1.38303,0.71867,0.720482,0.635132,0.833724,All
1.43242,0.71867,0.729761,0.64818,0.843118,All
1.48182,0.71867,0.740566,0.656324,0.856605,All
1.53121,0.71867,0.75,0.668241,0.865892,All
1.58061,0.721228,0.757757,0.680521,0.877625,All
1.63,0.726343,0.766557,0.69112,0.892399,All
1.67939,0.741688,0.773585,0.699171,0.898954,All
1.72879,0.744246,0.783076,0.709959,0.915855,All
1.77818,0.757033,0.792735,0.72,0.92462,All
1.82758,0.764706,0.802273,0.728589,0.930132,All
1.87697,0.772379,0.809468,0.73484,0.947206,All
1.92636,0.774936,0.818616,0.746112,0.951719,All
1.97576,0.777494,0.825928,0.752673,0.960462,All
2.02515,0.782609,0.833534,0.762424,0.96446,All
2.07455,0.785166,0.839765,0.772511,0.970572,All
2.12394,0.800512,0.846063,0.780638,0.98697,All
2.17333,0.805627,0.854142,0.788206,0.992918,All
2.22273,0.818414,0.860268,0.794921,0.994334,All
2.27212,0.828645,0.865896,0.804857,0.994334,All
2.32152,0.836317,0.872108,0.810714,0.997462,All
2.37091,0.838875,0.877575,0.818077,1,All
2.4203,0.838875,0.883028,0.827095,1,All
2.4697,0.838875,0.889279,0.832518,1,All
2.51909,0.838875,0.89412,0.839202,1,All
2.56848,0.84399,0.899038,0.845235,1,All
2.61788,0.84399,0.904817,0.850766,1,All
2.66727,0.849105,0.909518,0.856801,1,All
2.71667,0.851662,0.91361,0.864022,1,All
2.76606,0.859335,0.918159,0.869724,1,All
2.81545,0.86445,0.922798,0.874991,1,All
2.86485,0.872123,0.927251,0.880582,1,All
2.91424,0.879795,0.930955,0.883918,1,All
2.96364,0.887468,0.935975,0.889047,1,All
3.01303,0.895141,0.940142,0.892855,1,All
3.06242,0.895141,0.942238,0.898464,1,All
3.11182,0.897698,0.945042,0.901754,1,All
3.16121,0.897698,0.948357,0.909093,1,All
3.21061,0.905371,0.951992,0.912833,1,All
3.26,0.907928,0.95428,0.916966,1,All
3.30939,0.910486,0.957647,0.921065,1,All
3.35879,0.918159,0.960648,0.925535,1,All
3.40818,0.925831,0.962963,0.929182,1,All
3.45758,0.928389,0.964953,0.933815,1,All
3.50697,0.930946,0.967856,0.936824,1,All
3.55636,0.933504,0.969484,0.940687,1,All
3.60576,0.941176,0.971897,0.944394,1,All
3.65515,0.943734,0.973995,0.947742,1,All
3.70455,0.951407,0.976077,0.950588,1,All
3.75394,0.956522,0.977221,0.953827,1,All
3.80333,0.959079,0.978898,0.956149,1,All
3.85273,0.961637,0.980907,0.959427,1,All
3.90212,0.966752,0.983051,0.961759,1,All
3.95152,0.971867,0.98389,0.964789,1,All
4.00091,0.976982,0.985612,0.96729,1,All
4.0503,0.976982,0.987834,0.969519,1,All
4.0997,0.976982,0.988235,0.971257,1,All
4.14909,0.97954,0.990279,0.973362,1,All
4.19848,0.97954,0.990566,0.975669,1,All
4.24788,0.982097,0.99096,0.978287,1,All
4.29727,0.984655,0.992908,0.978773,1,All
4.34667,0.987212,0.993031,0.980952,1,All
4.39606,0.98977,0.99514,0.983234,1,All
4.44545,0.992327,0.995277,0.985366,1,All
4.49485,0.994885,0.995397,0.985714,1,All
4.54424,0.994885,0.99759,0.988095,1,All
4.59364,0.994885,0.997625,0.988372,1,All
4.64303,0.994885,0.997653,0.990643,1,All
4.69242,0.997442,0.997722,0.992762,1,All
4.74182,0.997442,1,0.995018,1,All
4.79121,0.997442,1,0.995272,1,All
4.84061,0.997442,1,0.997596,1,All
4.89,1,1,1,1,All
