rep,ID,time,y1,y1_simBlq_simulated,indivPredSimulated,censored,split,color,filter
1,7,1,3,1.15699,0,1,All,#4682B4,0
2,7,1,3,0.937752,0,1,All,#4682B4,0
3,7,1,3,0.100013,0,1,All,#4682B4,0
4,7,1,3,0.836998,0,1,All,#4682B4,0
5,7,1,3,0.903195,0,1,All,#4682B4,0
6,7,1,3,0.126653,0,1,All,#4682B4,0
7,7,1,3,0.607735,0,1,All,#4682B4,0
8,7,1,3,0.702741,0,1,All,#4682B4,0
9,7,1,3,0.581607,0,1,All,#4682B4,0
10,7,1,3,0.596966,0,1,All,#4682B4,0
1,7,1.5,3,0.969427,0,1,All,#4682B4,0
2,7,1.5,3,0.0388608,0,1,All,#4682B4,0
3,7,1.5,3,0.0345519,0,1,All,#4682B4,0
4,7,1.5,3,0.917894,0,1,All,#4682B4,0
5,7,1.5,3,0.963952,0,1,All,#4682B4,0
6,7,1.5,3,0.336399,0,1,All,#4682B4,0
7,7,1.5,3,0.282865,0,1,All,#4682B4,0
8,7,1.5,3,0.375686,0,1,All,#4682B4,0
9,7,1.5,3,0.443527,0,1,All,#4682B4,0
10,7,1.5,3,0.724073,0,1,All,#4682B4,0
1,7,2,3,0.481102,0,1,All,#4682B4,0
2,7,2,3,0.0995015,0,1,All,#4682B4,0
3,7,2,3,0.330564,0,1,All,#4682B4,0
4,7,2,3,0.584803,0,1,All,#4682B4,0
5,7,2,3,0.456084,0,1,All,#4682B4,0
6,7,2,3,0.471637,0,1,All,#4682B4,0
7,7,2,3,1.41752,0,1,All,#4682B4,0
8,7,2,3,0.366582,0,1,All,#4682B4,0
9,7,2,3,0.46367,0,1,All,#4682B4,0
10,7,2,3,1.41431,0,1,All,#4682B4,0
1,7,2.5,3,1.78485,1.02532,1,All,#4682B4,0
2,7,2.5,3,0.739722,0,1,All,#4682B4,0
3,7,2.5,3,0.634423,0.513648,1,All,#4682B4,0
4,7,2.5,3,1.78141,1.39559,1,All,#4682B4,0
5,7,2.5,3,0.139431,0,1,All,#4682B4,0
6,7,2.5,3,1.55715,0,1,All,#4682B4,0
7,7,2.5,3,0.341255,0,1,All,#4682B4,0
8,7,2.5,3,0.768149,1.00876,1,All,#4682B4,0
9,7,2.5,3,2.1741,1.16761,1,All,#4682B4,0
10,7,2.5,3,1.60651,0.881334,1,All,#4682B4,0
1,7,3,3,2.97334,2.25962,1,All,#4682B4,0
2,7,3,3,1.23248,1.70778,1,All,#4682B4,0
3,7,3,3,2.07382,2.07887,1,All,#4682B4,0
4,7,3,3,2.15716,2.23372,1,All,#4682B4,0
5,7,3,3,2.73303,0.404638,1,All,#4682B4,0
6,7,3,3,2.79231,1.56499,1,All,#4682B4,0
7,7,3,3,0.355773,0.288465,1,All,#4682B4,0
8,7,3,3,1.94077,2.06408,1,All,#4682B4,0
9,7,3,3,1.92671,2.27519,1,All,#4682B4,0
10,7,3,3,2.42762,2.01789,1,All,#4682B4,0
1,7,3.5,3.949,3.949,3.42282,0,All,#4682B4,0
2,7,3.5,3.949,3.949,3.16996,0,All,#4682B4,0
3,7,3.5,3.949,3.949,3.30825,0,All,#4682B4,0
4,7,3.5,3.949,3.949,3.09595,0,All,#4682B4,0
5,7,3.5,3.949,3.949,2.1608,0,All,#4682B4,0
6,7,3.5,3.949,3.949,2.81631,0,All,#4682B4,0
7,7,3.5,3.949,3.949,2.47802,0,All,#4682B4,0
8,7,3.5,3.949,3.949,3.08781,0,All,#4682B4,0
9,7,3.5,3.949,3.949,3.32794,0,All,#4682B4,0
10,7,3.5,3.949,3.949,3.10675,0,All,#4682B4,0
1,7,4,3,2.56985,4.52066,1,All,#4682B4,0
2,7,4,3,2.18955,4.39926,1,All,#4682B4,0
3,7,4,3,2.69556,4.36061,1,All,#4682B4,0
4,7,4,3,2.96559,3.98491,1,All,#4682B4,0
5,7,4,3,2.95156,3.57916,1,All,#4682B4,0
6,7,4,3,2.91511,3.9805,1,All,#4682B4,0
7,7,4,3,1.8645,4.08548,1,All,#4682B4,0
8,7,4,3,2.3682,4.08219,1,All,#4682B4,0
9,7,4,3,2.90224,4.32936,1,All,#4682B4,0
10,7,4,3,2.87985,4.1776,1,All,#4682B4,0
1,7,4.5,5.246,5.246,5.5584,0,All,#4682B4,0
2,7,4.5,5.246,5.246,5.45098,0,All,#4682B4,0
3,7,4.5,5.246,5.246,5.27227,0,All,#4682B4,0
4,7,4.5,5.246,5.246,4.90104,0,All,#4682B4,0
5,7,4.5,5.246,5.246,4.76196,0,All,#4682B4,0
6,7,4.5,5.246,5.246,5.06707,0,All,#4682B4,0
