time,arithmeticMean,sd,split
1.8125,4.57863,1.33781,All
2.5,6.0525,1.65964,All
3,6.41222,1.90126,All
3.5,7.22591,1.58886,All
4,7.6035,1.0777,All
4.5,7.2615,1.61631,All
5,7.87764,1.12969,All
5.5,7.45617,0.809134,All
6,8.04933,0.914864,All
6.5,7.60442,1.28632,All
7,8.015,0.967711,All
7.5,7.21558,1.11797,All
8,7.0205,0.895396,All
8.5,6.25625,0.832765,All
9,6.36442,0.857829,All
9.5,6.10492,0.953405,All
10,5.72308,1.26476,All
10.5,5.43475,1.12832,All
11,5.22945,1.43228,All
11.5,5.6749,1.25195,All
12,5.19418,1.65815,All
12.5,5.34612,1.09574,All
13,4.72614,1.21882,All
13.5,4.834,0.788127,All
14,4.745,0.997048,All
14.5,4.4815,1.1584,All
15.25,3.7405,0.439216,All
16.1667,4.05517,0.431556,All
17.25,3.80167,0.666538,All
