iteration,convergenceIndicator,phase,beta_exp_pop,delta0_pop,p_pop,td_pop,b_exp_pop,h_0_pop,tc_pop,sigma_pop,phi_exp_pop,rho_exp_pop,dF_pop,q_exp_pop,omega_beta_exp,omega_delta0,omega_p,omega_td,omega_b_exp,omega_h_0,omega_tc,omega_sigma,omega_rho_exp,omega_q_exp,omega_ifn0,corr_beta_exp_b_exp,corr_delta0_b_exp,corr_h_0_b_exp,corr_ifn0_b_exp,corr_p_b_exp,corr_q_exp_b_exp,corr_rho_exp_b_exp,corr_sigma_b_exp,corr_tc_b_exp,corr_td_b_exp,corr_delta0_beta_exp,corr_h_0_beta_exp,corr_ifn0_beta_exp,corr_p_beta_exp,corr_q_exp_beta_exp,corr_rho_exp_beta_exp,corr_sigma_beta_exp,corr_tc_beta_exp,corr_td_beta_exp,corr_h_0_delta0,corr_ifn0_delta0,corr_p_delta0,corr_q_exp_delta0,corr_rho_exp_delta0,corr_sigma_delta0,corr_tc_delta0,corr_td_delta0,corr_ifn0_h_0,corr_p_h_0,corr_q_exp_h_0,corr_rho_exp_h_0,corr_sigma_h_0,corr_tc_h_0,corr_td_h_0,corr_p_ifn0,corr_q_exp_ifn0,corr_rho_exp_ifn0,corr_sigma_ifn0,corr_tc_ifn0,corr_td_ifn0,corr_q_exp_p,corr_rho_exp_p,corr_sigma_p,corr_tc_p,corr_td_p,corr_rho_exp_q_exp,corr_sigma_q_exp,corr_tc_q_exp,corr_td_q_exp,corr_sigma_rho_exp,corr_tc_rho_exp,corr_td_rho_exp,corr_tc_sigma,corr_td_sigma,corr_td_tc,a1,b2
1,1549.88,1,-3.68124,1.21266,2.71956,1.83291,-2.49572,0.64485,6.92641,0.428133,-1.53916,-1.524,0.987132,-4.39909,0.633759,1.07274,0.493478,0.451091,1.23558,0.198593,1.31881,0.667405,0.516993,0.075823,0.460428,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.862569,0.392874
2,1563.25,1,-3.72966,1.1051,2.69141,1.90604,-2.32999,0.629578,6.76291,0.440584,-1.52011,-1.58875,1.02287,-4.38464,0.405594,0.850627,0.33604,0.37856,0.738654,0.131388,0.981313,0.510118,0.38515,0.0684263,0.355788,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.923703,0.407616
3,1522.04,1,-3.71925,1.10055,2.69252,1.9102,-2.3201,0.629722,6.85059,0.439991,-1.49253,-1.59702,1.01718,-4.39412,0.376062,0.857912,0.306417,0.387431,0.689088,0.130215,0.988496,0.510163,0.391041,0.0670539,0.350143,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.939819,0.410571
4,1496.29,1,-3.75581,1.08833,2.69338,1.924,-2.31653,0.631262,6.92656,0.447568,-1.44651,-1.59134,1.03416,-4.39139,0.367377,0.864119,0.290106,0.388076,0.668936,0.124782,1.04409,0.522514,0.390053,0.0768381,0.341969,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.944019,0.41535
5,1489.19,1,-3.74121,1.06068,2.67929,1.91234,-2.32334,0.630604,6.83683,0.437087,-1.44568,-1.58127,0.997318,-4.39487,0.360661,0.907945,0.280999,0.397761,0.67621,0.123898,1.07516,0.537491,0.377172,0.073867,0.325788,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.939091,0.415711
6,1482.69,1,-3.73244,1.12179,2.6754,1.87355,-2.32841,0.629399,6.96583,0.432827,-1.44687,-1.57111,0.980936,-4.39939,0.351962,0.906224,0.290576,0.402731,0.687728,0.12206,1.11208,0.54197,0.387485,0.0803072,0.327496,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.940875,0.416576
7,1480.94,1,-3.71688,1.14975,2.66481,1.86552,-2.36524,0.632779,7.06924,0.428978,-1.42829,-1.5428,0.950698,-4.39265,0.359822,0.927844,0.285489,0.40662,0.679478,0.123549,1.09171,0.550139,0.413136,0.0788733,0.33114,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.92924,0.420056
8,1474.81,1,-3.7095,1.21608,2.65216,1.85166,-2.37565,0.635834,7.04043,0.4229,-1.4452,-1.53679,0.906942,-4.39288,0.361545,0.94486,0.294488,0.40716,0.693391,0.122121,1.07914,0.533205,0.423259,0.0738319,0.328881,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.951849,0.419869
9,1462.66,1,-3.68945,1.24044,2.67292,1.85347,-2.36097,0.632626,7.01655,0.430421,-1.43735,-1.52673,0.906829,-4.38703,0.348151,0.944252,0.293295,0.424593,0.710449,0.12158,1.08597,0.558858,0.427568,0.0827462,0.330279,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.947621,0.417341
10,1449.29,1,-3.66848,1.20934,2.67249,1.85848,-2.37265,0.632615,7.06918,0.427895,-1.44063,-1.5436,0.927553,-4.39008,0.349425,0.918729,0.294977,0.42502,0.705332,0.12007,1.09971,0.555851,0.423852,0.0866803,0.329817,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.940007,0.405889
