ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
7,1,0,3.38477,0.422907,0,3.3517,1.16682,0,3.3517,0.163372,0,2.81348,0.451261,1,All,#4682B4,0
7,1.5,0,1.43132,-0.0696911,0,3.3517,0.167006,0,3.3517,1.61954,0,1.3492,0.166643,1,All,#4682B4,0
7,2,0.189146,0.321834,-0.75351,0,3.3517,0.39506,0,3.3517,0.256942,0.189146,0.448331,-0.660974,1,All,#4682B4,0
7,2.5,4.97854,-0.364968,-0.413025,0.651554,2.62376,-0.307723,0.552681,2.73423,0.414118,4.97854,-0.330095,-0.359578,1,All,#4682B4,0
7,3,6.43303,-0.979437,-0.983584,2.08884,1.01798,-0.0705439,2.01823,1.09687,-0.418162,6.43303,-0.950978,-0.944263,1,All,#4682B4,0
7,3.5,7.20021,-1.14791,-1.14791,3.30037,0.724674,0.724674,3.22727,0.80634,0.80634,7.20021,-1.13089,-1.13089,0,All,#4682B4,0
7,4,7.66091,-2.12787,-2.28944,4.37421,-1.53531,-1.87825,4.29568,-1.44758,-1.77642,7.66091,-1.62509,-1.80408,1,All,#4682B4,0
7,4.5,7.91751,-1.36111,-1.36111,5.33295,-0.0971427,-0.0971427,5.24709,-0.00122227,-0.00122227,7.91751,-1.26519,-1.26519,0,All,#4682B4,0
7,5,7.99601,-1.39278,-1.39278,6.19295,-0.575324,-0.575324,6.09875,-0.470081,-0.470081,7.99601,-1.32741,-1.32741,0,All,#4682B4,0
7,5.5,7.91496,-0.167908,-0.167908,6.95655,0.433991,0.433991,6.85539,0.547012,0.547012,7.91496,-0.260512,-0.260512,0,All,#4682B4,0
7,6,7.70819,0.916639,0.916639,7.58071,1.04158,1.04158,7.4833,1.15041,1.15041,7.70819,0.963185,0.963185,0,All,#4682B4,0
7,6.5,7.42142,0.496108,0.496108,7.93769,-0.118079,-0.118079,7.86992,-0.0423667,-0.0423667,7.42142,0.440229,0.440229,0,All,#4682B4,0
7,7,7.09625,-0.112886,-0.112886,7.97184,-1.1394,-1.1394,7.94265,-1.10679,-1.10679,7.09625,-0.145395,-0.145395,0,All,#4682B4,0
7,7.5,6.76028,1.2942,1.2942,7.82158,0.49652,0.49652,7.81788,0.500656,0.500656,6.76028,1.32079,1.32079,0,All,#4682B4,0
7,8,6.43148,0.815233,0.815233,7.6053,-0.0472628,-0.0472628,7.61703,-0.0603655,-0.0603655,6.43148,0.893925,0.893925,0,All,#4682B4,0
7,8.5,6.12263,0.726879,0.726879,7.37258,-0.23527,-0.23527,7.39389,-0.259072,-0.259072,6.12263,0.714777,0.714777,0,All,#4682B4,0
7,9,5.84436,0.284093,0.284093,7.14496,-0.966367,-0.966367,7.17223,-0.99683,-0.99683,5.84436,0.239288,0.239288,0,All,#4682B4,0
7,9.5,5.60406,1.69745,1.69745,6.93386,1.27827,1.27827,6.95792,1.2514,1.2514,5.60406,1.81044,1.81044,0,All,#4682B4,0
7,10,5.37388,1.43228,1.43228,6.73865,0.75564,0.75564,6.69381,0.805733,0.805733,5.37388,1.55669,1.55669,0,All,#4682B4,0
7,10.5,5.14024,1.14838,1.14838,6.48308,0.602098,0.602098,6.37176,0.726472,0.726472,5.14024,1.13245,1.13245,0,All,#4682B4,0
7,11,4.91488,0.954135,0.954135,6.15472,0.26733,0.26733,5.99839,0.441986,0.441986,4.91488,0.957876,0.957876,0,All,#4682B4,0
7,11.5,4.7063,0.523284,0.523284,5.75966,-0.245409,-0.245409,5.58355,-0.0486505,-0.0486505,4.7063,0.450677,0.450677,0,All,#4682B4,0
7,12,4.51848,0.159602,0.159602,5.30663,-0.549268,-0.549268,5.13073,-0.352749,-0.352749,4.51848,0.150963,0.150963,0,All,#4682B4,0
7,12.5,4.35198,1.11777,1.11777,4.80196,1.38429,1.38429,4.64787,1.55645,1.55645,4.35198,1.14261,1.14261,0,All,#4682B4,0
7,13,4.20908,-0.487527,-0.487527,4.25576,-1.12143,-1.12143,4.13966,-0.991724,-0.991724,4.20908,-0.502809,-0.502809,0,All,#4682B4,0
7,13.5,4.07652,-0.572611,-0.660865,3.67347,-0.752424,-0.764365,3.60693,-0.67808,-1.08448,4.07652,-0.641446,-0.710939,1,All,#4682B4,0
7,14,3.95997,-0.129332,-0.129332,3.06318,0.512607,0.512607,3.05502,0.521729,0.521729,3.95997,-0.257394,-0.257394,0,All,#4682B4,0
7,14.5,3.85189,-0.264444,-1.42988,2.42907,0.637866,-1.25231,2.48618,0.574056,0.404973,3.85189,-0.41858,-1.30403,1,All,#4682B4,0
7,15,3.74766,-0.204856,-0.806482,1.772,1.37197,-0.156736,1.90667,1.22151,-0.803914,3.74766,-0.279128,-0.800309,1,All,#4682B4,0
7,15.5,3.64832,-0.0535744,-0.322277,1.09473,2.12863,-0.7002,1.31239,1.88546,-1.05981,3.64832,-0.131368,-0.387526,1,All,#4682B4,0
7,16,3.54986,0.040186,-0.917765,0.400059,2.90474,-0.118937,0.704533,2.56457,1.01463,3.54986,-0.046728,-0.895242,1,All,#4682B4,0
8,1,0,3.07545,1.18655,0,3.3517,0.163372,0,3.3517,0.349243,0,2.49679,1.28065,1,All,#4682B4,0
8,1.5,0,1.47163,0.284191,0,3.3517,1.61954,0,3.3517,0.573718,0,1.3658,0.636266,1,All,#4682B4,0
8,2,0.189146,0.483822,0.483822,0,4.0064,4.0064,0,4.0064,4.0064,0.189146,0.502093,0.502093,0,All,#4682B4,0
8,2.5,4.97854,-0.351888,-0.416261,3.71867,-0.802926,-0.982419,2.8624,0.153732,-0.453872,4.97854,-0.260473,-0.315244,1,All,#4682B4,0
8,3,6.43303,0.279847,0.279847,6.43874,-0.14719,-0.14719,6.11554,0.213903,0.213903,6.43303,0.0450631,0.0450631,0,All,#4682B4,0
8,3.5,7.20021,0.402361,0.402361,7.41081,0.114166,0.114166,7.1673,0.38623,0.38623,7.20021,0.202863,0.202863,0,All,#4682B4,0
8,4,7.66091,0.602847,0.602847,7.9249,0.526327,0.526327,7.71332,0.762717,0.762717,7.66091,0.641189,0.641189,0,All,#4682B4,0
8,4.5,7.91751,0.633738,0.633738,8.22333,0.370548,0.370548,8.04159,0.573597,0.573597,7.91751,0.683582,0.683582,0,All,#4682B4,0
8,5,7.99601,0.592772,0.592772,8.37852,0.120076,0.120076,8.23733,0.277821,0.277821,7.99601,0.662962,0.662962,0,All,#4682B4,0
8,5.5,7.91496,0.127325,0.127325,8.41539,-0.854005,-0.854005,8.3292,-0.757709,-0.757709,7.91496,0.0092445,0.0092445,0,All,#4682B4,0
8,6,7.70819,0.971408,0.971408,8.34397,0.474853,0.474853,8.32325,0.49801,0.49801,7.70819,1.07454,1.07454,0,All,#4682B4,0
8,6.5,7.42142,-0.179948,-0.179948,8.17085,-1.31147,-1.31147,8.22368,-1.37049,-1.37049,7.42142,-0.26972,-0.26972,0,All,#4682B4,0
8,7,7.09625,1.99625,1.99625,7.91877,1.79565,1.79565,8.04187,1.65812,1.65812,7.09625,2.39293,2.39293,0,All,#4682B4,0
8,7.5,6.76028,0.776534,0.776534,7.60558,0.0976646,0.0976646,7.79385,-0.112674,-0.112674,6.76028,0.809714,0.809714,0,All,#4682B4,0
8,8,6.43148,1.30727,1.30727,7.24358,1.09312,1.09312,7.4902,0.817588,0.817588,6.43148,1.44415,1.44415,0,All,#4682B4,0
8,8.5,6.12263,0.785951,0.785951,6.83989,0.390042,0.390042,7.14114,0.0534732,0.0534732,6.12263,0.803437,0.803437,0,All,#4682B4,0
8,9,5.84436,1.51777,1.51777,6.39911,1.74723,1.74723,6.75359,1.3512,1.3512,5.84436,1.68984,1.68984,0,All,#4682B4,0
8,9.5,5.60406,1.17372,1.17372,5.92539,1.63296,1.63296,6.33172,1.179,1.179,5.60406,1.32456,1.32456,0,All,#4682B4,0
8,10,5.37388,1.34546,1.34546,5.42541,2.07313,2.07313,5.88133,1.56375,1.56375,5.37388,1.40704,1.40704,0,All,#4682B4,0
8,10.5,5.14024,0.301341,0.301341,4.91286,0.801213,0.801213,5.41041,0.245335,0.245335,5.14024,0.274073,0.274073,0,All,#4682B4,0
