id,beta_exp_SAEM,delta0_SAEM,p_SAEM,td_SAEM,b_exp_SAEM,h_0_SAEM,tc_SAEM,sigma_SAEM,phi_exp_SAEM,rho_exp_SAEM,dF_SAEM,q_exp_SAEM,ifn0_SAEM,beta_exp_mean,delta0_mean,p_mean,td_mean,b_exp_mean,h_0_mean,tc_mean,sigma_mean,phi_exp_mean,rho_exp_mean,dF_mean,q_exp_mean,ifn0_mean,beta_exp_mode,delta0_mode,p_mode,td_mode,b_exp_mode,h_0_mode,tc_mode,sigma_mode,phi_exp_mode,rho_exp_mode,dF_mode,q_exp_mode,ifn0_mode,beta_exp_sd,delta0_sd,p_sd,td_sd,b_exp_sd,h_0_sd,tc_sd,sigma_sd,phi_exp_sd,rho_exp_sd,dF_sd,q_exp_sd,ifn0_sd
7,-3.31609,2.67689,2.30183,2.39938,-4.11585,0.906782,9.70856,0.53049,-1.29,0.253733,0.264259,-4.33734,0.533341,-3.26657,2.78074,2.30136,2.34852,-4.26408,0.929049,9.7547,0.49894,-1.28896,0.264956,0.263868,-4.35866,0.524801,-3.202,2.71902,2.27582,2.36496,-4.30818,0.926915,9.24662,0.417375,-1.28896,0.282512,0.263868,-4.35169,0.490845,0.363001,0.659202,0.270692,0.276409,0.327642,0.0506446,1.1261,0.255332,0,0.544533,0,0.262623,0.153624
8,-4.46263,1.56143,3.4622,2.19264,-1.69675,0.55577,5.84516,0.139607,-1.29,-2.59668,0.264259,-4.67863,0.341159,-4.46452,1.35793,3.44087,2.32453,-1.43406,0.525465,5.59331,0.154515,-1.28896,-2.67254,0.263868,-4.6116,0.365824,-4.52099,1.3111,3.47824,2.38079,-1.5041,0.526475,5.44794,0.144877,-1.28896,-2.68494,0.263868,-4.64176,0.365212,0.21727,0.298462,0.167055,0.257373,0.356616,0.0572765,2.08929,0.0661738,0,0.412441,0,0.179082,0.0954118
9,-3.92671,1.37292,3.3134,1.77265,-1.46339,0.463579,7.61106,0.268035,-1.29,-2.44302,0.264259,-4.3087,0.390938,-3.89693,1.47972,3.30554,1.74919,-1.63909,0.488315,8.13078,0.274579,-1.28896,-2.38412,0.263868,-4.34439,0.382054,-3.8761,1.44391,3.28235,1.79433,-1.5892,0.481566,8.54355,0.252091,-1.28896,-2.38494,0.263868,-4.33465,0.380336,0.246284,0.40827,0.185117,0.113562,0.523069,0.0782077,1.9992,0.127354,0,0.466953,0,0.199312,0.0847987
10,-3.50384,1.38234,3.21209,1.3529,-1.64526,0.523621,10.9879,0.792913,-1.29,-1.81596,0.264259,-4.33073,0.353181,-3.52854,1.31058,3.24259,1.3711,-1.46685,0.495853,10.9858,0.775527,-1.28896,-1.96563,0.263868,-4.28133,0.364055,-3.53771,1.30651,3.23915,1.40252,-1.4536,0.495192,11.0009,0.744362,-1.28896,-1.95493,0.263868,-4.2857,0.350863,0.218163,0.210634,0.169535,0.0577248,0.338891,0.0520173,0.578297,0.218491,0,0.336857,0,0.204804,0.08299
11,-4.52619,1.06666,3.44834,1.72563,-0.910666,0.466175,5.35062,0.312342,-1.29,-2.71577,0.264259,-4.43933,0.342585,-4.54227,1.00896,3.43927,1.73863,-0.854614,0.461492,5.26528,0.328849,-1.28896,-2.70806,0.263868,-4.41391,0.350182,-4.5898,0.978387,3.49273,1.73905,-0.952388,0.461987,5.36292,0.307019,-1.28896,-2.80188,0.263868,-4.49291,0.313989,0.237864,0.257183,0.18914,0.0947753,0.305223,0.0460591,1.1973,0.133277,0,0.412946,0,0.226422,0.0894977
12,-4.3289,0.949247,2.61362,4.16689,-1.10067,0.481419,1.29401,0.202168,-1.29,-1.84883,0.264259,-3.67225,1.03508,-4.28332,0.934071,2.61018,4.18103,-1.11992,0.479646,1.38555,0.20717,-1.28896,-1.81462,0.263868,-3.66098,1.05905,-4.29023,0.909559,2.63724,4.24643,-1.17147,0.483028,1.13818,0.216172,-1.28896,-1.87052,0.263868,-3.70209,1.03846,0.186934,0.227432,0.160258,0.15457,0.24903,0.0461493,0.898038,0.0473197,0,0.337763,0,0.166529,0.21784
13,-2.63885,2.98009,2.78427,1.33495,-3.79226,0.691641,11.8185,0.883767,-1.29,-0.542057,0.264259,-4.41195,0.371196,-2.59429,3.05129,2.75197,1.30917,-3.93304,0.711373,11.8453,0.87388,-1.28896,-0.481841,0.263868,-4.42959,0.360902,-2.63545,2.90729,2.73404,1.30664,-3.90158,0.712655,11.8724,0.866953,-1.28896,-0.493827,0.263868,-4.44247,0.34268,0.223913,0.808424,0.158521,0.203039,0.466282,0.0623605,0.123173,0.119763,0,0.208484,0,0.1958,0.0961661
14,-3.74008,2.468,3.32636,1.62664,-2.26748,0.643679,10.9996,0.439384,-1.29,-1.90728,0.264259,-4.75608,0.301599,-3.69162,2.51725,3.25595,1.60243,-2.42946,0.668913,11.0217,0.44997,-1.28896,-1.73413,0.263868,-4.77625,0.295567,-3.74242,2.45878,3.26408,1.62691,-2.4558,0.670854,11.2411,0.42269,-1.28896,-1.78917,0.263868,-4.78801,0.285798,0.225726,0.399598,0.19604,0.156959,0.639435,0.0963752,0.772511,0.142462,0,0.53704,0,0.193478,0.0700035
15,-3.04456,2.64422,2.38787,2.19959,-3.31537,0.748437,11.5321,1.66224,-1.29,0.143066,0.264259,-4.19831,0.620617,-3.07606,2.66467,2.4059,2.22553,-3.29552,0.746859,11.5085,1.67911,-1.28896,0.151097,0.263868,-4.18901,0.618884,-3.05704,2.65301,2.39431,2.28478,-3.32725,0.748294,11.4983,1.66879,-1.28896,0.14956,0.263868,-4.19571,0.60685,0.267767,0.669821,0.184332,0.20383,0.375819,0.0522054,0.277981,0.413542,0,0.295097,0,0.189464,0.140109
16,-3.36415,2.98965,2.82526,1.63073,-4.11446,0.811354,10.7948,0.233316,-1.29,-0.534456,0.264259,-4.69515,0.307114,-3.57326,2.76298,2.9171,1.73387,-3.72999,0.760114,9.80039,0.210099,-1.28896,-0.840729,0.263868,-4.68366,0.317408,-3.58877,2.60939,2.93249,1.7611,-3.70699,0.75528,10.4986,0.186688,-1.28896,-0.813151,0.263868,-4.70452,0.313027,0.359053,0.968808,0.211909,0.210213,0.554496,0.0760011,2.13666,0.0935115,0,0.575634,0,0.178472,0.0733989
