rep,id,beta_exp,delta0,p,td,b_exp,h_0,tc,sigma,phi_exp,rho_exp,dF,q_exp,ifn0
1,7,-2.89149,2.50344,2.08804,2.14778,-4.55526,0.964849,8.62129,0.240848,-1.28896,0.779619,0.263868,-4.10318,0.502903
2,7,-2.76498,1.52041,1.98318,2.47639,-4.33141,0.901095,8.93873,0.452831,-1.28896,0.319712,0.263868,-4.39677,0.587791
3,7,-3.07844,2.78002,2.31674,2.38092,-4.40815,0.908819,9.73964,0.557355,-1.28896,0.233231,0.263868,-4.47715,0.425427
4,7,-3.50749,3.0718,2.56404,2.11297,-4.71365,1.02016,9.50363,0.151307,-1.28896,0.127083,0.263868,-4.85876,0.307812
5,7,-2.74203,2.60532,1.94586,2.83207,-4.24067,0.899887,10.3822,0.843455,-1.28896,0.871058,0.263868,-3.79998,1.12706
6,7,-3.32541,3.20081,2.5221,2.60497,-4.47929,0.959945,10.001,0.462065,-1.28896,0.123535,0.263868,-4.42079,0.453076
7,7,-2.73673,2.14663,1.93497,2.86361,-4.01965,0.866771,9.43144,0.706809,-1.28896,0.963006,0.263868,-3.78672,0.838593
8,7,-3.06421,4.17372,2.33941,2.21462,-4.68055,0.982594,11.8516,0.901917,-1.28896,0.828468,0.263868,-4.26397,0.589939
9,7,-3.32807,3.49154,2.31763,2.15267,-4.3736,0.9698,10.7385,0.6518,-1.28896,0.385357,0.263868,-4.56297,0.437042
10,7,-3.09928,2.93597,2.36911,2.29386,-4.7142,0.989825,10.9141,0.516306,-1.28896,0.333979,0.263868,-4.38784,0.676196
1,8,-4.28557,1.09981,3.29142,2.41033,-1.2401,0.512149,4.6844,0.123876,-1.28896,-3.03383,0.263868,-4.53021,0.39623
2,8,-4.1675,1.72504,3.36419,2.41687,-1.68151,0.529403,8.60625,0.11854,-1.28896,-2.6239,0.263868,-4.6442,0.330102
3,8,-4.47767,1.28207,3.16211,2.35289,-1.216,0.514839,4.81637,0.114673,-1.28896,-2.68043,0.263868,-4.76517,0.497503
4,8,-4.65477,1.07294,3.4788,2.34399,-1.5696,0.555191,1.17081,0.0720212,-1.28896,-2.89322,0.263868,-4.68566,0.289834
5,8,-4.36954,1.30689,3.35747,1.84651,-1.51427,0.498001,6.16417,0.175725,-1.28896,-2.49575,0.263868,-4.58694,0.403871
6,8,-4.46343,0.878077,3.71958,2.6667,-0.51448,0.391982,4.61112,0.167631,-1.28896,-3.5065,0.263868,-4.57826,0.463111
7,8,-4.23599,0.846254,3.43473,2.33644,-1.08747,0.456772,6.40285,0.25188,-1.28896,-2.53505,0.263868,-4.1843,0.525903
8,8,-4.67563,1.22511,3.57649,2.4222,-0.95731,0.459146,7.0576,0.269504,-1.28896,-2.57431,0.263868,-4.40505,0.486288
9,8,-4.82585,1.14606,3.56401,2.56563,-1.45122,0.540914,4.83185,0.138363,-1.28896,-2.68789,0.263868,-4.46186,0.371126
10,8,-4.70262,1.25671,3.53729,2.58136,-0.95544,0.487038,6.82466,0.143168,-1.28896,-3.31427,0.263868,-4.68717,0.35379
1,9,-3.31782,1.79999,3.00935,1.73829,-2.59949,0.601276,9.29019,0.499935,-1.28896,-1.39978,0.263868,-4.40361,0.361717
2,9,-3.91559,1.31118,3.43841,1.81021,-1.3462,0.428031,7.99955,0.195133,-1.28896,-2.7526,0.263868,-4.3324,0.379409
3,9,-3.84304,1.37797,3.63072,1.68457,-1.25982,0.395665,8.44247,0.096641,-1.28896,-3.49325,0.263868,-4.2889,0.371256
4,9,-3.9714,1.63822,3.43751,1.7646,-1.40297,0.450849,9.13926,0.274021,-1.28896,-2.49837,0.263868,-4.3001,0.412299
5,9,-4.16192,1.08796,3.5633,1.91538,-0.795378,0.377482,6.02463,0.179565,-1.28896,-3.37653,0.263868,-4.32229,0.402018
6,9,-3.81409,2.05468,3.31522,1.55528,-2.37847,0.581613,11.3058,0.778552,-1.28896,-1.61821,0.263868,-4.47584,0.331911
7,9,-3.99075,1.17779,3.46885,1.69616,-1.51302,0.451525,8.01078,0.265178,-1.28896,-2.62113,0.263868,-4.2643,0.296936
8,9,-4.19174,0.615096,3.48791,1.82531,-1.04808,0.387155,3.17777,0.17272,-1.28896,-2.88551,0.263868,-3.95552,0.629882
9,9,-3.89665,1.23318,3.25373,1.82989,-1.40774,0.451441,9.12897,0.379943,-1.28896,-2.02708,0.263868,-3.95898,0.508445
10,9,-4.07799,1.14417,3.27237,1.86435,-1.30941,0.435544,7.1214,0.157436,-1.28896,-2.74231,0.263868,-4.13684,0.404441
1,10,-3.34449,1.0703,3.10819,1.37893,-1.26843,0.457258,11.1979,0.603751,-1.28896,-2.24081,0.263868,-4.1754,0.364353
2,10,-3.54959,0.995968,2.98151,1.36731,-1.3954,0.484244,9.70181,0.501469,-1.28896,-1.84725,0.263868,-4.13967,0.294278
3,10,-3.76379,1.59863,3.53371,1.39848,-1.95267,0.562708,10.861,0.777562,-1.28896,-1.77724,0.263868,-4.49231,0.269668
