rep,id,eta_beta_exp,eta_delta0,eta_p,eta_td,eta_b_exp,eta_h_0,eta_tc,eta_sigma,eta_phi_exp,eta_rho_exp,eta_dF,eta_q_exp,eta_ifn0
1,7,0.890436,0.316028,-0.911052,0.0855244,-2.11894,0.446061,-0.322141,-0.323205,0,2.26438,0,0.327632,0.228934
2,7,1.01695,-0.182661,-1.01592,0.227889,-1.8951,0.3777,-0.187316,0.30815,0,1.80447,0,0.0340442,0.384907
3,7,0.703485,0.420821,-0.682354,0.188574,-1.97184,0.386235,0.201801,0.515832,0,1.71799,0,-0.0463354,0.0616297
4,7,0.274436,0.520625,-0.435053,0.0691812,-2.27733,0.501806,0.0779549,-0.788061,0,1.61184,0,-0.427946,-0.261974
5,7,1.0399,0.355918,-1.05324,0.362096,-1.80436,0.376358,0.600113,0.930137,0,2.35582,0,0.630835,1.03591
6,7,0.456509,0.561764,-0.476998,0.27851,-2.04298,0.440965,0.351173,0.328335,0,1.60829,0,0.0100263,0.124595
7,7,1.04519,0.16226,-1.06412,0.373171,-1.58333,0.338864,0.0418218,0.75339,0,2.44777,0,0.644092,0.740261
8,7,0.717714,0.827168,-0.659689,0.116169,-2.24423,0.464285,3.12123,0.997153,0,2.31323,0,0.166846,0.388555
9,7,0.453854,0.648705,-0.681462,0.0877974,-1.93728,0.45118,0.882633,0.672368,0,1.87012,0,-0.132156,0.0885652
10,7,0.682645,0.475399,-0.629988,0.151324,-2.27789,0.471618,1.04878,0.439329,0,1.81874,0,0.0429763,0.525018
1,8,-0.503644,-0.506497,0.292326,0.200851,1.19622,-0.187294,-1.70465,-0.988092,0,-1.54907,0,-0.0993976,-0.00946943
2,8,-0.385573,-0.0563905,0.365091,0.203564,0.754803,-0.154161,-0.328328,-1.03212,0,-1.13914,0,-0.213392,-0.192064
3,8,-0.695746,-0.353166,0.163017,0.176734,1.22031,-0.182055,-1.65867,-1.06528,0,-1.19567,0,-0.334353,0.218137
4,8,-0.872844,-0.53124,0.479706,0.172945,0.866712,-0.106599,-3.48343,-1.53041,0,-1.40846,0,-0.254852,-0.322156
5,8,-0.587618,-0.333986,0.358372,-0.0656162,0.922042,-0.215309,-1.20414,-0.63845,0,-1.011,0,-0.156124,0.00963206
6,8,-0.681508,-0.731659,0.720482,0.301929,1.92183,-0.454694,-1.73039,-0.685605,0,-2.02174,0,-0.147451,0.146502
7,8,-0.454065,-0.768575,0.435633,0.169717,1.34885,-0.301725,-1.1244,-0.278417,0,-1.05029,0,0.246517,0.273651
8,8,-0.893706,-0.39861,0.577392,0.205766,1.479,-0.296542,-0.902627,-0.210787,0,-1.08955,0,0.0257602,0.195335
9,8,-1.04393,-0.465308,0.564916,0.263291,0.985097,-0.13265,-1.6533,-0.877488,0,-1.20313,0,-0.0310428,-0.0749238
10,8,-0.920699,-0.373144,0.53819,0.269403,1.48087,-0.237567,-0.982245,-0.843354,0,-1.82951,0,-0.256356,-0.122762
1,9,0.464101,-0.0138575,0.0102551,-0.126012,-0.163172,-0.0268564,-0.0267991,0.407108,0,0.0849828,0,0.0272029,-0.100602
2,9,-0.13367,-0.330709,0.439313,-0.0854668,1.09011,-0.366714,-0.565903,-0.533686,0,-1.26784,0,0.0984176,-0.0528502
3,9,-0.061116,-0.281024,0.631621,-0.1574,1.1765,-0.445342,-0.394672,-1.23637,0,-2.00849,0,0.141916,-0.0745735
4,9,-0.189471,-0.108028,0.438414,-0.110989,1.03335,-0.314778,-0.0973834,-0.194165,0,-1.01361,0,0.130709,0.0302842
5,9,-0.379995,-0.517337,0.564204,-0.0289951,1.64094,-0.492388,-1.25067,-0.616833,0,-1.89177,0,0.108521,0.00503153
6,9,-0.0321678,0.118479,0.316129,-0.237256,0.0578447,-0.060106,1.53139,0.850066,0,-0.133452,0,-0.0450265,-0.186597
7,9,-0.208828,-0.437998,0.469754,-0.150545,0.923291,-0.313279,-0.561688,-0.22697,0,-1.13637,0,0.166511,-0.297947
8,9,-0.409815,-1.08762,0.488813,-0.0771599,1.38823,-0.467085,-2.27998,-0.6557,0,-1.40075,0,0.475288,0.454068
9,9,-0.114724,-0.392044,0.254636,-0.0746558,1.02857,-0.313465,-0.102097,0.132652,0,-0.542324,0,0.471835,0.239893
10,9,-0.296065,-0.466962,0.273274,-0.0560005,1.12691,-0.349314,-0.880635,-0.748353,0,-1.25755,0,0.293971,0.0110412
1,10,0.437433,-0.533696,0.109097,-0.357601,1.16788,-0.300662,1.37731,0.595793,0,-0.756055,0,0.255413,-0.0933405
2,10,0.232334,-0.605679,-0.0175824,-0.366069,1.04091,-0.243321,0.181308,0.410173,0,-0.362491,0,0.291145,-0.306939
3,10,0.0181302,-0.132492,0.534613,-0.343526,0.483648,-0.0931502,0.996137,0.848793,0,-0.292485,0,-0.0614932,-0.394275
4,10,0.585356,-0.357503,0.156776,-0.312184,1.44696,-0.406194,1.54623,0.973454,0,-0.687743,0,0.0615622,0.113127
5,10,0.379545,-0.123389,0.0807545,-0.489948,0.410085,-0.066662,2.85749,1.11123,0,-0.194234,0,-0.212345,-0.344592
6,10,0.0254849,-0.596586,0.275356,-0.334529,1.17102,-0.308125,0.737708,0.652513,0,-0.903418,0,0.353298,0.121868
7,10,0.277549,-0.18709,0.301011,-0.350937,1.0109,-0.232917,1.37214,0.883315,0,-0.842221,0,-0.176547,-0.280987
8,10,0.36083,-0.288109,0.129587,-0.36426,0.71089,-0.163628,1.88856,0.61951,0,-0.355986,0,0.110358,-0.54141
9,10,0.0117404,-0.520048,0.322515,-0.39329,1.3357,-0.319637,0.597312,0.767381,0,-0.699437,0,0.339457,-0.00176895
10,10,0.307448,-0.160649,0.160009,-0.35058,0.701245,-0.150666,2.44534,1.10684,0,-0.0469489,0,-0.0159597,-0.24482
1,11,-0.603626,-0.602831,0.692564,-0.115691,1.55075,-0.397175,-0.991188,0.291864,0,-1.58973,0,0.0277714,-0.436453
2,11,-1.0903,-0.439698,0.344646,-0.107883,1.54837,-0.225693,-2.03556,-0.868007,0,-1.34345,0,-0.052379,-0.514437
3,11,-0.284581,-0.51076,0.0915785,-0.183153,1.17629,-0.197873,-1.15518,0.289863,0,-0.397572,0,-0.0380696,-0.328096
4,11,-0.73199,-0.451161,0.554975,-0.125865,1.2627,-0.249064,-1.59119,-0.361694,0,-1.06577,0,-0.113521,-0.151926
5,11,-0.191337,-0.802179,0.113235,-0.0688382,1.89704,-0.45784,-0.948749,0.447277,0,-0.757001,0,0.376815,0.174549
6,11,-0.634054,-0.812993,0.325649,-0.0996607,2.48504,-0.626391,-0.932291,0.702135,0,-1.52891,0,0.109072,0.196124
7,11,-0.686372,-0.467021,0.526855,-0.14736,1.39473,-0.267019,-2.01552,-0.471587,0,-1.58631,0,-0.336077,-0.632997
8,11,-0.490212,-0.35867,0.266726,-0.26011,0.575807,-0.0628999,-1.07413,-0.220753,0,-0.607597,0,0.00420169,-0.349972
9,11,-0.973463,-0.346187,0.553538,-0.117112,1.51678,-0.265147,-1.71236,-0.110645,0,-1.26393,0,-0.235869,-0.277426
10,11,-0.867999,-0.731958,0.409187,-0.0823671,1.64439,-0.282129,-1.05792,0.49026,0,-0.646945,0,0.232858,-0.221304
1,12,-0.540454,-0.814698,-0.303491,0.782111,1.6063,-0.385758,-4.09658,-0.864112,0,-0.731457,0,0.815144,0.759817
2,12,-0.384091,-0.801359,-0.428872,0.727645,1.11936,-0.213039,-3.53088,-0.377201,0,-0.0259104,0,0.867664,0.933051
3,12,-0.525621,-1.02379,-0.553134,0.791395,1.47042,-0.304739,-4.14045,-0.621336,0,-0.204953,0,1.05615,1.27891
4,12,-0.659182,-0.913935,-0.262903,0.771939,1.37894,-0.273067,-4.11022,-0.663694,0,-0.46029,0,0.896599,0.90918
5,12,-0.352053,-0.731373,-0.320513,0.745583,1.39985,-0.368263,-2.67098,-0.102594,0,-0.137661,0,0.894677,1.31988
6,12,-0.38932,-0.471625,-0.108454,0.795468,1.35341,-0.363466,-2.34191,-0.342755,0,-0.586374,0,0.782017,0.894766
7,12,-0.527044,-0.803355,-0.567716,0.763868,1.58622,-0.325862,-3.65501,-0.546495,0,-0.368245,0,0.768607,0.814665
8,12,-0.601369,-0.392303,-0.283858,0.779084,1.40475,-0.273547,-2.9031,-0.661522,0,-0.527043,0,0.844646,1.1568
9,12,-0.562951,-0.711555,-0.403658,0.748565,1.14292,-0.18869,-4.40044,-0.597636,0,-0.230498,0,0.797619,0.639365
10,12,-0.595553,-0.626555,-0.356671,0.782427,1.60062,-0.323708,-2.79917,-0.166702,0,-0.469673,0,0.681078,1.00422
1,13,1.10441,0.52428,-0.408008,-0.384026,-1.41301,0.162926,2.71491,0.85931,0,1.10387,0,0.0572961,-0.276668
2,13,1.00795,0.462654,-0.312169,-0.271221,-1.49942,0.203433,2.47221,0.717668,0,0.98552,0,-0.110263,-0.193361
3,13,0.986772,0.662788,-0.00834891,-0.36887,-1.04186,0.0585607,4.12047,1.01244,0,0.727012,0,-0.201179,-0.49456
4,13,1.1599,0.127445,-0.0952143,-0.428059,-1.00325,0.0353663,3.00136,1.17064,0,0.710115,0,-0.25203,-0.560358
5,13,1.18335,0.639271,-0.372089,-0.466665,-1.44858,0.170583,3.82338,1.03791,0,1.00777,0,-0.231495,-0.0975925
6,13,0.998076,0.265849,-0.193616,-0.189368,-0.900657,0.0258098,2.7678,0.943219,0,0.76241,0,0.178585,0.224665
7,13,1.28388,0.711444,-0.183279,-0.821702,-2.29359,0.283248,5.1606,0.871044,0,1.21688,0,-0.198557,-0.620048
8,13,0.879286,-0.226047,-0.364414,-0.379759,-0.690478,-0.0189108,1.95457,1.2076,0,1.02515,0,0.302599,0.114874
9,13,1.02219,0.435204,-0.350031,-0.192714,-1.21307,0.153036,2.74812,0.742639,0,1.0576,0,0.116842,0.0992677
10,13,1.4267,0.504248,-0.292328,-0.449721,-1.54932,0.110304,4.27235,0.858806,0,0.901959,0,-0.089844,-0.333944
1,14,0.213348,0.187429,0.0227352,-0.238901,-0.203453,0.122982,1.36723,0.453512,0,-0.0416137,0,-0.376997,-0.117882
2,14,-0.124356,0.367264,0.508161,-0.190671,0.187659,-0.0069228,0.580733,-0.107732,0,-0.397221,0,-0.128738,-0.0123772
3,14,0.0655141,0.279538,0.504932,-0.132624,0.637654,-0.117393,0.962985,-0.10836,0,-0.867095,0,-0.404603,-0.630599
4,14,0.0409271,0.20989,0.154568,-0.186523,0.128531,0.027381,0.819532,0.328174,0,-0.280606,0,-0.373826,-0.277233
5,14,-0.335703,0.412665,0.49159,-0.448575,-0.718077,0.255021,1.78134,0.436865,0,0.277237,0,-0.601607,-0.430315
6,14,0.0877547,0.410897,0.250404,-0.139982,0.213411,0.0365787,1.31405,-0.0489035,0,-0.451788,0,-0.421028,-0.433776
7,14,0.0807105,0.128743,0.120837,-0.344051,-0.48506,0.181866,1.67712,0.367468,0,0.128636,0,-0.188488,-0.45826
8,14,0.0238841,0.127946,0.587935,-0.122766,1.19979,-0.265616,1.54408,0.53271,0,-1.26342,0,-0.222378,0.0746253
9,14,0.393762,0.0890532,0.189162,-0.204457,-0.118832,0.101319,2.32126,0.639446,0,-0.055573,0,-0.135786,-0.316738
10,14,0.331212,0.528903,-0.0772744,-0.357331,-1.1178,0.310904,1.9645,0.387102,0,0.767769,0,-0.567124,-0.594808
1,15,0.409544,0.450525,-0.223733,0.148864,-0.838458,0.175219,2.43131,1.86957,0,1.357,0,0.212044,0.450115
2,15,0.591367,0.288034,-0.678352,0.153164,-0.689435,0.17275,1.81773,1.5583,0,1.66538,0,0.436778,0.507768
3,15,1.1616,0.242796,-0.938201,-0.0359381,-1.37137,0.270589,3.09071,1.80943,0,2.29436,0,0.539487,0.271372
