parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
beta_exp_pop,-3.78192391136709,,0.265608754298664,7.0231120594558,-4.30251,-3.26134
delta0_pop,1.82510751717079,,0.518586875993841,28.4140452611654,1.07705,3.09271
p_pop,2.99909502033869,,0.289879842774341,9.66557714272101,2.43094,3.56725
td_pop,1.97172990497894,,0.216917139719586,11.0013617570964,1.59234,2.44152
b_exp_pop,-2.43631398795072,,0.436239653858963,17.9057238113179,-3.29133,-1.5813
h_0_pop,0.617642953730972,,0.0616933886573219,9.98851978876356,0.508557,0.750128
tc_pop,9.34600021541025,,1.56689665969553,16.7654250329669,5.31797,11.2763
sigma_pop,0.332742770139957,,0.111692403470649,33.567191684937,0.180531,0.613291
phi_exp_pop,-1.28896491756886,,nan,nan,nan,nan
rho_exp_pop,-1.48475888422034,,0.387596066912613,26.1049838483467,-2.24443,-0.725085
dF_pop,0.263867643475138,,0.000626849483131345,0.237562087899727,0.262642,0.265099
q_exp_pop,-4.43081268911351,,nan,nan,nan,nan
ifn0_pop,0.4,
omega_beta_exp,0.645509181565772,-17.068275213724,0.136328152165978,21.1194753009238,0.432214,0.964064
omega_delta0,0.474857550139961,50.2927549397711,0.167990469237253,35.3770239491274,0.250403,0.900508
omega_p,0.428094643635417,14.2741273861697,0.148407334946588,34.6669450676374,0.228265,0.802861
omega_td,0.321454430374559,32.9940212211403,0.0734957564229825,22.8635070723229,0.208679,0.495176
omega_b_exp,1.28235000005111,-52.6348412558161,0.241921431249781,18.8654759808274,0.894232,1.83892
omega_h_0,0.257075055969629,26.1381486072193,0.0559663857060445,21.7704457925534,0.170145,0.38842
omega_tc,2.01561364613764,42.1806632771849,1.21621371678404,60.3396250623017,0.756945,5.36723
omega_sigma,0.843300112137372,101.800885895366,0.242535001674907,28.7602240512211,0.494788,1.43729
omega_rho_exp,1.1074792668068,-74.5898393723599,0.209760299463598,18.9403364695397,0.771237,1.59032
omega_q_exp,0.356314772948802,-8.04174759687462,0.159436219574235,44.7458909028013,0.163552,0.776271
