id,eta_beta_exp_SAEM,eta_delta0_SAEM,eta_p_SAEM,eta_td_SAEM,eta_b_exp_SAEM,eta_h_0_SAEM,eta_tc_SAEM,eta_sigma_SAEM,eta_phi_exp_SAEM,eta_rho_exp_SAEM,eta_alpha_exp_SAEM
7,0.170061,1.25102,-0.340339,0.196328,-1.81441,0.413329,1.04986,0.24261,0,1.33195,-0.198466
8,-0.21934,-1.34094,0.0211808,0.253903,1.42589,-0.290808,-0.940627,-0.168773,0,-0.874333,-0.154761
9,-0.0742127,-0.528717,0.173669,-0.111686,0.646747,-0.193916,-0.802612,-0.315454,0,-0.59559,0.196067
10,0.141296,0.18815,0.266654,-0.379119,0.379664,-0.0332998,0.629781,0.174725,0,-0.23404,0.20748
11,-0.313627,-1.39597,0.120482,-0.0639574,1.84214,-0.406769,-0.562352,0.424941,0,-0.877105,-0.00841798
12,-0.454035,-1.16678,-0.421684,0.796616,1.26242,-0.207349,-2.12323,-0.456169,0,-0.423966,1.22309
13,0.754115,2.0602,0.435294,-0.988014,-2.83214,0.401231,2.8496,0.181334,0,0.988178,0.438166
14,0.0257276,-0.0212869,0.215405,-0.11193,0.6263,-0.0544478,-1.06809,-0.522908,0,-0.63711,-0.238209
15,0.269692,1.28857,-0.212794,-0.0315715,-1.41987,0.315408,2.58069,1.06621,0,1.17701,-0.036408
16,-0.0123616,0.205056,0.0099047,-0.0159337,-0.835338,0.10523,-0.459931,-0.730523,0,0.149955,-0.498731
17,-0.076448,0.1285,-0.212811,0.266946,-0.397218,0.132903,-0.110698,-0.0118023,0,0.374697,-0.678427
18,-0.296973,-1.02577,-0.113619,0.309523,1.49243,-0.241125,-0.790857,0.339202,0,-0.478894,-0.373931
