parameter,value,CV
beta_exp_pop,-3.59941647800289,
delta0_pop,1.02988879577306,
p_pop,2.88060677616293,
td_pop,1.93295181573772,
b_exp_pop,-2.40292693231797,
h_0_pop,0.604129533316578,
tc_pop,6.31084590194513,
sigma_pop,0.426906666234165,
phi_exp_pop,-0.204537264966701,
rho_exp_pop,-2.18231179386907,
alpha_exp_pop,-5.71065805840586,
omega_beta_exp,0.342664134111279,-9.51999125984455
omega_delta0,1.17834521588522,173.459564770385
omega_p,0.273949460231832,9.51013038290298
omega_td,0.424761319206429,44.4660442375354
omega_b_exp,1.49365300255476,-62.1597345498107
omega_h_0,0.28657872900963,29.2564643940386
omega_tc,1.52370022108566,52.7068423641563
omega_sigma,0.536398779144785,57.7398278118439
omega_rho_exp,0.836512192411379,-38.3314700842224
omega_alpha_exp,0.567683644458958,-9.94077457716717
corr_beta_exp_b_exp,-0.820749790971859,
corr_delta0_b_exp,-0.926720945452067,
corr_h_0_b_exp,-0.95435188300086,
corr_p_b_exp,-0.0846339934502187,
corr_rho_exp_b_exp,-0.871199756083051,
corr_sigma_b_exp,-0.154679481910138,
corr_tc_b_exp,-0.775511310966088,
corr_td_b_exp,0.534011030512805,
corr_delta0_beta_exp,0.844639558133054,
corr_h_0_beta_exp,0.746457634814039,
corr_p_beta_exp,0.362253642643436,
corr_rho_exp_beta_exp,0.639914255326278,
corr_sigma_beta_exp,0.222546516984555,
corr_tc_beta_exp,0.789571803879821,
corr_td_beta_exp,-0.746143791473658,
corr_h_0_delta0,0.922634558582304,
corr_p_delta0,0.152336398987411,
corr_rho_exp_delta0,0.832613875029944,
corr_sigma_delta0,0.22780250478095,
corr_tc_delta0,0.816606622528357,
corr_td_delta0,-0.584187137266728,
corr_p_h_0,-0.0597965331020125,
corr_rho_exp_h_0,0.898377819454447,
corr_sigma_h_0,0.170551476132312,
corr_tc_h_0,0.729529350524842,
corr_td_h_0,-0.400451824050161,
corr_rho_exp_p,-0.236193765692052,
corr_sigma_p,-0.116884341929785,
corr_tc_p,0.205113299772007,
corr_td_p,-0.777984164555261,
corr_sigma_rho_exp,0.4070543492306,
corr_tc_rho_exp,0.760928206494388,
corr_td_rho_exp,-0.280758969740839,
corr_tc_sigma,0.631515847412883,
corr_td_sigma,-0.15942694180989,
corr_td_tc,-0.645258904273615,
a1,0.886867740453103,
b2,0.400840908160539,
