ID,eta_beta_exp_mean,eta_beta_exp_mode,eta_delta0_mean,eta_delta0_mode,eta_p_mean,eta_p_mode,eta_td_mean,eta_td_mode,eta_b_exp_mean,eta_b_exp_mode,eta_h_0_mean,eta_h_0_mode,eta_tc_mean,eta_tc_mode,eta_sigma_mean,eta_sigma_mode,eta_rho_exp_mean,eta_rho_exp_mode,eta_q_exp_mean,eta_q_exp_mode,eta_ifn0_mean,eta_ifn0_mode,split,color,filter
7,-0.41292,-0.287216,-0.244216,-0.30486,-0.224059,-0.146885,0.397955,0.548175,-1.04503,-1.09828,0.120896,0.111921,0.808898,0.844288,-0.0411333,-0.0641371,-0.000461976,0.000437965,0,0,8.37108e-156,8.87546e-156,All,#4682B4,0
8,0.0968253,0.106685,-1.02399,-1.1259,0.291534,0.316842,0.194315,0.220963,0.584261,0.543371,-0.0291829,-0.0335643,-0.347908,-0.299999,-0.115781,-0.12722,-0.0205745,-0.0209394,0,0,2.67599e-157,-7.1246e-157,All,#4682B4,0
9,0.227681,0.305741,-0.137966,-0.195515,-0.124005,-0.0774425,-0.206389,-0.178655,0.257709,0.430263,-0.12789,-0.0781958,-0.179796,-0.0858992,-0.0260789,-0.0927514,-0.00670273,-0.00444796,0,0,-9.25489e-156,-9.17922e-156,All,#4682B4,0
10,0.503843,0.548321,1.47446,1.37948,0.494619,0.487177,-0.270513,-0.242053,1.30789,1.33887,0.0228425,0.056559,-0.674598,-0.640551,0.102705,0.124623,0.0267961,0.0258626,0,0,-9.2287e-156,-1.05948e-155,All,#4682B4,0
11,-0.537399,-0.539431,-1.27442,-1.47432,-0.0511077,-0.00352514,-0.500209,-0.446308,1.13109,1.19404,-0.0880932,-0.104216,0.0121725,0.113183,0.478732,0.411499,-0.0109771,-0.00330645,0,0,3.38033e-156,2.23932e-156,All,#4682B4,0
12,0.189181,0.234839,1.38324,1.4346,-1.14803,-1.16795,0.495406,0.53226,0.91695,0.726146,-0.0707049,-0.0234683,-0.747714,-0.891441,-0.703582,-0.595038,-0.00501024,-0.014829,0,0,-8.95304e-156,-9.93685e-156,All,#4682B4,0
13,0.599798,0.580115,0.680491,0.855941,0.015878,0.0101332,-0.627786,-0.644864,-2.01976,-2.14043,-0.0961499,-0.0931087,1.34794,1.12202,0.0861367,0.154724,0.00367939,-0.000849928,0,0,-4.51294e-156,-4.92e-156,All,#4682B4,0
14,0.219974,0.29235,0.35751,0.291377,0.306288,0.366033,-0.202186,-0.117949,0.590375,0.585455,0.148379,0.154038,-1.28117,-1.2416,0.0605648,0.0732864,-0.00262428,-0.00223172,0,0,-3.18573e-156,-3.66837e-156,All,#4682B4,0
15,-0.272364,-0.256309,1.42492,1.35661,-0.102277,-0.174628,0.301126,0.331454,-0.739191,-0.863157,0.133611,0.142019,1.75934,1.74005,0.807973,0.908214,0.0198426,0.0156199,0,0,-3.29679e-156,-4.79981e-156,All,#4682B4,0
16,0.410683,0.472611,-1.6525,-1.69034,-0.40249,-0.322765,-0.214216,-0.0984205,-1.29925,-1.3946,0.0770557,0.0849265,-0.340491,-0.300407,-0.771779,-0.825902,0.000131963,-0.00227944,0,0,2.55625e-156,1.61398e-156,All,#4682B4,0
17,-0.220422,-0.27845,-0.27692,-0.367962,0.0431576,0.0354434,0.309362,0.325837,-0.0508444,-0.0158487,0.0577855,0.0699697,-0.223349,-0.16387,-0.0841981,-0.15926,0.00951852,0.0142965,0,0,7.79703e-156,7.16433e-156,All,#4682B4,0
18,-0.530323,-0.605441,-0.0444598,-0.0757913,0.323318,0.408848,0.173304,0.214371,0.899489,0.850425,-0.137465,-0.167057,-0.24649,-0.191785,0.346599,0.233859,-0.00642315,-0.00199997,0,0,-2.7395e-157,-7.21466e-157,All,#4682B4,0
