ID,eta_beta_exp_mean,eta_beta_exp_mode,eta_delta0_mean,eta_delta0_mode,eta_p_mean,eta_p_mode,eta_td_mean,eta_td_mode,eta_b_exp_mean,eta_b_exp_mode,eta_h_0_mean,eta_h_0_mode,eta_tc_mean,eta_tc_mode,eta_sigma_mean,eta_sigma_mode,eta_rho_exp_mean,eta_rho_exp_mode,eta_q_exp_mean,eta_q_exp_mode,eta_ifn0_mean,eta_ifn0_mode,split,color,filter
7,-0.149893,-0.12549,0.0414103,0.0406298,-0.337854,-0.338093,0.312776,0.374725,-0.923333,-0.961416,0.235594,0.242632,0.746333,0.762159,-0.0767115,-0.0909508,0.145476,0.147248,-0.00416418,-0.00499431,0.321125,0.334265,All,#4682B4,0
8,-0.426536,-0.425206,-1.32167,-1.36356,0.216005,0.222428,0.218174,0.221851,1.11307,1.09592,-0.223086,-0.223623,-1.19385,-1.18663,-0.198583,-0.201165,-0.739313,-0.748825,-0.0297858,-0.0296556,0.355238,0.354136,All,#4682B4,0
9,0.189991,0.206875,-0.0771239,-0.0792818,-0.041467,-0.0392428,-0.169488,-0.159484,0.229473,0.263301,-0.0909038,-0.0859553,-0.279874,-0.280128,-0.120114,-0.140242,-0.0981636,-0.0925582,0.00373215,0.00198313,-0.227592,-0.23263,All,#4682B4,0
10,0.362891,0.375624,1.32037,1.29709,0.490486,0.477628,-0.328683,-0.318188,0.575408,0.5757,-0.116935,-0.111526,0.0804153,0.0805259,0.472745,0.469092,0.504835,0.497439,0.02941,0.0300733,-0.719348,-0.736988,All,#4682B4,0
11,-0.748323,-0.765583,-1.5133,-1.5633,0.515368,0.527743,-0.115829,-0.0967566,1.44318,1.46161,-0.316243,-0.319688,-0.962146,-0.953902,0.362888,0.363598,-0.662141,-0.630655,-0.0275644,-0.027846,0.454079,0.447743,All,#4682B4,0
12,0.1799,0.20128,0.749296,0.734229,-1.25774,-1.27854,0.73929,0.758881,0.571622,0.51582,0.0507645,0.0647012,-0.832046,-0.866437,-1.15099,-1.1611,-0.14156,-0.196002,0.0112215,0.00932403,-0.459998,-0.460921,All,#4682B4,0
13,1.33718,1.34036,1.75127,1.79781,-0.0783387,-0.0700847,-1.00401,-1.00642,-2.81572,-2.80611,0.369537,0.366715,2.49431,2.43037,0.336533,0.34301,1.13228,1.11406,0.0509119,0.0504601,-0.570207,-0.589581,All,#4682B4,0
14,-0.0122282,-0.00357815,-0.164588,-0.165308,0.273473,0.296251,-0.112799,-0.0841323,0.768339,0.763478,-0.133214,-0.132349,-0.895251,-0.875013,-0.0144842,0.00629011,-0.199091,-0.19469,-0.00556252,-0.00518379,-0.11701,-0.122692,All,#4682B4,0
15,0.283742,0.296549,2.35084,2.3284,0.0859704,0.0461405,-0.00874438,0.00750206,-1.60813,-1.66383,0.351656,0.361871,2.67148,2.68839,1.07487,1.07848,1.23915,1.22275,0.0458783,0.0460381,-0.537479,-0.549501,All,#4682B4,0
16,0.51795,0.534793,-1.23702,-1.23508,-0.742138,-0.747897,-0.23715,-0.186069,-1.08216,-1.12759,0.169356,0.179363,-0.524588,-0.512501,-1.11806,-1.15064,-0.275945,-0.291996,-0.0160622,-0.015176,0.354983,0.349581,All,#4682B4,0
17,-0.329485,-0.353023,-0.42388,-0.443638,-0.0493879,-0.0798248,0.312116,0.335573,0.216986,0.213187,0.0116805,0.0216845,-0.339481,-0.336128,-0.106974,-0.139636,-0.144552,-0.123145,-0.0147067,-0.0138555,0.31299,0.312902,All,#4682B4,0
18,-0.774096,-0.807736,-0.520178,-0.51934,0.54437,0.567986,0.306293,0.329425,1.43697,1.42854,-0.265072,-0.26542,-0.711771,-0.696636,0.458496,0.447526,-0.406966,-0.385589,-0.0167434,-0.0181018,0.173589,0.177776,All,#4682B4,0
