rep,ID,eta_beta_exp_simulated,eta_delta0_simulated,eta_p_simulated,eta_td_simulated,eta_b_exp_simulated,eta_h_0_simulated,eta_tc_simulated,eta_sigma_simulated,eta_rho_exp_simulated,eta_q_exp_simulated,eta_ifn0_simulated,split,color,filter
1,7,-0.195064,0.242897,-0.407895,0.407945,-0.56266,0.194868,1.47426,0.337783,0.261784,0.0028878,-0.0378958,All,#4682B4,0
2,7,-0.478036,-0.078252,-0.198635,0.365038,-0.385206,0.138057,0.594995,-0.00558962,0.191723,0.00115143,0.561278,All,#4682B4,0
3,7,-0.617152,-1.01639,-0.152427,0.476465,0.0420987,0.0466674,-0.352832,-0.027632,-0.415823,-0.0190388,0.451863,All,#4682B4,0
4,7,-0.110122,1.21805,-0.34938,0.36461,-1.33904,0.357594,2.03746,0.379707,0.731149,0.0352906,0.238572,All,#4682B4,0
5,7,-0.222853,-0.000957594,-0.49931,0.434126,-0.706837,0.23823,0.652877,-0.233496,-0.131529,-0.00604624,0.352196,All,#4682B4,0
6,7,-0.163848,0.0721284,-0.450798,0.269599,-0.871373,0.240736,0.7569,-0.411146,0.172901,-0.00179458,0.536972,All,#4682B4,0
7,7,-0.0977064,-0.256988,-0.381843,0.351485,-0.838061,0.210203,0.329747,-0.479933,-0.274591,-0.020255,0.343576,All,#4682B4,0
8,7,-0.411393,-0.908091,-0.333541,0.495869,-0.200606,0.0830122,-0.0218222,-0.134616,-0.498715,-0.0300278,0.524149,All,#4682B4,0
9,7,0.0510646,0.912845,-0.31647,0.161379,-1.61034,0.364639,1.64581,0.224703,0.87742,0.0060027,-0.189871,All,#4682B4,0
10,7,0.0389396,-0.0103994,-0.63028,0.21508,-1.33707,0.341409,0.169879,-0.644016,0.246663,-0.00427073,0.74688,All,#4682B4,0
1,8,-0.656892,-1.83231,0.374606,0.220669,1.22373,-0.229799,-1.73227,-0.201872,-0.976786,-0.0338656,0.371735,All,#4682B4,0
2,8,-0.45009,-1.49159,0.28441,0.204902,0.951704,-0.158816,-1.73279,-0.155224,-0.491108,-0.038841,0.560459,All,#4682B4,0
3,8,-0.887119,-2.00338,0.709105,-0.0520448,1.44074,-0.390519,-1.21223,0.0706244,-1.00979,-0.0301801,0.874994,All,#4682B4,0
4,8,-0.380316,-1.46886,0.16011,0.220779,1.24756,-0.285705,-1.67465,-0.316566,-0.945281,-0.0452389,0.47702,All,#4682B4,0
5,8,-0.254008,-1.51124,0.0815111,0.255316,0.811623,-0.148247,-2.01903,-0.366397,-0.556675,-0.056973,0.428444,All,#4682B4,0
6,8,-0.485366,-1.74805,0.0374042,-0.024502,1.18044,-0.241456,-1.56941,-0.246377,-0.820784,-0.0156393,0.241412,All,#4682B4,0
7,8,-0.00588769,-0.969944,-0.021072,0.335594,0.855256,-0.139157,-0.872831,-0.409419,-0.850429,-0.0264899,0.141179,All,#4682B4,0
8,8,-0.639464,-1.85348,0.0300507,0.242811,1.75402,-0.373446,-1.09035,-0.024099,-0.777528,-0.0244448,0.75259,All,#4682B4,0
9,8,-0.507437,-1.9435,0.138443,0.204563,1.1947,-0.201498,-1.73264,-0.138556,-0.834057,-0.0128435,0.329807,All,#4682B4,0
10,8,-0.389508,-1.5543,0.392815,0.247257,1.19365,-0.281097,-1.20813,-0.0354519,-0.703818,-0.027768,0.71249,All,#4682B4,0
1,9,0.168388,-0.42243,-0.172856,-0.0484634,0.603928,-0.171824,-1.37736,-0.811444,-0.636303,-0.00914215,-0.237818,All,#4682B4,0
2,9,0.062253,0.14092,-0.265265,-0.0763607,0.525204,-0.0800675,-0.260712,-0.371603,-0.256352,0.0223433,-0.55117,All,#4682B4,0
3,9,0.0170738,-0.663095,0.0873755,-0.196122,0.837777,-0.21955,-1.02929,-0.0366078,-0.00596693,-0.019489,-0.212694,All,#4682B4,0
4,9,0.0759025,-0.721887,-0.0562201,-0.0569537,0.797735,-0.208667,-0.875041,-0.315318,-0.56061,-0.00865619,-0.15205,All,#4682B4,0
5,9,0.458948,0.820145,0.214048,-0.203132,-0.756933,0.105158,0.58869,0.541961,0.565648,-0.006018,-0.408614,All,#4682B4,0
