beta_exp_abscissa,beta_exp_cdf,delta0_abscissa,delta0_cdf,p_abscissa,p_cdf,td_abscissa,td_cdf,b_exp_abscissa,b_exp_cdf,h_0_abscissa,h_0_cdf,tc_abscissa,tc_cdf,sigma_abscissa,sigma_cdf,rho_exp_abscissa,rho_exp_cdf,q_exp_abscissa,q_exp_cdf,ifn0_abscissa,ifn0_cdf,split
-5.36001,0,0.106556,0,1.36333,0.00833333,0.528159,0,-5.35521,0.00833333,0.230207,0,1.1797,0,0.0822944,0.00833333,-3.39837,0,-4.62025,0,0.100529,0,All
-4.78995,0.00833333,0.133725,0.00833333,1.40049,0.0166667,0.616478,0.00833333,-5.32136,0.0166667,0.391686,0.00833333,1.51205,0.00833333,0.0843643,0.0166667,-2.80701,0.00833333,-4.3343,0.00833333,0.13391,0.00833333,All
-4.74826,0.0166667,0.140764,0.0166667,1.46883,0.025,0.647734,0.0166667,-5.26843,0.025,0.411159,0.0166667,1.83721,0.0166667,0.0912801,0.025,-2.77401,0.0166667,-4.3242,0.0166667,0.138826,0.0166667,All
-4.73406,0.025,0.141977,0.025,1.57399,0.0333333,0.664352,0.025,-5.23048,0.0333333,0.414982,0.025,1.93247,0.025,0.0919953,0.0333333,-2.74251,0.025,-4.32312,0.025,0.142263,0.025,All
-4.71559,0.0333333,0.15535,0.0333333,1.61199,0.0416667,0.664669,0.0333333,-5.22552,0.0416667,0.415165,0.0333333,1.9327,0.0333333,0.0959707,0.0416667,-2.66866,0.0333333,-4.32257,0.0333333,0.148521,0.0333333,All
-4.71127,0.0416667,0.158675,0.0416667,1.65174,0.05,0.691457,0.0416667,-5.02284,0.05,0.418239,0.0416667,1.9333,0.0416667,0.103698,0.05,-2.64765,0.0416667,-4.32243,0.0416667,0.15008,0.0416667,All
-4.71024,0.05,0.172623,0.05,1.81101,0.0583333,0.84427,0.05,-5.02106,0.0583333,0.428727,0.05,2.02859,0.05,0.105854,0.0583333,-2.63128,0.05,-4.32015,0.05,0.150228,0.05,All
-4.68289,0.0583333,0.180125,0.0583333,1.85476,0.0666667,0.854053,0.0583333,-4.96951,0.0666667,0.429541,0.0583333,2.03047,0.0583333,0.115728,0.0666667,-2.61801,0.0583333,-4.31617,0.0583333,0.153529,0.0583333,All
-4.66315,0.0666667,0.181651,0.0666667,1.89205,0.075,0.871232,0.0666667,-4.95,0.075,0.430628,0.0666667,2.10305,0.0666667,0.116647,0.075,-2.57475,0.0666667,-4.31586,0.0666667,0.170666,0.0666667,All
-4.6351,0.075,0.183877,0.075,2.12395,0.0833333,0.8719,0.075,-4.73447,0.0833333,0.435987,0.075,2.1548,0.075,0.118454,0.0833333,-2.56771,0.075,-4.31243,0.075,0.17846,0.075,All
-4.6282,0.0833333,0.187784,0.0833333,2.13324,0.0916667,0.882513,0.0833333,-4.7097,0.0916667,0.446507,0.0833333,2.21222,0.0833333,0.118885,0.0916667,-2.53381,0.0833333,-4.31182,0.0833333,0.179896,0.0833333,All
-4.60264,0.0916667,0.191233,0.0916667,2.13571,0.1,1.16826,0.0916667,-4.6764,0.1,0.451411,0.0916667,2.4064,0.0916667,0.133363,0.1,-2.51388,0.0916667,-4.31129,0.0916667,0.182945,0.0916667,All
-4.56689,0.1,0.192009,0.1,2.22943,0.108333,1.25182,0.1,-4.44727,0.108333,0.454151,0.1,2.4178,0.1,0.141942,0.108333,-2.50104,0.1,-4.3112,0.1,0.198009,0.1,All
-4.53574,0.108333,0.19235,0.108333,2.24954,0.116667,1.29972,0.108333,-4.4255,0.116667,0.456593,0.108333,2.53726,0.108333,0.172046,0.116667,-2.49807,0.108333,-4.31034,0.108333,0.198736,0.108333,All
-4.53162,0.116667,0.199072,0.116667,2.26886,0.125,1.30687,0.116667,-4.04321,0.125,0.458702,0.116667,2.57991,0.116667,0.174379,0.125,-2.47989,0.116667,-4.30931,0.116667,0.205303,0.116667,All
-4.53084,0.125,0.209206,0.125,2.30314,0.133333,1.35294,0.125,-4.01524,0.133333,0.461873,0.125,2.68874,0.125,0.18048,0.133333,-2.45133,0.125,-4.30836,0.125,0.205364,0.125,All
-4.501,0.133333,0.20953,0.133333,2.3139,0.141667,1.35342,0.133333,-3.96701,0.141667,0.469282,0.133333,2.69346,0.133333,0.181185,0.141667,-2.43353,0.133333,-4.30751,0.133333,0.206759,0.133333,All
-4.48104,0.141667,0.218749,0.141667,2.35942,0.15,1.35898,0.141667,-3.96116,0.15,0.47091,0.141667,2.72187,0.141667,0.187801,0.15,-2.41566,0.141667,-4.30736,0.141667,0.208164,0.141667,All
-4.47377,0.15,0.22309,0.15,2.44487,0.158333,1.36682,0.15,-3.92716,0.158333,0.477251,0.15,2.91419,0.15,0.203673,0.158333,-2.37429,0.15,-4.30678,0.15,0.208493,0.15,All
-4.46361,0.158333,0.228219,0.158333,2.45615,0.166667,1.37409,0.158333,-3.88159,0.166667,0.477384,0.158333,2.92486,0.158333,0.213374,0.166667,-2.36432,0.158333,-4.30589,0.158333,0.2113,0.158333,All
-4.4413,0.166667,0.231471,0.166667,2.49338,0.175,1.38792,0.166667,-3.74304,0.175,0.477487,0.166667,2.93002,0.166667,0.227543,0.175,-2.35784,0.166667,-4.3051,0.166667,0.211323,0.166667,All
-4.43942,0.175,0.253226,0.175,2.50991,0.183333,1.40404,0.175,-3.70181,0.183333,0.481442,0.175,2.9391,0.175,0.249501,0.183333,-2.3539,0.175,-4.30382,0.175,0.230494,0.175,All
-4.36603,0.183333,0.254353,0.183333,2.53075,0.191667,1.41649,0.183333,-3.69965,0.191667,0.482847,0.183333,2.99445,0.183333,0.251421,0.191667,-2.33694,0.183333,-4.30381,0.183333,0.23051,0.183333,All
-4.35945,0.191667,0.256502,0.191667,2.53628,0.2,1.42222,0.191667,-3.65586,0.2,0.486282,0.191667,3.01656,0.191667,0.261658,0.2,-2.33433,0.191667,-4.30329,0.191667,0.235874,0.191667,All
-4.35181,0.2,0.268023,0.2,2.54343,0.208333,1.43593,0.2,-3.65389,0.208333,0.487821,0.2,3.15137,0.2,0.262948,0.208333,-2.33406,0.2,-4.3031,0.2,0.242185,0.2,All
-4.33158,0.208333,0.272049,0.208333,2.56234,0.216667,1.47693,0.208333,-3.59799,0.216667,0.493159,0.208333,3.20827,0.208333,0.269325,0.216667,-2.32219,0.208333,-4.30308,0.208333,0.245263,0.208333,All
-4.30951,0.216667,0.299587,0.216667,2.58392,0.225,1.48389,0.216667,-3.53358,0.225,0.496069,0.216667,3.27928,0.216667,0.26979,0.225,-2.31766,0.216667,-4.30306,0.216667,0.245666,0.216667,All
-4.30218,0.225,0.308935,0.225,2.5912,0.233333,1.53516,0.225,-3.3248,0.233333,0.496707,0.225,3.3538,0.225,0.273697,0.233333,-2.30756,0.225,-4.30224,0.225,0.254449,0.225,All
-4.28207,0.233333,0.330702,0.233333,2.5948,0.241667,1.5411,0.233333,-3.29048,0.241667,0.496784,0.233333,3.38082,0.233333,0.280188,0.241667,-2.30286,0.233333,-4.30178,0.233333,0.259531,0.233333,All
-4.2787,0.241667,0.348698,0.241667,2.60677,0.25,1.57497,0.241667,-3.27611,0.25,0.499852,0.241667,3.44422,0.241667,0.28165,0.25,-2.29594,0.241667,-4.30105,0.241667,0.261265,0.241667,All
-4.27424,0.25,0.358802,0.25,2.60697,0.258333,1.57738,0.25,-3.22138,0.258333,0.502205,0.25,3.45756,0.25,0.296041,0.258333,-2.28833,0.25,-4.29815,0.25,0.265206,0.25,All
-4.26303,0.258333,0.37586,0.258333,2.61064,0.266667,1.58605,0.258333,-3.20724,0.266667,0.504139,0.258333,3.52955,0.258333,0.296411,0.266667,-2.27603,0.258333,-4.29785,0.258333,0.265457,0.258333,All
-4.23554,0.266667,0.376896,0.266667,2.61131,0.275,1.58891,0.266667,-3.18819,0.275,0.504929,0.266667,3.582,0.266667,0.307727,0.275,-2.27442,0.266667,-4.29759,0.266667,0.265828,0.266667,All
-4.21365,0.275,0.399842,0.275,2.62771,0.283333,1.61145,0.275,-3.15488,0.283333,0.51139,0.275,3.73889,0.275,0.312318,0.283333,-2.26658,0.275,-4.29719,0.275,0.266727,0.275,All
-4.20446,0.283333,0.409381,0.283333,2.67891,0.291667,1.61622,0.283333,-3.1251,0.291667,0.511667,0.283333,3.73938,0.283333,0.316534,0.291667,-2.21458,0.283333,-4.29682,0.283333,0.268748,0.283333,All
-4.18002,0.291667,0.41555,0.291667,2.69681,0.3,1.64665,0.291667,-3.07375,0.3,0.513345,0.291667,3.74458,0.291667,0.317566,0.3,-2.21305,0.291667,-4.29637,0.291667,0.270994,0.291667,All
-4.16162,0.3,0.476653,0.3,2.70929,0.308333,1.64804,0.3,-3.02365,0.308333,0.518367,0.3,3.77426,0.3,0.321683,0.308333,-2.18881,0.3,-4.29607,0.3,0.273827,0.3,All
-4.15979,0.308333,0.481677,0.308333,2.74554,0.316667,1.65729,0.308333,-3.00608,0.316667,0.520377,0.308333,3.84798,0.308333,0.322947,0.316667,-2.18694,0.308333,-4.29477,0.308333,0.274634,0.308333,All
