beta_exp_abscissa,beta_exp_pdf,delta0_abscissa,delta0_pdf,p_abscissa,p_pdf,td_abscissa,td_pdf,b_exp_abscissa,b_exp_pdf,h_0_abscissa,h_0_pdf,tc_abscissa,tc_pdf,sigma_abscissa,sigma_pdf,rho_exp_abscissa,rho_exp_pdf,q_exp_abscissa,q_exp_pdf,ifn0_abscissa,ifn0_pdf,split
-4.67604,0.47884,1.00212,0.41351,1.47331,0.165317,0.783492,0.272161,-5.13737,0.187797,0.417994,1.55498,1.97378,0.118134,0.163157,1.18046,-2.68519,0.335817,-4.32868,2.42216,0.179704,1.98516,All
-4.44821,0.47884,2.73891,0.0942176,1.69327,0.0826585,1.11752,0.0544322,-4.7017,0.0625989,0.470611,3.28273,2.89723,0.147667,0.324882,1.96743,-2.44155,0.597008,-4.31742,5.65172,0.271293,2.67997,All
-4.22039,0.59855,4.47571,0.0523431,1.91324,0.123988,1.45155,0.598755,-4.26603,0.0417326,0.523228,3.10995,3.82068,0.196889,0.486607,1.63015,-2.19791,0.783573,-4.30616,15.3404,0.362882,2.18368,All
-3.99257,0.438937,6.2125,0.0209372,2.1332,0.165317,1.78557,0.952564,-3.83035,0.229529,0.575845,2.93718,4.74414,0.147667,0.648331,1.34909,-1.95427,0.671634,-4.2949,14.533,0.45447,0.694807,All
-3.76474,0.917777,7.94929,0.0157029,2.35316,0.289305,2.1196,0.136081,-3.39468,0.16693,0.628462,1.90053,5.66759,0.0787558,0.810056,0.0562122,-1.71064,0.634321,-4.28364,13.7256,0.546059,1.29036,All
-3.53692,0.83797,9.68608,0.00523431,2.57313,0.619939,2.45363,0.462674,-2.959,0.16693,0.681079,2.0733,6.59104,0.118134,0.971781,0.0562122,-1.467,0.37313,-4.27238,14.533,0.637647,1.38961,All
-3.3091,0.518744,11.4229,0.00523431,2.79309,0.495951,2.78765,0.435458,-2.52333,0.104332,0.733696,1.03665,7.51449,0.0984447,1.13351,0.112424,-1.22336,0.261191,-4.26112,5.65172,0.729236,0.595549,All
-3.08128,0.11971,13.1597,0.00523431,3.01305,0.909243,3.12168,0.0816483,-2.08766,0.250396,0.786313,0.863875,8.43795,0.0393779,1.29523,0.0562122,-0.979718,0.074626,-4.24986,6.4591,0.820825,0.794065,All
-2.85345,0.0399033,14.8965,0,3.23302,1.19855,3.45571,0,-1.65198,0.605123,0.83893,1.55498,9.3614,0.00984447,1.45696,0.112424,-0.736079,0.447756,-4.2386,9.68866,0.912413,0,All
-2.62563,0.11971,16.6333,0.0104686,3.45298,0.578609,3.78973,0.0544322,-1.21631,0.375593,0.891547,2.0733,10.2849,0.0590668,1.61868,0.112424,-0.492439,0.223878,-4.22734,7.26649,1.004,0.0992581,All
-2.39781,0.23942,18.37,0.00523431,3.67294,0.330634,4.12376,0.217729,-0.780633,0.312995,0.944164,0.34555,11.2083,0.167356,1.78041,0.112424,-0.2488,0.074626,-4.21608,1.61478,1.09559,0.198516,All
