beta_exp_abscissa,beta_exp_pdf,beta_exp_cdf,delta0_abscissa,delta0_pdf,delta0_cdf,p_abscissa,p_pdf,p_cdf,td_abscissa,td_pdf,td_cdf,b_exp_abscissa,b_exp_pdf,b_exp_cdf,h_0_abscissa,h_0_pdf,h_0_cdf,tc_abscissa,tc_pdf,tc_cdf,sigma_abscissa,sigma_pdf,sigma_cdf,rho_exp_abscissa,rho_exp_pdf,rho_exp_cdf,q_exp_abscissa,q_exp_pdf,q_exp_cdf,ifn0_abscissa,ifn0_pdf,ifn0_cdf,split
-5.36001,0.0284614,0.00618912,0.106556,0.656057,0.0425126,1.36333,0.00908613,0.00148492,0.528159,0.02133,0.00151481,-5.35521,0.0242148,0.0127611,0.230207,0.00280064,3.77675e-05,1.1797,0.0674746,0.0473275,0.0822944,0.385246,0.00755094,-3.39837,0.0336216,0.00821568,-4.62025,2.22045e-16,2.22045e-16,0.100529,0.166942,0.00270445,All
-5.32894,0.0322601,0.00713145,0.299807,0.670766,0.177875,1.39374,0.0107499,0.0017859,0.59404,0.0406011,0.0035115,-5.30143,0.0264294,0.0141223,0.24408,0.00660267,9.9813e-05,1.28566,0.0700806,0.0546182,0.101564,0.645619,0.0174392,-3.36533,0.0378162,0.00939488,-4.61332,2.22045e-16,2.22045e-16,0.11559,0.305107,0.00620216,All
-5.29786,0.0364723,0.00819817,0.493058,0.540175,0.294818,1.42415,0.0126768,0.00214139,0.659922,0.0679242,0.00704218,-5.24765,0.0288015,0.0156068,0.257952,0.0140885,0.000237891,1.39163,0.0723923,0.062169,0.120833,0.915344,0.0324899,-3.33228,0.04243,0.0107195,-4.6064,2.22045e-16,2.22045e-16,0.130651,0.48522,0.0121066,All
-5.26679,0.041129,0.00940258,0.68631,0.431089,0.388199,1.45456,0.0149004,0.00255991,0.725804,0.102933,0.0126309,-5.19387,0.0313374,0.0172232,0.271825,0.0275673,0.000518317,1.49759,0.074451,0.069951,0.140103,1.16621,0.0525917,-3.29924,0.0474901,0.0122039,-4.59947,2.22045e-16,2.22045e-16,0.145712,0.696883,0.0209769,All
-5.23572,0.0462616,0.010759,0.879561,0.348724,0.463169,1.48497,0.0174569,0.00305101,0.791686,0.144347,0.0207461,-5.14008,0.0340434,0.0189806,0.285698,0.0500082,0.00104413,1.60355,0.076291,0.0779394,0.159372,1.38182,0.0772057,-3.2662,0.0530234,0.0138633,-4.59254,2.22045e-16,2.22045e-16,0.160774,0.92667,0.0331893,All
-5.20465,0.0519018,0.0122827,1.07281,0.286599,0.524282,1.51538,0.0203854,0.0036254,0.857567,0.190264,0.0317496,-5.0863,0.0369253,0.0208882,0.299571,0.0848745,0.00196326,1.70951,0.0779413,0.0861124,0.178641,1.5551,0.105572,-3.23315,0.0590565,0.0157137,-4.58561,2.22045e-16,2.22045e-16,0.175835,1.16085,0.0489121,All
-5.17358,0.0580806,0.01399,1.26606,0.239006,0.574872,1.54579,0.0237275,0.00429503,0.923449,0.238488,0.0458666,-5.03252,0.0399886,0.0229557,0.313444,0.135818,0.00347341,1.81548,0.0794259,0.0944513,0.197911,1.68519,0.136859,-3.20011,0.0656151,0.0177721,-4.57869,2.22045e-16,2.22045e-16,0.190896,1.38723,0.068117,All
-5.1425,0.0648289,0.015898,1.45931,0.201887,0.617331,1.5762,0.0275275,0.00507314,0.989331,0.286825,0.063176,-4.97874,0.0432385,0.025193,0.327317,0.206271,0.00582195,1.92144,0.0807655,0.10294,0.21718,1.77487,0.170257,-3.16706,0.0727235,0.0200562,-4.57176,2.22045e-16,2.22045e-16,0.205957,1.59611,0.0906101,All
-5.11143,0.0721761,0.0180249,1.65257,0.172445,0.653395,1.60661,0.0318319,0.00597436,1.05521,0.333291,0.0836184,-4.92495,0.0466794,0.0276101,0.34119,0.298998,0.00929972,2.0274,0.0819777,0.111563,0.236449,1.82879,0.20503,-3.13402,0.0804045,0.0225846,-4.56483,2.22045e-16,2.22045e-16,0.221018,1.7806,0.116072,All
-5.08036,0.0801506,0.0203897,1.84582,0.148733,0.684349,1.63702,0.0366894,0.00701476,1.12109,0.376244,0.107014,-4.87117,0.0503155,0.0302175,0.355062,0.415679,0.0142288,2.13337,0.0830776,0.120309,0.255719,1.85228,0.240541,-3.10097,0.0886792,0.0253765,-4.5579,2.22045e-16,2.22045e-16,0.236079,1.93646,0.144102,All
-5.04929,0.0887785,0.0230125,2.03907,0.129377,0.71116,1.66743,0.0421502,0.00821192,1.18698,0.414449,0.133089,-4.81739,0.05415,0.0330258,0.368935,0.556597,0.0209454,2.23933,0.084078,0.129166,0.274988,1.85068,0.276254,-3.06793,0.097566,0.028452,-4.55098,2.22045e-16,2.22045e-16,0.25114,2.06176,0.174249,All
-5.01822,0.0980838,0.0259138,2.23232,0.113387,0.73457,1.69784,0.0482659,0.00958496,1.25286,0.447073,0.161501,-4.76361,0.0581859,0.0360457,0.382808,0.720462,0.0297784,2.34529,0.0849903,0.138124,0.294258,1.82894,0.311734,-3.03488,0.10708,0.0318315,-4.54405,4.27269e-16,2.22045e-16,0.266201,2.15634,0.206052,All
-4.98715,0.108087,0.029115,2.42557,0.100038,0.755154,1.72825,0.0550888,0.0111546,1.31874,0.47366,0.191864,-4.70982,0.0624248,0.0392882,0.396681,0.904417,0.0410282,2.45126,0.0858241,0.147175,0.313527,1.79147,0.346638,-3.00184,0.117235,0.0355359,-4.53712,2.99163e-15,2.22045e-16,0.281262,2.22144,0.239055,All
-4.95607,0.118806,0.0326381,2.61882,0.0887882,0.77337,1.75866,0.0626712,0.0129431,1.38462,0.494071,0.223776,-4.65604,0.066868,0.0427641,0.410554,1.10419,0.0549454,2.55722,0.0865881,0.15631,0.332796,1.74206,0.380699,-2.9688,0.128038,0.0395865,-4.53019,1.99009e-14,2.22045e-16,0.296324,2.25918,0.272829,All
-4.925,0.130254,0.0365056,2.81207,0.0792269,0.78958,1.78907,0.0710646,0.0149745,1.4505,0.508425,0.256832,-4.60226,0.0715156,0.0464845,0.424427,1.31439,0.0717131,2.66318,0.0872896,0.165523,0.352066,1.68392,0.413719,-2.93575,0.139495,0.044005,-4.52326,1.25775e-13,4.44089e-16,0.311385,2.27227,0.306982,All
-4.89393,0.142441,0.0407403,3.00533,0.0710387,0.804079,1.81948,0.0803195,0.017274,1.51639,0.517038,0.290642,-4.54848,0.0763668,0.0504603,0.4383,1.52887,0.0914339,2.76914,0.0879353,0.174807,0.371335,1.61967,0.445556,-2.90271,0.151604,0.0488128,-4.51634,7.55224e-13,2.88658e-15,0.326446,2.26372,0.341166,All
-4.86286,0.155369,0.0453651,3.19858,0.0639783,0.817109,1.84989,0.0904837,0.0198687,1.58227,0.520359,0.324842,-4.4947,0.0814197,0.0547025,0.452173,1.74119,0.114123,2.87511,0.0885308,0.184157,0.390605,1.55148,0.476114,-2.86966,0.164361,0.0540314,-4.50941,4.30838e-12,1.70974e-14,0.341507,2.23661,0.375077,All
