pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-2.61227,0.0103559,-4.07594,0.00197039,-1.87689,0.0382851,All
-2.35296,0,-3.94408,0.00197039,-1.66646,0.0510468,All
-2.09365,0.0103559,-3.81222,0,-1.45603,0.0765703,All
-1.83433,0.0414237,-3.68036,0,-1.2456,0.153141,All
-1.57502,0.0517796,-3.5485,0.00197039,-1.03518,0.280758,All
-1.31571,0.103559,-3.41665,0.00394079,-0.824748,0.229711,All
-1.0564,0.176051,-3.28479,0.00394079,-0.61432,0.472183,All
-0.797083,0.27961,-3.15293,0.00394079,-0.403892,0.52323,All
-0.53777,0.486729,-3.02107,0.00394079,-0.193464,0.472183,All
-0.278458,0.517796,-2.88921,0.00985197,0.016964,0.408375,All
-0.0191451,0.455661,-2.75735,0.0216743,0.227392,0.395613,All
0.240167,0.414237,-2.62549,0.00591118,0.43782,0.52323,All
0.49948,0.55922,-2.49363,0.0197039,0.648248,0.37009,All
0.758792,0.372813,-2.36177,0.0315263,0.858676,0.306281,All
1.01811,0.258898,-2.22992,0.0256151,1.0691,0.267996,All
1.27742,0.134627,-2.09806,0.0472895,1.27953,0.153141,All
1.53673,0.113915,-1.9662,0.0394079,1.48996,0.127617,All
1.79604,0.0207119,-1.83434,0.0709342,1.70039,0.0638086,All
2.05536,0.0310678,-1.70248,0.0729046,1.91082,0.0382851,All
2.31467,0.0103559,-1.57062,0.0827566,2.12124,0.0382851,All
,,-1.43876,0.133987,,,All
,,-1.3069,0.197039,,,All
,,-1.17504,0.175365,,,All
,,-1.04319,0.25024,,,All
,,-0.911326,0.242359,,,All
,,-0.779468,0.264033,,,All
,,-0.647609,0.273885,,,All
,,-0.51575,0.287678,,,All
,,-0.383891,0.303441,,,All
,,-0.252032,0.352701,,,All
,,-0.120173,0.366493,,,All
,,0.0116859,0.488658,,,All
,,0.143545,0.482747,,,All
,,0.275404,0.421664,,,All
,,0.407263,0.453191,,,All
,,0.539121,0.439398,,,All
,,0.67098,0.362553,,,All
,,0.802839,0.423635,,,All
,,0.934698,0.254181,,,All
,,1.06656,0.189158,,,All
,,1.19842,0.181276,,,All
,,1.33027,0.124135,,,All
,,1.46213,0.120194,,,All
,,1.59399,0.106401,,,All
,,1.72585,0.10049,,,All
,,1.85771,0.0551711,,,All
,,1.98957,0.0512303,,,All
,,2.12143,0.0295559,,,All
,,2.25329,0.0334967,,,All
,,2.38515,0.0157632,,,All
,,2.517,0.0118224,,,All
,,2.64886,0.0157632,,,All
,,2.78072,0.0118224,,,All
,,2.91258,0.00788158,,,All
,,3.04444,0.00197039,,,All
,,3.1763,0.00394079,,,All
,,3.30816,0.00197039,,,All
,,3.44002,0,,,All
,,3.57188,0.00394079,,,All
,,3.70374,0,,,All
,,3.83559,0,,,All
,,3.96745,0,,,All
,,4.09931,0.0157632,,,All
