standEta_beta_exp_abscissa,standEta_beta_exp_pdf,standEta_delta0_abscissa,standEta_delta0_pdf,standEta_p_abscissa,standEta_p_pdf,standEta_td_abscissa,standEta_td_pdf,standEta_b_exp_abscissa,standEta_b_exp_pdf,standEta_h_0_abscissa,standEta_h_0_pdf,standEta_tc_abscissa,standEta_tc_pdf,standEta_sigma_abscissa,standEta_sigma_pdf,standEta_rho_exp_abscissa,standEta_rho_exp_pdf,standEta_q_exp_abscissa,standEta_q_exp_pdf,standEta_ifn0_abscissa,standEta_ifn0_pdf,split
-1.38732,0.294035,-1.37249,0.41703,-2.76416,0.0879687,-2.40913,0.11263,-2.07328,0.255484,-1.62236,0.13512,-1.28629,0.249921,-2.2142,0.147492,-1.33055,0.224114,-1.67723,0.0741471,-2.00792,0.162186,All
-1.0163,0.294035,-1.0237,0.286708,-2.35079,0.0439843,-2.00556,0.0901039,-1.75304,0.0851615,-1.28596,0.270241,-0.92254,0.424867,-1.78274,0.126422,-0.965473,0.398425,-1.30941,0.17301,-1.61556,0.0926776,All
-0.645291,0.367544,-0.674914,0.364901,-1.93742,0.0659765,-1.60198,0.022526,-1.43279,0.0567743,-0.949561,0.378337,-0.558789,0.599812,-1.35129,0.105352,-0.6004,0.522933,-0.94159,0.469598,-1.22319,0.278033,All
-0.274278,0.269532,-0.326128,0.312773,-1.52405,0.0879687,-1.19841,0.022526,-1.11254,0.312259,-0.613161,0.45941,-0.195039,0.524835,-0.919834,0.105352,-0.235326,0.448228,-0.573771,0.444883,-0.830821,0.417049,All
0.0967353,0.563567,0.022659,0.495223,-1.11068,0.153945,-0.794834,0.33789,-0.792293,0.227097,-0.276761,0.45941,0.168712,0.374882,-0.488379,0.400337,0.129747,0.423327,-0.205952,0.420167,-0.438454,0.417049,All
0.467749,0.514561,0.371446,0.286708,-0.697306,0.329883,-0.391259,0.608201,-0.472046,0.227097,0.0596392,0.270241,0.532462,0.224929,-0.0569234,0.442477,0.494821,0.249016,0.161868,0.444883,-0.046087,0.254863,All
0.838762,0.318538,0.720232,0.260644,-0.283936,0.263906,0.0123153,0.405467,-0.151799,0.141936,0.396039,0.297265,0.896213,0.0499843,0.374532,0.61104,0.859895,0.174311,0.529687,0.17301,0.34628,0.254863,All
1.20978,0.0735087,1.06902,0.260644,0.129434,0.483828,0.41589,0.405467,0.168448,0.340646,0.732439,0.216193,1.25996,0.0749764,0.805987,0.379266,1.22497,0.0498032,0.897506,0.197726,0.738647,0.301202,All
1.58079,0.0245029,1.41781,0.23458,0.542805,0.637773,0.819464,0.427993,0.488696,0.823227,1.06884,0.162145,1.62371,0.174945,1.23744,0.0210703,1.59004,0.298819,1.26533,0.296588,1.13101,0.347541,All
1.9518,0.0735087,1.76659,0.104258,0.956175,0.30789,1.22304,0.0450519,0.808943,0.510969,1.40524,0.45941,1.98746,0.174945,1.6689,0.0842814,1.95512,0.149409,1.63314,0.222441,1.52338,0.185355,All
2.32282,0.147017,2.11538,0.104258,1.36954,0.175937,1.62661,0.22526,1.12919,0.425807,1.74164,0.13512,2.35122,0.124961,2.10035,0.105352,2.32019,0.0498032,2.00096,0.0494314,1.91575,0.0695082,All
