rep,ID,standEta_beta_exp_simulated,standEta_delta0_simulated,standEta_p_simulated,standEta_td_simulated,standEta_b_exp_simulated,standEta_h_0_simulated,standEta_tc_simulated,standEta_sigma_simulated,standEta_rho_exp_simulated,standEta_q_exp_simulated,standEta_ifn0_simulated,filter
1,7,-0.317665,0.187549,-0.766546,0.93341,-0.41359,0.794745,1.07203,0.514032,0.392262,0.0943359,-0.0763289,0
2,7,-0.778489,-0.0604212,-0.37329,0.835234,-0.28315,0.563049,0.432659,-0.0085062,0.287281,0.0376137,1.13051,0
3,7,-1.00504,-0.784792,-0.286451,1.09019,0.0309451,0.190327,-0.256566,-0.04205,-0.623077,-0.62194,0.910133,0
4,7,-0.179336,0.940501,-0.656579,0.834254,-0.984279,1.4584,1.48157,0.577832,1.09557,1.15284,0.480526,0
5,7,-0.362919,-0.000739392,-0.938338,0.993313,-0.519568,0.97159,0.474749,-0.35533,-0.197086,-0.197512,0.709386,0
6,7,-0.266828,0.0556929,-0.847172,0.616864,-0.640512,0.981811,0.55039,-0.625676,0.259078,-0.0586237,1.08156,0
7,7,-0.159116,-0.19843,-0.717586,0.804223,-0.616026,0.857285,0.23978,-0.730356,-0.411452,-0.661671,0.692023,0
8,7,-0.669959,-0.701169,-0.626814,1.13459,-0.147457,0.338555,-0.0158683,-0.204856,-0.747284,-0.980918,1.05573,0
9,7,0.0831594,0.70484,-0.594732,0.369247,-1.1837,1.48713,1.19677,0.34195,1.31474,0.19609,-0.382435,0
10,7,0.0634137,-0.00802974,-1.18447,0.49212,-0.98283,1.39239,0.12353,-0.980055,0.369605,-0.139512,1.50435,0
1,8,-1.06976,-1.41479,0.703986,0.504908,0.899518,-0.937206,-1.25965,-0.307205,-1.46363,-1.10629,0.74874,0
2,8,-0.732978,-1.15171,0.534483,0.46883,0.699561,-0.647709,-1.26002,-0.236218,-0.735886,-1.26882,1.12886,0
3,8,-1.44469,-1.54688,1.3326,-0.119082,1.05903,-1.59268,-0.881489,0.107475,-1.51308,-0.985894,1.76239,0
4,8,-0.619351,-1.13416,0.30089,0.505159,0.917036,-1.16521,-1.21774,-0.481745,-1.41643,-1.47782,0.960803,0
5,8,-0.413656,-1.16688,0.153181,0.584181,0.596593,-0.604606,-1.46817,-0.557578,-0.834132,-1.86114,0.862962,0
6,8,-0.790425,-1.34973,0.0702926,-0.0560625,0.867697,-0.984749,-1.14122,-0.374933,-1.22988,-0.510888,0.486246,0
7,8,-0.00958818,-0.748928,-0.0395999,0.767865,0.628665,-0.567532,-0.634691,-0.623048,-1.2743,-0.865346,0.284359,0
8,8,-1.04138,-1.43114,0.0564735,0.555569,1.28931,-1.52305,-0.792862,-0.0366735,-1.16506,-0.798538,1.51585,0
9,8,-0.826368,-1.50065,0.260171,0.468054,0.878181,-0.821784,-1.25992,-0.210853,-1.24977,-0.419558,0.66429,0
10,8,-0.63432,-1.20013,0.738205,0.565743,0.877408,-1.14642,-0.878512,-0.0539501,-1.05461,-0.907096,1.43508,0
