iteration,E_beta_exp,sd_beta_exp,E_delta0,sd_delta0,E_p,sd_p,E_td,sd_td,E_b_exp,sd_b_exp,E_h_0,sd_h_0,E_tc,sd_tc,E_sigma,sd_sigma,E_rho_exp,sd_rho_exp,E_q_exp,sd_q_exp,E_ifn0,sd_ifn0
1,-3.81395,0.199826,2.5038,0.551447,2.92538,0.252725,2.09839,0.11613,-2.32641,0.4802,0.629124,0.0972504,5.77779,0.624087,0.493838,0.244726,-1.76316,0.286315,-4.27466,0.0205728,0.431131,0.317243
2,-3.8149,0.177147,2.50351,0.486882,2.92327,0.22119,2.09997,0.0988832,-2.3253,0.413624,0.629093,0.0853553,5.80957,0.539623,0.491814,0.218278,-1.76544,0.254405,-4.27506,0.0185426,0.428666,0.284845
3,-3.81552,0.173278,2.48677,0.465176,2.92203,0.207255,2.09474,0.0959259,-2.32463,0.386226,0.628967,0.0817047,5.80079,0.510723,0.489292,0.210339,-1.75898,0.244015,-4.2753,0.0177881,0.425742,0.273074
4,-3.81807,0.170867,2.47932,0.461713,2.9256,0.200126,2.09102,0.0942717,-2.32451,0.373494,0.628456,0.079697,5.80711,0.493951,0.489697,0.207538,-1.75768,0.23838,-4.27552,0.0172378,0.421163,0.262983
5,-3.81863,0.173491,2.44711,0.454822,2.93053,0.200471,2.09428,0.0932271,-2.32331,0.365415,0.628083,0.0787661,5.81476,0.482285,0.489589,0.207238,-1.76076,0.239709,-4.27579,0.016847,0.422298,0.257696
6,-3.81944,0.179332,2.40613,0.449077,2.93154,0.202032,2.09582,0.0940873,-2.32435,0.361086,0.628126,0.0783607,5.81959,0.476612,0.487935,0.205777,-1.76384,0.241316,-4.27615,0.0167025,0.423679,0.258992
7,-3.81891,0.181938,2.38042,0.44569,2.92999,0.20564,2.09623,0.0954906,-2.32431,0.358824,0.62803,0.0788445,5.82453,0.472982,0.48672,0.206948,-1.76609,0.239623,-4.27636,0.0165648,0.425657,0.258122
8,-3.81507,0.184098,2.36784,0.447265,2.92877,0.206264,2.09525,0.0973668,-2.32483,0.357351,0.627774,0.0787577,5.8355,0.474848,0.486177,0.20877,-1.76875,0.238486,-4.27645,0.0164022,0.425949,0.256769
9,-3.81016,0.185205,2.35845,0.446972,2.92717,0.205841,2.09503,0.0984245,-2.32527,0.353708,0.627365,0.0779199,5.84673,0.469113,0.486524,0.208695,-1.7719,0.237898,-4.27654,0.0163531,0.427408,0.25525
10,-3.80778,0.185833,2.35113,0.4475,2.92773,0.206568,2.09555,0.099203,-2.32551,0.349851,0.627013,0.0775333,5.85208,0.467924,0.488005,0.209669,-1.77193,0.236137,-4.27662,0.0162882,0.427517,0.256277
11,-3.805,0.186599,2.3434,0.446606,2.92978,0.207589,2.0942,0.100193,-2.32532,0.347241,0.626625,0.077,5.85165,0.464324,0.48937,0.21,-1.77166,0.235125,-4.27657,0.0163591,0.427479,0.258096
