popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
-0.969594,-0.810425,-0.969594,-1.88846,-0.0507239,-1.41735,-1.59635,-1.41735,-2.33622,-0.498476,All
-0.941108,-0.786624,-0.941108,-1.85998,-0.0222387,-1.38106,-1.54447,-1.38106,-2.29993,-0.462186,All
-0.912623,-0.762823,-0.912623,-1.83149,0.00624656,-1.34477,-1.49266,-1.34477,-2.26364,-0.425897,All
-0.884138,-0.739021,-0.884138,-1.80301,0.0347318,-1.30848,-1.44086,-1.30848,-2.22735,-0.389608,All
-0.855653,-0.71522,-0.855653,-1.77452,0.063217,-1.27219,-1.38905,-1.27219,-2.19106,-0.353318,All
-0.827168,-0.691419,-0.827168,-1.74604,0.0917022,-1.2359,-1.34318,-1.2359,-2.15477,-0.317029,All
-0.798682,-0.667617,-0.798682,-1.71755,0.120187,-1.19961,-1.29796,-1.19961,-2.11848,-0.28074,All
-0.770197,-0.643816,-0.770197,-1.68907,0.148673,-1.16332,-1.25624,-1.16332,-2.08219,-0.24445,All
-0.741712,-0.620015,-0.741712,-1.66058,0.177158,-1.12703,-1.21452,-1.12703,-2.0459,-0.208161,All
-0.713227,-0.596213,-0.713227,-1.6321,0.205643,-1.09074,-1.17413,-1.09074,-2.00961,-0.171872,All
-0.684741,-0.572412,-0.684741,-1.60361,0.234128,-1.05445,-1.13566,-1.05445,-1.97332,-0.135582,All
-0.656256,-0.548611,-0.656256,-1.57513,0.262614,-1.01816,-1.09855,-1.01816,-1.93703,-0.0992928,All
-0.627771,-0.52481,-0.627771,-1.54664,0.291099,-0.981873,-1.06333,-0.981873,-1.90074,-0.0630034,All
-0.599286,-0.501008,-0.599286,-1.51816,0.319584,-0.945584,-1.02883,-0.945584,-1.86445,-0.026714,All
-0.570801,-0.477207,-0.570801,-1.48967,0.348069,-0.909294,-0.994324,-0.909294,-1.82816,0.00957532,All
-0.542315,-0.465762,-0.542315,-1.46119,0.376554,-0.873005,-0.95982,-0.873005,-1.79187,0.0458647,All
-0.51383,-0.458802,-0.51383,-1.4327,0.40504,-0.836716,-0.927172,-0.836716,-1.75559,0.0821541,All
-0.485345,-0.451842,-0.485345,-1.40421,0.433525,-0.800426,-0.894606,-0.800426,-1.7193,0.118443,All
-0.45686,-0.444883,-0.45686,-1.37573,0.46201,-0.764137,-0.862497,-0.764137,-1.68301,0.154733,All
-0.428374,-0.437923,-0.428374,-1.34724,0.490495,-0.727848,-0.830666,-0.727848,-1.64672,0.191022,All
-0.399889,-0.395361,-0.399889,-1.31876,0.518981,-0.691558,-0.798907,-0.691558,-1.61043,0.227312,All
-0.371404,-0.363725,-0.371404,-1.29027,0.547466,-0.655269,-0.767101,-0.655269,-1.57414,0.263601,All
-0.342919,-0.333049,-0.342919,-1.26179,0.575951,-0.61898,-0.735026,-0.61898,-1.53785,0.29989,All
-0.314434,-0.302373,-0.314434,-1.2333,0.604436,-0.58269,-0.702539,-0.58269,-1.50156,0.33618,All
-0.285948,-0.271696,-0.285948,-1.20482,0.632922,-0.546401,-0.669646,-0.546401,-1.46527,0.372469,All
-0.257463,-0.24102,-0.257463,-1.17633,0.661407,-0.510111,-0.635983,-0.510111,-1.42898,0.408758,All
-0.228978,-0.210344,-0.228978,-1.14785,0.689892,-0.473822,-0.601481,-0.473822,-1.39269,0.445048,All
-0.200493,-0.179668,-0.200493,-1.11936,0.718377,-0.437533,-0.565765,-0.437533,-1.3564,0.481337,All
-0.172007,-0.149718,-0.172007,-1.09088,0.746862,-0.401243,-0.528572,-0.401243,-1.32011,0.517626,All
-0.143522,-0.127363,-0.143522,-1.06239,0.775348,-0.364954,-0.489589,-0.364954,-1.28382,0.553916,All
-0.115037,-0.105222,-0.115037,-1.03391,0.803833,-0.328665,-0.448307,-0.328665,-1.24753,0.590205,All
-0.0865517,-0.0830808,-0.0865517,-1.00542,0.832318,-0.292375,-0.404739,-0.292375,-1.21125,0.626495,All
-0.0580665,-0.0609397,-0.0580665,-0.976936,0.860803,-0.256086,-0.360646,-0.256086,-1.17496,0.662784,All
