time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
-1,0,0,0,0,0,0,0,0,0,0,0,All
-0.917671,0,0,0,0,0,0,0,0,0,0,0,All
-0.835341,0,0,0,0,0,0,0,0,0,0,0,All
-0.753012,0,0,0,0,0,0,0,0,0,0,0,All
-0.670683,0,0,0,0,0,0,0,0,0,0,0,All
-0.588353,0,0,0,0,0,0,0,0,0,0,0,All
-0.506024,0,0,0,0,0,0,0,0,0,0,0,All
-0.423695,0,0,0,0,0,0,0,0,0,0,0,All
-0.341365,0,0,0,0,0,0,0,0,0,0,0,All
-0.259036,0,0,0,0,0,0,0,0,0,0,0,All
-0.176707,0,0,0,0,0,0,0,0,0,0,0,All
-0.0943775,0,0,0,0,0,0,0,0,0,0,0,All
-0.0120482,0,0,0,0,0,0,0,0,0,0,0,All
0.0702811,0,0,0,0,0,0,0,0,0,0,0,All
0.15261,0,0,0,0,0,0,0,0,0,0,0,All
0.23494,0,0,0,0,0,0,0,0,0,0,0,All
0.317269,0,0,0,0,0,0,0,0,0,0,0,All
0.399598,0,0,0,0,0,0,0,0,0,0,0,All
0.481928,0,0,0,0,0,0,0,0,0,0,0,All
0.564257,0,0,0,0,0,0,0,0,0,0,0,All
0.646586,0,0,0,0,0,0,0,0,0,0,0,All
0.728916,0,0,0,0,0,0,0,0,0,0,0,All
0.811245,0,0,0,0,0,0,0,0,0,0,0,All
0.893574,0,0,0,0,0,0,0,0,0,0,0,All
0.975904,0,0,0,0,0,0,0,0,0,0,0.554866,All
1.05823,0,0,0,0,0,0,0,0,0,0,1.61121,All
1.14056,0,0,0,0,0,0,0,0,0,0,2.48619,All
1.22289,0,0,0,0,0,0,0,0,0,0,3.36238,All
1.30522,0,0,0,0,0,0,0,0,0,1.00759,4.18883,All
1.38755,0,0,0,0,0,0,0,0,0,1.90957,4.84454,All
1.46988,0,0,0,0,0,0,0,0,0.18709,2.7646,5.36308,All
1.55221,0,0,0,0,0,0,0,0,1.33219,3.50488,5.78165,All
1.63454,0,0,0,0,0,0,0,0,2.2664,4.10238,6.14063,All
1.71687,0,0,0,0,0,0,0,0.894275,2.93988,4.64047,6.52422,All
1.7992,0,0,0,0,0,0,0,1.8168,3.63418,5.09122,6.82921,All
1.88153,0,0,0,0,0,0,0.597377,2.58727,4.2225,5.49162,7.11257,All
1.96386,0.186406,0,0,0,0,0,1.49086,3.2648,4.70971,5.85831,7.32042,All
2.04618,1.26328,0,0,0,0,0,2.24476,3.80514,5.10517,6.16764,7.54022,All
2.12851,2.0475,0,0,0,0,1.0941,2.89092,4.30196,5.45328,6.46046,7.75015,All
2.21084,2.76466,0,0,0,0,1.82685,3.48711,4.73613,5.74988,6.6965,7.91759,All
2.29317,3.30779,0,0,0,0,2.49846,3.98934,5.10197,6.01836,6.92091,8.05167,All
2.3755,3.81238,0,0,0,1.10073,3.10384,4.40876,5.41729,6.2816,7.10369,8.1829,All
2.45783,4.2428,0,0,0,1.8163,3.60145,4.7936,5.71193,6.50217,7.29346,8.31599,All
2.54016,4.60165,0,0,0,2.46777,4.02057,5.13925,5.96972,6.71207,7.44935,8.42004,All
2.62249,4.92926,0,0,0.382389,2.98585,4.40402,5.43189,6.20994,6.89562,7.58573,8.52976,All
2.70482,5.22402,0,0,1.3625,3.47651,4.76909,5.67546,6.42392,7.05227,7.70737,8.61322,All
2.78715,5.49712,0,0,1.98025,3.89523,5.03247,5.90085,6.60876,7.20271,7.83838,8.68977,All
2.86948,5.73427,0,0,2.63501,4.244,5.30973,6.1052,6.7824,7.34801,7.95974,8.75416,All
2.95181,5.97243,0,0,3.14601,4.59316,5.56089,6.29713,6.93383,7.47675,8.05248,8.83386,All
3.03414,6.16232,0,0,3.58179,4.87356,5.79046,6.47494,7.07494,7.58727,8.14702,8.88137,All
3.11647,6.33143,0,0.850394,3.94035,5.12961,5.98987,6.64328,7.20998,7.69878,8.22902,8.92629,All
3.1988,6.49176,0,1.56298,4.26191,5.38233,6.17793,6.79256,7.33386,7.79853,8.30471,8.96189,All
3.28112,6.63771,0,2.14537,4.57368,5.60689,6.34655,6.91927,7.44063,7.88818,8.36876,8.99412,All
3.36345,6.76676,0,2.61989,4.84035,5.80293,6.50042,7.04588,7.55038,7.96678,8.42294,9.01578,All
3.44578,6.89919,0,3.14999,5.06806,5.98306,6.65438,7.16099,7.63821,8.04458,8.4716,9.04015,All
3.52811,7.02905,0,3.52589,5.26645,6.14874,6.78433,7.26274,7.72196,8.10944,8.50309,9.03649,All
3.61044,7.14263,0,3.91442,5.46622,6.29634,6.90145,7.35647,7.79124,8.15678,8.52815,9.04126,All
3.69277,7.23863,0,4.18095,5.66315,6.43564,7.01907,7.44316,7.86406,8.20813,8.55923,9.05167,All
3.7751,7.32903,0,4.41362,5.83966,6.5571,7.12854,7.53169,7.93076,8.24607,8.5898,9.06237,All
3.85743,7.41442,0,4.65157,5.99101,6.67903,7.21378,7.60832,7.97866,8.27386,8.59943,9.05508,All
3.93976,7.48911,0,4.85002,6.11782,6.79526,7.29654,7.67497,8.01688,8.30105,8.61781,9.04867,All
4.02209,7.55454,0,5.08286,6.25093,6.89905,7.38384,7.73075,8.05409,8.32568,8.62756,9.04505,All
4.10442,7.61957,0,5.26111,6.3681,6.98689,7.44658,7.78317,8.08221,8.35226,8.63686,9.04335,All
4.18675,7.6662,0.200663,5.40167,6.4915,7.06638,7.50853,7.8259,8.10462,8.36442,8.64453,9.04183,All
4.26908,7.70968,1.19455,5.54634,6.5944,7.1528,7.56428,7.85644,8.12036,8.36997,8.64561,9.03953,All
4.35141,7.75073,1.8146,5.6849,6.67943,7.22511,7.60642,7.8846,8.13729,8.37918,8.65163,9.03273,All
4.43373,7.7796,2.36529,5.84426,6.77454,7.29198,7.64083,7.90897,8.14596,8.37931,8.64583,9.02696,All
4.51606,7.80857,2.73129,5.96876,6.84275,7.33678,7.67439,7.92098,8.15714,8.38413,8.6396,9.01078,All
4.59839,7.824,3.07592,6.08419,6.90523,7.38522,7.69582,7.94135,8.16482,8.38965,8.63102,8.99335,All
4.68072,7.8383,3.35907,6.19972,6.97216,7.41131,7.71631,7.95427,8.17066,8.38416,8.61937,8.97999,All
4.76305,7.85073,3.59703,6.2735,7.02916,7.44077,7.73089,7.96157,8.17412,8.37774,8.6122,8.96005,All
4.84538,7.85459,3.88399,6.34685,7.07221,7.45901,7.74148,7.9686,8.1684,8.37156,8.59848,8.94509,All
4.92771,7.85665,4.10549,6.41572,7.1036,7.47483,7.74525,7.96944,8.1674,8.36483,8.5819,8.92856,All
5.01004,7.8595,4.31491,6.4884,7.14091,7.48932,7.75529,7.96708,8.1627,8.35479,8.56948,8.90913,All
5.09237,7.86052,4.51257,6.54553,7.15549,7.50452,7.75545,7.9597,8.15605,8.33897,8.55716,8.89133,All
5.1747,7.85932,4.71009,6.6062,7.15933,7.51258,7.75235,7.95565,8.14509,8.33035,8.54763,8.8735,All
5.25703,7.85295,4.85974,6.64999,7.16914,7.51669,7.75494,7.95122,8.13304,8.31914,8.53101,8.86211,All
5.33936,7.84147,5.01689,6.68901,7.18309,7.51736,7.75015,7.94013,8.11479,8.30523,8.51246,8.83996,All
5.42169,7.83677,5.18267,6.72177,7.19259,7.51455,7.73978,7.92525,8.09879,8.28921,8.49695,8.8206,All
5.50402,7.82357,5.28154,6.72507,7.19167,7.50592,7.72898,7.9047,8.08233,8.26751,8.4772,8.80405,All
5.58635,7.80721,5.34893,6.72906,7.19013,7.49176,7.71788,7.89128,8.06712,8.24873,8.45655,8.78644,All
5.66867,7.79473,5.4554,6.73459,7.18996,7.48193,7.70332,7.8763,8.04973,8.23267,8.43699,8.7641,All
5.751,7.77967,5.55563,6.74585,7.18018,7.46583,7.68325,7.85975,8.03302,8.21422,8.4207,8.74467,All
5.83333,7.76287,5.61212,6.73983,7.16383,7.45312,7.66079,7.84391,8.01072,8.19357,8.39208,8.72515,All
5.91566,7.74047,5.64511,6.72999,7.15327,7.43119,7.6448,7.81758,7.99218,8.17173,8.36901,8.70278,All
5.99799,7.71838,5.67677,6.72837,7.1374,7.40603,7.62382,7.7982,7.97317,8.14515,8.34788,8.6804,All
6.08032,7.69903,5.68902,6.71242,7.12048,7.38196,7.60423,7.77625,7.95221,8.11746,8.33071,8.66223,All
6.16265,7.67619,5.71389,6.69927,7.10149,7.358,7.57739,7.75539,7.93037,8.09151,8.30742,8.63883,All
6.24498,7.64576,5.7128,6.67477,7.07384,7.33043,7.55308,7.732,7.90677,8.06703,8.28496,8.61829,All
6.32731,7.61541,5.72396,6.65558,7.0457,7.31051,7.52758,7.70396,7.88031,8.04358,8.26265,8.59553,All
6.40964,7.58574,5.75579,6.63302,7.01572,7.28189,7.49713,7.67534,7.85341,8.02261,8.23658,8.57722,All
6.49197,7.56198,5.74183,6.60771,6.98787,7.25612,7.4679,7.64563,7.82455,7.99687,8.21774,8.55393,All
6.5743,7.53493,5.70094,6.57975,6.9692,7.2285,7.43901,7.61649,7.79951,7.97532,8.1902,8.5382,All
6.65663,7.50466,5.66959,6.53532,6.93489,7.19582,7.40331,7.58868,7.76859,7.94898,8.16806,8.50958,All
6.73896,7.47309,5.64285,6.49562,6.89624,7.16629,7.37241,7.56271,7.74321,7.92635,8.14869,8.48996,All
6.82129,7.43519,5.63218,6.46326,6.85883,7.13122,7.34294,7.53092,7.71663,7.8961,8.12226,8.47736,All
6.90361,7.40041,5.58605,6.41367,6.8213,7.09575,7.31214,7.50029,7.68775,7.87204,8.09523,8.46108,All
6.98594,7.37092,5.54031,6.37144,6.78592,7.05857,7.27489,7.4699,7.66045,7.84819,8.07302,8.43601,All
7.06827,7.3439,5.50463,6.31815,6.7471,7.0212,7.24458,7.44158,7.63315,7.82195,8.05304,8.40811,All
