iteration,convergenceIndicator,phase,beta_exp_pop,delta0_pop,p_pop,td_pop,b_exp_pop,h_0_pop,tc_pop,sigma_pop,phi_exp_pop,rho_exp_pop,dF_pop,q_exp_pop,omega_beta_exp,omega_delta0,omega_p,omega_td,omega_b_exp,omega_h_0,omega_tc,omega_sigma,omega_rho_exp,omega_q_exp,omega_ifn0,corr_beta_exp_b_exp,corr_delta0_b_exp,corr_h_0_b_exp,corr_ifn0_b_exp,corr_p_b_exp,corr_q_exp_b_exp,corr_rho_exp_b_exp,corr_sigma_b_exp,corr_tc_b_exp,corr_td_b_exp,corr_delta0_beta_exp,corr_h_0_beta_exp,corr_ifn0_beta_exp,corr_p_beta_exp,corr_q_exp_beta_exp,corr_rho_exp_beta_exp,corr_sigma_beta_exp,corr_tc_beta_exp,corr_td_beta_exp,corr_h_0_delta0,corr_ifn0_delta0,corr_p_delta0,corr_q_exp_delta0,corr_rho_exp_delta0,corr_sigma_delta0,corr_tc_delta0,corr_td_delta0,corr_ifn0_h_0,corr_p_h_0,corr_q_exp_h_0,corr_rho_exp_h_0,corr_sigma_h_0,corr_tc_h_0,corr_td_h_0,corr_p_ifn0,corr_q_exp_ifn0,corr_rho_exp_ifn0,corr_sigma_ifn0,corr_tc_ifn0,corr_td_ifn0,corr_q_exp_p,corr_rho_exp_p,corr_sigma_p,corr_tc_p,corr_td_p,corr_rho_exp_q_exp,corr_sigma_q_exp,corr_tc_q_exp,corr_td_q_exp,corr_sigma_rho_exp,corr_tc_rho_exp,corr_td_rho_exp,corr_tc_sigma,corr_td_sigma,corr_td_tc,a1,b2,a3
1,1865.1,1,-3.68124,1.21266,2.71956,1.83291,-2.49572,0.64485,6.92641,0.428133,-1.53916,-1.524,0.987132,-4.39909,0.633759,1.07274,0.493478,0.451091,1.23558,0.198593,1.31881,0.667405,0.516993,0.075823,0.460428,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.862569,0.392874,0.561599
2,1874.32,1,-3.70781,1.08135,2.62297,1.90441,-2.3397,0.633171,6.66238,0.402628,-1.5547,-1.62341,1.02841,-4.37699,0.366042,0.839552,0.428181,0.377899,0.721556,0.134253,1.01097,0.558055,0.389987,0.076992,0.397607,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.923829,0.413613,0.566229
3,1840.35,1,-3.70155,1.05415,2.63363,1.91295,-2.34032,0.630612,6.57031,0.387343,-1.54213,-1.64153,1.02026,-4.38091,0.352127,0.841749,0.420453,0.389917,0.702012,0.138399,1.0458,0.564912,0.382693,0.0792997,0.460059,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.927199,0.421391,0.581836
4,1818.64,1,-3.72386,0.995488,2.65067,1.92336,-2.33432,0.628784,6.66189,0.400728,-1.53659,-1.64482,1.00981,-4.38253,0.348333,0.861591,0.417627,0.387368,0.703503,0.135889,1.1146,0.612037,0.3893,0.0782296,0.459653,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.936155,0.420991,0.567115
5,1801.5,1,-3.72026,1.02814,2.64179,1.92717,-2.33589,0.628829,6.6385,0.388795,-1.54776,-1.63925,1.02185,-4.38244,0.345904,0.873795,0.415764,0.382998,0.70827,0.137953,1.07187,0.604483,0.39392,0.0763901,0.482299,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.928331,0.412837,0.580733
6,1801.55,1,-3.72069,1.0875,2.63247,1.92723,-2.33724,0.630845,6.66393,0.388957,-1.55718,-1.62086,1.01711,-4.38671,0.352297,0.879314,0.414251,0.383136,0.712087,0.134861,1.09399,0.582477,0.409246,0.0828637,0.521222,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.938657,0.416196,0.570029
7,1797.15,1,-3.72438,1.10346,2.61266,1.93451,-2.34827,0.634192,6.59747,0.377007,-1.56051,-1.61181,1.0215,-4.37671,0.345584,0.87946,0.414552,0.384145,0.696117,0.129624,1.06839,0.560987,0.407094,0.087758,0.60767,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.924313,0.417649,0.574523
8,1802.61,1,-3.72114,1.08678,2.60882,1.92439,-2.35389,0.636024,6.52063,0.375144,-1.5592,-1.62515,1.03451,-4.37269,0.344083,0.860511,0.417284,0.393117,0.704444,0.131424,1.05123,0.572173,0.410209,0.0839642,0.601638,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.933526,0.418917,0.566924
9,1799.79,1,-3.71204,1.10411,2.60903,1.93775,-2.35451,0.634617,6.62982,0.378509,-1.55598,-1.60974,1.03217,-4.36021,0.330551,0.840976,0.410096,0.383827,0.717006,0.13051,1.07558,0.566604,0.407512,0.0942543,0.610198,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.922151,0.424632,0.573945
10,1792.92,1,-3.70478,1.09526,2.60609,1.91425,-2.35956,0.633739,6.65357,0.376408,-1.54509,-1.61855,1.02544,-4.36612,0.333485,0.8391,0.415343,0.409937,0.722269,0.130502,1.05317,0.571179,0.419504,0.0942369,0.662085,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.919118,0.423876,0.584232
