rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
1,7,1,0,5.71957e+15,1.39345,1,All,#4682B4,0
2,7,1,0,5.71957e+15,1.11724,1,All,#4682B4,0
3,7,1,0,5.71957e+15,0,1,All,#4682B4,0
4,7,1,0,5.71957e+15,0,1,All,#4682B4,0
5,7,1,0,5.71957e+15,1.07444,1,All,#4682B4,0
6,7,1,0,5.71957e+15,0,1,All,#4682B4,0
7,7,1,0,5.71957e+15,0,1,All,#4682B4,0
8,7,1,0,5.71957e+15,0,1,All,#4682B4,0
9,7,1,0,5.71957e+15,0,1,All,#4682B4,0
10,7,1,0,5.71957e+15,0,1,All,#4682B4,0
1,7,1.5,0,5.71957e+15,1.15663,1,All,#4682B4,0
2,7,1.5,0,5.71957e+15,0,1,All,#4682B4,0
3,7,1.5,0,5.71957e+15,0,1,All,#4682B4,0
4,7,1.5,0,5.71957e+15,1.09262,1,All,#4682B4,0
5,7,1.5,0,5.71957e+15,1.14981,1,All,#4682B4,0
6,7,1.5,0,5.71957e+15,0,1,All,#4682B4,0
7,7,1.5,0,5.71957e+15,0,1,All,#4682B4,0
8,7,1.5,0,5.71957e+15,0,1,All,#4682B4,0
9,7,1.5,0,5.71957e+15,0,1,All,#4682B4,0
10,7,1.5,0,5.71957e+15,0,1,All,#4682B4,0
1,7,2,0,5.71957e+15,0,1,All,#4682B4,0
2,7,2,0,5.71957e+15,0,1,All,#4682B4,0
3,7,2,0,5.71957e+15,0,1,All,#4682B4,0
4,7,2,0,5.71957e+15,0,1,All,#4682B4,0
5,7,2,0,5.71957e+15,0,1,All,#4682B4,0
6,7,2,0,5.71957e+15,0,1,All,#4682B4,0
7,7,2,0,5.71957e+15,1.73519,1,All,#4682B4,0
8,7,2,0,5.71957e+15,0,1,All,#4682B4,0
9,7,2,0,5.71957e+15,0,1,All,#4682B4,0
10,7,2,0,5.71957e+15,1.73087,1,All,#4682B4,0
1,7,2.5,0,5.71957e+15,1.02933,1,All,#4682B4,0
2,7,2.5,0,5.71957e+15,0,1,All,#4682B4,0
3,7,2.5,0,5.71957e+15,0,1,All,#4682B4,0
4,7,2.5,0,5.71957e+15,0,1,All,#4682B4,0
5,7,2.5,0,5.71957e+15,0,1,All,#4682B4,0
6,7,2.5,0,5.71957e+15,1.92656,1,All,#4682B4,0
7,7,2.5,0,5.71957e+15,0,1,All,#4682B4,0
8,7,2.5,0,5.71957e+15,0,1,All,#4682B4,0
9,7,2.5,0,5.71957e+15,1.49282,1,All,#4682B4,0
10,7,2.5,0,5.71957e+15,0,1,All,#4682B4,0
1,7,3,0,5.71957e+15,1.04011,1,All,#4682B4,0
2,7,3,0,5.71957e+15,0,1,All,#4682B4,0
3,7,3,0,5.71957e+15,0,1,All,#4682B4,0
4,7,3,0,5.71957e+15,0,1,All,#4682B4,0
5,7,3,0,5.71957e+15,0,1,All,#4682B4,0
6,7,3,0,5.71957e+15,0,1,All,#4682B4,0
7,7,3,0,5.71957e+15,0,1,All,#4682B4,0
8,7,3,0,5.71957e+15,0,1,All,#4682B4,0
9,7,3,0,5.71957e+15,0,1,All,#4682B4,0
10,7,3,0,5.71957e+15,0,1,All,#4682B4,0
1,7,3.5,0,5.71957e+15,0,1,All,#4682B4,0
2,7,3.5,0.0110684,281.906,-0.650595,1,All,#4682B4,0
3,7,3.5,0,5.71957e+15,0,1,All,#4682B4,0
4,7,3.5,0,5.71957e+15,0,1,All,#4682B4,0
5,7,3.5,0,5.71957e+15,0,1,All,#4682B4,0
6,7,3.5,0,5.71957e+15,1.33886,1,All,#4682B4,0
7,7,3.5,0,5.71957e+15,2.27532,1,All,#4682B4,0
8,7,3.5,0,5.71957e+15,1.25815,1,All,#4682B4,0
9,7,3.5,0,5.71957e+15,0,1,All,#4682B4,0
10,7,3.5,0,5.71957e+15,0,1,All,#4682B4,0
1,7,4,0.64384,2.41043,-1.04237,1,All,#4682B4,0
2,7,4,0.824772,1.33793,0.964697,1,All,#4682B4,0
3,7,4,0.781403,1.54975,-0.195411,1,All,#4682B4,0
4,7,4,0,5.71957e+15,0,1,All,#4682B4,0
5,7,4,0.157759,17.4739,0.0221479,1,All,#4682B4,0
6,7,4,0.603954,2.73329,0.0855509,1,All,#4682B4,0
7,7,4,0.49381,3.89578,-1.22761,1,All,#4682B4,0
8,7,4,0.301508,7.96129,1.07216,1,All,#4682B4,0
9,7,4,0.302451,7.92873,-0.6405,1,All,#4682B4,0
10,7,4,0.111595,25.7278,0.479734,1,All,#4682B4,0
1,7,4.5,1.33533,-0.121263,-1.09638,1,All,#4682B4,0
2,7,4.5,1.35833,-0.161166,-0.839917,1,All,#4682B4,0
3,7,4.5,1.37568,-0.19039,-0.383262,1,All,#4682B4,0
4,7,4.5,0.538563,3.3661,-0.342574,1,All,#4682B4,0
5,7,4.5,0.94522,0.851615,0.24661,1,All,#4682B4,0
6,7,4.5,1.18805,0.17096,-0.048079,1,All,#4682B4,0
7,7,4.5,1.13106,0.304457,-0.31611,1,All,#4682B4,0
8,7,4.5,0.972453,0.758355,-0.0226595,1,All,#4682B4,0
9,7,4.5,0.986336,0.712796,0.20905,1,All,#4682B4,0
10,7,4.5,0.80564,1.42857,-0.450995,1,All,#4682B4,0
1,7,5,1.82655,-0.755191,-0.814189,1,All,#4682B4,0
2,7,5,1.73631,-0.665627,-0.921532,1,All,#4682B4,0
3,7,5,1.76714,-0.697264,-0.975533,1,All,#4682B4,0
4,7,5,1.19986,0.144892,-0.352333,1,All,#4682B4,0
5,7,5,1.52575,-0.41545,-1.63781,1,All,#4682B4,0
6,7,5,1.63594,-0.554412,-0.92415,1,All,#4682B4,0
7,7,5,1.60634,-0.518954,-0.527071,1,All,#4682B4,0
8,7,5,1.4158,-0.255241,-0.263811,1,All,#4682B4,0
9,7,5,1.56393,-0.465817,-1.74464,1,All,#4682B4,0
10,7,5,1.38923,-0.212713,-1.52373,1,All,#4682B4,0
1,7,5.5,2.19128,0.643263,0.643263,0,All,#4682B4,0
2,7,5.5,2.01931,0.909117,0.909117,0,All,#4682B4,0
3,7,5.5,2.04737,0.862688,0.862688,0,All,#4682B4,0
4,7,5.5,1.74828,1.43429,1.43429,0,All,#4682B4,0
5,7,5.5,1.97232,0.989822,0.989822,0,All,#4682B4,0
6,7,5.5,1.98907,0.960625,0.960625,0,All,#4682B4,0
7,7,5.5,1.97298,0.988664,0.988664,0,All,#4682B4,0
8,7,5.5,1.73561,1.46284,1.46284,0,All,#4682B4,0
9,7,5.5,2.05301,0.853518,0.853518,0,All,#4682B4,0
10,7,5.5,1.88477,1.15094,1.15094,0,All,#4682B4,0
1,7,6,2.45997,1.21914,1.21914,0,All,#4682B4,0
2,7,6,2.23361,1.59387,1.59387,0,All,#4682B4,0
3,7,6,2.2506,1.56311,1.56311,0,All,#4682B4,0
4,7,6,2.20446,1.64771,1.64771,0,All,#4682B4,0
5,7,6,2.32095,1.44062,1.44062,0,All,#4682B4,0
6,7,6,2.26537,1.53677,1.53677,0,All,#4682B4,0
7,7,6,2.25611,1.55326,1.55326,0,All,#4682B4,0
8,7,6,1.97776,2.12067,2.12067,0,All,#4682B4,0
9,7,6,2.45664,1.22415,1.22415,0,All,#4682B4,0
10,7,6,2.30153,1.47369,1.47369,0,All,#4682B4,0
1,7,6.5,2.64023,0.225078,0.225078,0,All,#4682B4,0
2,7,6.5,2.39214,0.505466,0.505466,0,All,#4682B4,0
3,7,6.5,2.39566,0.501091,0.501091,0,All,#4682B4,0
4,7,6.5,2.5723,0.296479,0.296479,0,All,#4682B4,0
5,7,6.5,2.58448,0.2834,0.2834,0,All,#4682B4,0
6,7,6.5,2.46863,0.413008,0.413008,0,All,#4682B4,0
7,7,6.5,2.46213,0.420641,0.420641,0,All,#4682B4,0
8,7,6.5,2.16154,0.8238,0.8238,0,All,#4682B4,0
9,7,6.5,2.75538,0.112097,0.112097,0,All,#4682B4,0
10,7,6.5,2.63193,0.233604,0.233604,0,All,#4682B4,0
1,7,7,2.7286,-0.498312,-0.498312,0,All,#4682B4,0
2,7,7,2.49964,-0.316931,-0.316931,0,All,#4682B4,0
3,7,7,2.48524,-0.304413,-0.304413,0,All,#4682B4,0
4,7,7,2.8378,-0.574512,-0.574512,0,All,#4682B4,0
5,7,7,2.75913,-0.520226,-0.520226,0,All,#4682B4,0
6,7,7,2.59355,-0.395205,-0.395205,0,All,#4682B4,0
7,7,7,2.5874,-0.390253,-0.390253,0,All,#4682B4,0
8,7,7,2.29141,-0.120502,-0.120502,0,All,#4682B4,0
9,7,7,2.90928,-0.621292,-0.621292,0,All,#4682B4,0
10,7,7,2.83906,-0.575359,-0.575359,0,All,#4682B4,0
1,7,7.5,2.72594,0.858357,0.858357,0,All,#4682B4,0
2,7,7.5,2.55763,1.07795,1.07795,0,All,#4682B4,0
3,7,7.5,2.52394,1.12542,1.12542,0,All,#4682B4,0
4,7,7.5,2.96593,0.588356,0.588356,0,All,#4682B4,0
5,7,7.5,2.83614,0.728703,0.728703,0,All,#4682B4,0
6,7,7.5,2.63612,0.972063,0.972063,0,All,#4682B4,0
7,7,7.5,2.62936,0.980922,0.980922,0,All,#4682B4,0
8,7,7.5,2.36965,1.36007,1.36007,0,All,#4682B4,0
9,7,7.5,2.89187,0.666904,0.666904,0,All,#4682B4,0
10,7,7.5,2.88821,0.67088,0.67088,0,All,#4682B4,0
1,7,8,2.64729,-0.49367,-0.49367,0,All,#4682B4,0
2,7,8,2.56882,-0.433036,-0.433036,0,All,#4682B4,0
3,7,8,2.50834,-0.383716,-0.383716,0,All,#4682B4,0
4,7,8,2.9315,-0.686096,-0.686096,0,All,#4682B4,0
5,7,8,2.81949,-0.614892,-0.614892,0,All,#4682B4,0
6,7,8,2.60324,-0.460081,-0.460081,0,All,#4682B4,0
7,7,8,2.5878,-0.448043,-0.448043,0,All,#4682B4,0
8,7,8,2.39662,-0.286072,-0.286072,0,All,#4682B4,0
9,7,8,2.72605,-0.551012,-0.551012,0,All,#4682B4,0
10,7,8,2.79558,-0.598949,-0.598949,0,All,#4682B4,0
1,7,8.5,2.51835,-0.628246,-0.628246,0,All,#4682B4,0
2,7,8.5,2.52847,-0.635651,-0.635651,0,All,#4682B4,0
3,7,8.5,2.44118,-0.569758,-0.569758,0,All,#4682B4,0
4,7,8.5,2.74883,-0.783381,-0.783381,0,All,#4682B4,0
5,7,8.5,2.72841,-0.770697,-0.770697,0,All,#4682B4,0
6,7,8.5,2.51159,-0.623268,-0.623268,0,All,#4682B4,0
7,7,8.5,2.48111,-0.600478,-0.600478,0,All,#4682B4,0
8,7,8.5,2.37189,-0.513997,-0.513997,0,All,#4682B4,0
9,7,8.5,2.4682,-0.590653,-0.590653,0,All,#4682B4,0
10,7,8.5,2.60984,-0.693107,-0.693107,0,All,#4682B4,0
1,7,9,2.36209,-1.1459,-2.22118,1,All,#4682B4,0
2,7,9,2.42675,-1.18141,-2.32543,1,All,#4682B4,0
3,7,9,2.32369,-1.12388,-1.49889,1,All,#4682B4,0
4,7,9,2.46705,-1.2026,-1.27591,1,All,#4682B4,0
5,7,9,2.57223,-1.25477,-1.37147,1,All,#4682B4,0
6,7,9,2.37092,-1.15087,-1.50948,1,All,#4682B4,0
7,7,9,2.32871,-1.1268,-1.2184,1,All,#4682B4,0
8,7,9,2.30194,-1.11109,-1.92998,1,All,#4682B4,0
9,7,9,2.17762,-1.03302,-2.00954,1,All,#4682B4,0
10,7,9,2.36842,-1.14947,-1.22777,1,All,#4682B4,0
1,7,9.5,2.19522,1.14573,1.14573,0,All,#4682B4,0
2,7,9.5,2.26923,1.02752,1.02752,0,All,#4682B4,0
3,7,9.5,2.15628,1.21117,1.21117,0,All,#4682B4,0
4,7,9.5,2.14234,1.23519,1.23519,0,All,#4682B4,0
5,7,9.5,2.36442,0.886367,0.886367,0,All,#4682B4,0
6,7,9.5,2.18666,1.15991,1.15991,0,All,#4682B4,0
7,7,9.5,2.1414,1.23681,1.23681,0,All,#4682B4,0
8,7,9.5,2.18867,1.15657,1.15657,0,All,#4682B4,0
9,7,9.5,1.89915,1.71071,1.71071,0,All,#4682B4,0
10,7,9.5,2.08926,1.32954,1.32954,0,All,#4682B4,0
1,7,10,2.02671,0.138541,0.138541,0,All,#4682B4,0
2,7,10,2.05704,0.0999576,0.0999576,0,All,#4682B4,0
3,7,10,1.9386,0.257491,0.257491,0,All,#4682B4,0
4,7,10,1.81671,0.44106,0.44106,0,All,#4682B4,0
5,7,10,2.11053,0.0346109,0.0346109,0,All,#4682B4,0
6,7,10,1.96604,0.219298,0.219298,0,All,#4682B4,0
7,7,10,1.92312,0.279514,0.279514,0,All,#4682B4,0
8,7,10,2.03373,0.129504,0.129504,0,All,#4682B4,0
9,7,10,1.65646,0.723495,0.723495,0,All,#4682B4,0
10,7,10,1.77946,0.502165,0.502165,0,All,#4682B4,0
1,7,10.5,1.83483,-0.222656,-0.222656,0,All,#4682B4,0
2,7,10.5,1.79056,-0.166885,-0.166885,0,All,#4682B4,0
3,7,10.5,1.67156,-0.00230691,-0.00230691,0,All,#4682B4,0
4,7,10.5,1.52185,0.241283,0.241283,0,All,#4682B4,0
5,7,10.5,1.81046,-0.192285,-0.192285,0,All,#4682B4,0
6,7,10.5,1.71272,-0.0618266,-0.0618266,0,All,#4682B4,0
7,7,10.5,1.67445,-0.00658814,-0.00658814,0,All,#4682B4,0
8,7,10.5,1.83702,-0.225336,-0.225336,0,All,#4682B4,0
9,7,10.5,1.44986,0.376324,0.376324,0,All,#4682B4,0
10,7,10.5,1.44308,0.389742,0.389742,0,All,#4682B4,0
1,7,11,1.58577,-0.493529,-1.42676,1,All,#4682B4,0
2,7,11,1.47207,-0.340222,-0.346568,1,All,#4682B4,0
3,7,11,1.36122,-0.166089,-1.2563,1,All,#4682B4,0
4,7,11,1.26233,0.0150533,-0.00508275,1,All,#4682B4,0
5,7,11,1.46261,-0.326395,-1.01898,1,All,#4682B4,0
6,7,11,1.42951,-0.276565,-1.42767,1,All,#4682B4,0
7,7,11,1.39494,-0.221982,-0.93931,1,All,#4682B4,0
8,7,11,1.59648,-0.506845,-0.555635,1,All,#4682B4,0
9,7,11,1.21669,0.108593,-1.86154,1,All,#4682B4,0
10,7,11,1.08442,0.424161,-0.250223,1,All,#4682B4,0
1,7,11.5,1.27369,-0.00718823,-0.995264,1,All,#4682B4,0
2,7,11.5,1.11045,0.356105,0.0488692,1,All,#4682B4,0
3,7,11.5,1.01705,0.616417,-0.306334,1,All,#4682B4,0
4,7,11.5,0.952645,0.825657,0.298233,1,All,#4682B4,0
5,7,11.5,1.06728,0.470756,0.0932057,1,All,#4682B4,0
6,7,11.5,1.12082,0.329872,0.1021,1,All,#4682B4,0
7,7,11.5,1.08453,0.423846,-0.104919,1,All,#4682B4,0
8,7,11.5,1.31252,-0.0802838,-0.158758,1,All,#4682B4,0
9,7,11.5,0.951503,0.829625,-1.60894,1,All,#4682B4,0
10,7,11.5,0.710232,1.95341,0.474127,1,All,#4682B4,0
1,7,12,0.904524,1.00144,0.909119,1,All,#4682B4,0
2,7,12,0.723676,1.87108,0.663975,1,All,#4682B4,0
3,7,12,0.664226,2.26038,-0.537112,1,All,#4682B4,0
4,7,12,0.595494,2.80734,0.571079,1,All,#4682B4,0
5,7,12,0.630321,2.51528,-0.068433,1,All,#4682B4,0
6,7,12,0.79441,1.4838,-0.544012,1,All,#4682B4,0
7,7,12,0.744461,1.74965,1.22037,1,All,#4682B4,0
8,7,12,0.983102,0.723295,0.314779,1,All,#4682B4,0
9,7,12,0.660439,2.28755,-0.703286,1,All,#4682B4,0
10,7,12,0.329794,7.06587,0.614212,1,All,#4682B4,0
1,7,12.5,0.501737,3.79507,-1.06662,1,All,#4682B4,0
2,7,12.5,0.347433,6.58132,1.03779,1,All,#4682B4,0
3,7,12.5,0.323528,7.25075,-0.392735,1,All,#4682B4,0
4,7,12.5,0.204584,12.9072,0.969232,1,All,#4682B4,0
5,7,12.5,0.163334,16.7929,3.62383,1,All,#4682B4,0
6,7,12.5,0.460059,4.36341,1.11129,1,All,#4682B4,0
7,7,12.5,0.377435,5.86116,-0.0971579,1,All,#4682B4,0
8,7,12.5,0.614916,2.64039,-0.00509368,1,All,#4682B4,0
9,7,12.5,0.345966,6.61975,0.459014,1,All,#4682B4,0
10,7,12.5,0,5.71957e+15,0,1,All,#4682B4,0
1,7,13,0.0911806,32.0429,1.677,1,All,#4682B4,0
2,7,13,0.000455614,6906.17,0.566084,1,All,#4682B4,0
3,7,13,0.0161756,192.115,-1.01718,1,All,#4682B4,0
4,7,13,0,5.71957e+15,0,1,All,#4682B4,0
5,7,13,0,5.71957e+15,1.24547,1,All,#4682B4,0
6,7,13,0.130629,21.6179,-0.248515,1,All,#4682B4,0
7,7,13,0,5.71957e+15,0,1,All,#4682B4,0
8,7,13,0.229452,11.2398,-1.25233,1,All,#4682B4,0
9,7,13,0.0100648,310.263,-0.711796,1,All,#4682B4,0
10,7,13,0,5.71957e+15,0,1,All,#4682B4,0
1,7,13.5,0,5.71957e+15,0,1,All,#4682B4,0
2,7,13.5,0,5.71957e+15,0,1,All,#4682B4,0
3,7,13.5,0,5.71957e+15,0,1,All,#4682B4,0
4,7,13.5,0,5.71957e+15,0,1,All,#4682B4,0
5,7,13.5,0,5.71957e+15,0,1,All,#4682B4,0
6,7,13.5,0,5.71957e+15,0,1,All,#4682B4,0
7,7,13.5,0,5.71957e+15,0,1,All,#4682B4,0
8,7,13.5,0,5.71957e+15,2.08665,1,All,#4682B4,0
9,7,13.5,0,5.71957e+15,0,1,All,#4682B4,0
10,7,13.5,0,5.71957e+15,0,1,All,#4682B4,0
1,7,14,0,5.71957e+15,1.5148,1,All,#4682B4,0
2,7,14,0,5.71957e+15,1.23988,1,All,#4682B4,0
3,7,14,0,5.71957e+15,0,1,All,#4682B4,0
4,7,14,0,5.71957e+15,0,1,All,#4682B4,0
5,7,14,0,5.71957e+15,0,1,All,#4682B4,0
6,7,14,0,5.71957e+15,0,1,All,#4682B4,0
7,7,14,0,5.71957e+15,1.70465,1,All,#4682B4,0
8,7,14,0,5.71957e+15,0,1,All,#4682B4,0
9,7,14,0,5.71957e+15,0,1,All,#4682B4,0
10,7,14,0,5.71957e+15,0,1,All,#4682B4,0
1,7,14.5,0,5.71957e+15,1.4006,1,All,#4682B4,0
2,7,14.5,0,5.71957e+15,1.15535,1,All,#4682B4,0
3,7,14.5,0,5.71957e+15,0,1,All,#4682B4,0
4,7,14.5,0,5.71957e+15,1.95007,1,All,#4682B4,0
5,7,14.5,0,5.71957e+15,0,1,All,#4682B4,0
6,7,14.5,0,5.71957e+15,0,1,All,#4682B4,0
7,7,14.5,0,5.71957e+15,0,1,All,#4682B4,0
8,7,14.5,0,5.71957e+15,0,1,All,#4682B4,0
9,7,14.5,0,5.71957e+15,0,1,All,#4682B4,0
10,7,14.5,0,5.71957e+15,0,1,All,#4682B4,0
1,7,15,0,5.71957e+15,0,1,All,#4682B4,0
2,7,15,0,5.71957e+15,0,1,All,#4682B4,0
3,7,15,0,5.71957e+15,0,1,All,#4682B4,0
4,7,15,0,5.71957e+15,0,1,All,#4682B4,0
5,7,15,0,5.71957e+15,0,1,All,#4682B4,0
6,7,15,0,5.71957e+15,0,1,All,#4682B4,0
7,7,15,0,5.71957e+15,0,1,All,#4682B4,0
8,7,15,0,5.71957e+15,1.08799,1,All,#4682B4,0
9,7,15,0,5.71957e+15,0,1,All,#4682B4,0
10,7,15,0,5.71957e+15,0,1,All,#4682B4,0
1,7,15.5,0,5.71957e+15,1.31323,1,All,#4682B4,0
2,7,15.5,0,5.71957e+15,0,1,All,#4682B4,0
3,7,15.5,0,5.71957e+15,1.32386,1,All,#4682B4,0
4,7,15.5,0,5.71957e+15,0,1,All,#4682B4,0
5,7,15.5,0,5.71957e+15,0,1,All,#4682B4,0
6,7,15.5,0,5.71957e+15,0,1,All,#4682B4,0
7,7,15.5,0,5.71957e+15,0,1,All,#4682B4,0
8,7,15.5,0,5.71957e+15,0,1,All,#4682B4,0
9,7,15.5,0,5.71957e+15,1.04042,1,All,#4682B4,0
10,7,15.5,0,5.71957e+15,0,1,All,#4682B4,0
1,7,16,0,5.71957e+15,0,1,All,#4682B4,0
2,7,16,0,5.71957e+15,0,1,All,#4682B4,0
3,7,16,0,5.71957e+15,0,1,All,#4682B4,0
4,7,16,0,5.71957e+15,1.55577,1,All,#4682B4,0
5,7,16,0,5.71957e+15,0,1,All,#4682B4,0
6,7,16,0,5.71957e+15,0,1,All,#4682B4,0
7,7,16,0,5.71957e+15,0,1,All,#4682B4,0
8,7,16,0,5.71957e+15,0,1,All,#4682B4,0
9,7,16,0,5.71957e+15,1.79288,1,All,#4682B4,0
10,7,16,0,5.71957e+15,0,1,All,#4682B4,0
1,8,1,0,5.71957e+15,1.2505,1,All,#4682B4,0
2,8,1,0,5.71957e+15,0,1,All,#4682B4,0
3,8,1,0,5.71957e+15,0,1,All,#4682B4,0
4,8,1,0,5.71957e+15,0,1,All,#4682B4,0
5,8,1,0,5.71957e+15,1.25247,1,All,#4682B4,0
6,8,1,0,5.71957e+15,1.22194,1,All,#4682B4,0
7,8,1,0,5.71957e+15,0,1,All,#4682B4,0
8,8,1,0,5.71957e+15,1.46075,1,All,#4682B4,0
9,8,1,0,5.71957e+15,0,1,All,#4682B4,0
10,8,1,0,5.71957e+15,0,1,All,#4682B4,0
1,8,1.5,0,5.71957e+15,0,1,All,#4682B4,0
2,8,1.5,0,5.71957e+15,0,1,All,#4682B4,0
3,8,1.5,0,5.71957e+15,2.2934,1,All,#4682B4,0
4,8,1.5,0,5.71957e+15,0,1,All,#4682B4,0
5,8,1.5,0,5.71957e+15,0,1,All,#4682B4,0
6,8,1.5,0,5.71957e+15,0,1,All,#4682B4,0
7,8,1.5,0,5.71957e+15,1.25352,1,All,#4682B4,0
8,8,1.5,0,5.71957e+15,2.3557,1,All,#4682B4,0
9,8,1.5,0,5.71957e+15,1.58336,1,All,#4682B4,0
10,8,1.5,0,5.71957e+15,0,1,All,#4682B4,0
1,8,2,0,5.71957e+15,0,1,All,#4682B4,0
2,8,2,0,5.71957e+15,1.12633,1,All,#4682B4,0
3,8,2,0.824482,1.33928,0.162444,1,All,#4682B4,0
4,8,2,0,5.71957e+15,0,1,All,#4682B4,0
5,8,2,0,5.71957e+15,0,1,All,#4682B4,0
6,8,2,0.159305,17.2803,0.205407,1,All,#4682B4,0
7,8,2,0,5.71957e+15,0,1,All,#4682B4,0
8,8,2,0,5.71957e+15,1.46394,1,All,#4682B4,0
9,8,2,0,5.71957e+15,0,1,All,#4682B4,0
10,8,2,0,5.71957e+15,0,1,All,#4682B4,0
1,8,2.5,0.204809,12.8903,1.19863,1,All,#4682B4,0
2,8,2.5,0.27,9.1796,0.996942,1,All,#4682B4,0
3,8,2.5,1.80493,-0.73455,-0.870001,1,All,#4682B4,0
4,8,2.5,0.167364,16.3289,-0.907203,1,All,#4682B4,0
5,8,2.5,0,5.71957e+15,1.05061,1,All,#4682B4,0
6,8,2.5,1.69544,-0.621935,-0.925455,1,All,#4682B4,0
7,8,2.5,0,5.71957e+15,0,1,All,#4682B4,0
8,8,2.5,0,5.71957e+15,0,1,All,#4682B4,0
9,8,2.5,0.439669,4.6807,-0.70749,1,All,#4682B4,0
10,8,2.5,0,5.71957e+15,0,1,All,#4682B4,0
1,8,3,1.94829,-0.112316,-0.112316,0,All,#4682B4,0
2,8,3,1.951,-0.1156,-0.1156,0,All,#4682B4,0
3,8,3,2.13906,-0.323338,-0.323338,0,All,#4682B4,0
4,8,3,1.77955,0.112048,0.112048,0,All,#4682B4,0
5,8,3,1.48287,0.630336,0.630336,0,All,#4682B4,0
6,8,3,2.17892,-0.362762,-0.362762,0,All,#4682B4,0
7,8,3,1.16021,1.49491,1.49491,0,All,#4682B4,0
8,8,3,1.95016,-0.11458,-0.11458,0,All,#4682B4,0
9,8,3,2.00615,-0.18056,-0.18056,0,All,#4682B4,0
10,8,3,1.7965,0.0876071,0.0876071,0,All,#4682B4,0
1,8,3.5,2.4618,-1.19988,-1.25936,1,All,#4682B4,0
2,8,3.5,2.512,-1.22543,-1.35114,1,All,#4682B4,0
3,8,3.5,2.3238,-1.12395,-1.35402,1,All,#4682B4,0
4,8,3.5,2.23642,-1.07102,-2.01511,1,All,#4682B4,0
5,8,3.5,2.1797,-1.0344,-1.18382,1,All,#4682B4,0
6,8,3.5,2.43943,-1.18815,-1.58981,1,All,#4682B4,0
7,8,3.5,2.2511,-1.0802,-2.12965,1,All,#4682B4,0
8,8,3.5,2.37617,-1.1538,-2.1,1,All,#4682B4,0
9,8,3.5,2.52319,-1.23099,-1.45039,1,All,#4682B4,0
10,8,3.5,2.3121,-1.11709,-1.67158,1,All,#4682B4,0
1,8,4,2.7334,0.776715,0.776715,0,All,#4682B4,0
2,8,4,2.81292,0.684693,0.684693,0,All,#4682B4,0
3,8,4,2.44054,1.16732,1.16732,0,All,#4682B4,0
4,8,4,2.47258,1.12009,1.12009,0,All,#4682B4,0
5,8,4,2.53451,1.03216,1.03216,0,All,#4682B4,0
6,8,4,2.59885,0.945246,0.945246,0,All,#4682B4,0
7,8,4,2.71901,0.793941,0.793941,0,All,#4682B4,0
8,8,4,2.59144,0.955038,0.955038,0,All,#4682B4,0
9,8,4,2.80102,0.698126,0.698126,0,All,#4682B4,0
10,8,4,2.57114,0.982141,0.982141,0,All,#4682B4,0
1,8,4.5,2.8961,-1.39162,-1.41373,1,All,#4682B4,0
