time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
1,0.163733,1,0.209793,1,0.519888,2.22045e-16,-0.490254,2.22045e-16,0.262677,2.22045e-16,-0.205144,All
1.06121,0.155827,1.06121,0.220144,1.06121,0.514626,4.65559e-16,-0.490254,4.67243e-16,0.262677,4.65559e-16,-0.205144,All
1.12616,0.147437,1.12616,0.231129,1.12616,0.509041,9.76135e-16,-0.490254,9.83208e-16,0.262677,9.76135e-16,-0.205144,All
1.19509,0.138533,1.19509,0.242786,1.19509,0.503114,2.04665e-15,-0.490254,2.06894e-15,0.262677,2.04665e-15,-0.205144,All
1.26824,0.129085,1.26824,0.255156,1.26824,0.496825,4.29121e-15,-0.490254,4.35362e-15,0.262677,4.29121e-15,-0.205144,All
1.34587,0.119058,1.34587,0.268284,1.34587,0.490151,8.99734e-15,-0.490254,9.16121e-15,0.262677,8.99734e-15,-0.205144,All
1.37,0.115941,1.37,0.272364,1.37,0.488076,1.88647e-14,-0.490254,1.92777e-14,0.262677,1.88647e-14,-0.205144,All
1.42825,0.108417,1.42825,0.282215,1.42825,0.483068,3.95534e-14,-0.490254,4.05656e-14,0.262677,3.95534e-14,-0.205144,All
1.51567,0.101226,1.51567,0.290251,1.51567,0.47343,8.29313e-14,-0.490254,8.53612e-14,0.262677,8.29313e-14,-0.205144,All
1.60844,0.113525,1.60844,0.265995,1.60844,0.452892,1.73881e-13,-0.490254,1.79623e-13,0.262677,1.73881e-13,-0.205144,All
1.70689,0.126576,1.70689,0.240255,1.70689,0.431097,3.64576e-13,-0.490254,3.77977e-13,0.262677,3.64576e-13,-0.205144,All
1.74,0.130965,1.74,0.231599,1.74,0.423768,7.64404e-13,-0.490254,7.95368e-13,0.262677,7.64404e-13,-0.205144,All
1.81137,0.140426,1.81137,0.212939,1.81137,0.407968,1.60272e-12,-0.490254,1.67367e-12,0.262677,1.60272e-12,-0.205144,All
1.92224,0.155124,1.92224,0.183951,1.92224,0.383424,3.36041e-12,-0.490254,3.52187e-12,0.262677,3.36041e-12,-0.205144,All
2.0399,0.168642,2.0399,0.152229,2.0399,0.367794,7.04575e-12,-0.490254,7.41098e-12,0.262677,7.04575e-12,-0.205144,All
2.11,0.174282,2.11,0.132213,2.11,0.370579,1.47728e-11,-0.490254,1.55947e-11,0.262677,1.47728e-11,-0.205144,All
2.16476,0.178687,2.16476,0.11658,2.16476,0.372754,3.0974e-11,-0.490254,3.28156e-11,0.262677,3.0974e-11,-0.205144,All
2.29726,0.189347,2.29726,0.0787493,2.29726,0.378017,6.49429e-11,-0.490254,6.90531e-11,0.262677,6.49429e-11,-0.205144,All
2.43787,0.20066,2.43787,0.038603,2.43787,0.383602,1.36165e-10,-0.490254,1.45307e-10,0.262677,1.36165e-10,-0.205144,All
2.48,0.204049,2.48,0.0265741,2.48,0.385275,2.85497e-10,-0.490254,3.05765e-10,0.262677,2.85497e-10,-0.205144,All
2.58709,0.206581,2.58709,0.0372298,2.58709,0.381616,5.98599e-10,-0.490254,6.43414e-10,0.262677,5.98599e-10,-0.205144,All
2.74544,0.20826,2.74544,0.0669881,2.74544,0.373517,1.25508e-09,-0.490254,1.35392e-09,0.262677,1.25508e-09,-0.205144,All
2.85,0.209369,2.85,0.0866377,2.85,0.368169,2.63151e-09,-0.490254,2.84902e-09,0.262677,2.63151e-09,-0.205144,All
2.91348,0.210042,2.91348,0.0985678,2.91348,0.364922,5.51747e-09,-0.490254,5.99512e-09,0.262677,5.51747e-09,-0.205144,All
3.09181,0.198661,3.09181,0.116304,3.09181,0.346623,1.15684e-08,-0.490254,1.26154e-08,0.262677,1.15684e-08,-0.205144,All
3.22,0.181492,3.22,0.118366,3.22,0.327253,2.42555e-08,-0.490254,2.65463e-08,0.262676,2.42555e-08,-0.205144,All
3.28106,0.173314,3.28106,0.119349,3.28106,0.318026,5.08563e-08,-0.490254,5.58606e-08,0.262676,5.08563e-08,-0.205144,All
3.48189,0.146415,3.48189,0.12258,3.48189,0.287679,1.0663e-07,-0.490254,1.17546e-07,0.262676,1.0663e-07,-0.205144,All
