parameter,res_sa
beta_exp_pop,6.73525
delta0_pop,50.6471
p_pop,6.40716
td_pop,15.163
b_exp_pop,19.1044
h_0_pop,8.11819
tc_pop,24.7061
sigma_pop,43.3104
phi_exp_pop,nan
rho_exp_pop,25.1856
dF_pop,0.35503
q_exp_pop,nan
omega_beta_exp,20.6587
omega_delta0,26.7828
omega_p,26.0673
omega_td,19.5807
omega_b_exp,18.3023
omega_h_0,21.0852
omega_tc,33.4118
omega_sigma,49.9717
omega_rho_exp,30.629
omega_q_exp,nan
omega_ifn0,181.768
corr_beta_exp_b_exp,nan
corr_delta0_b_exp,nan
corr_h_0_b_exp,nan
corr_ifn0_b_exp,nan
corr_p_b_exp,nan
corr_q_exp_b_exp,nan
corr_rho_exp_b_exp,nan
corr_sigma_b_exp,nan
corr_tc_b_exp,nan
corr_td_b_exp,nan
corr_delta0_beta_exp,nan
corr_h_0_beta_exp,nan
corr_ifn0_beta_exp,nan
corr_p_beta_exp,nan
corr_q_exp_beta_exp,30.5125
corr_rho_exp_beta_exp,nan
corr_sigma_beta_exp,nan
corr_tc_beta_exp,nan
corr_td_beta_exp,nan
corr_h_0_delta0,nan
corr_ifn0_delta0,nan
corr_p_delta0,nan
corr_q_exp_delta0,nan
corr_rho_exp_delta0,nan
corr_sigma_delta0,nan
corr_tc_delta0,nan
corr_td_delta0,nan
corr_ifn0_h_0,69.2361
corr_p_h_0,nan
corr_q_exp_h_0,nan
corr_rho_exp_h_0,nan
corr_sigma_h_0,nan
corr_tc_h_0,nan
corr_td_h_0,nan
corr_p_ifn0,nan
corr_q_exp_ifn0,22.743
corr_rho_exp_ifn0,nan
corr_sigma_ifn0,nan
corr_tc_ifn0,nan
corr_td_ifn0,nan
corr_q_exp_p,nan
corr_rho_exp_p,nan
corr_sigma_p,nan
corr_tc_p,nan
corr_td_p,81.7312
corr_rho_exp_q_exp,nan
corr_sigma_q_exp,nan
corr_tc_q_exp,nan
corr_td_q_exp,nan
corr_sigma_rho_exp,nan
corr_tc_rho_exp,nan
corr_td_rho_exp,nan
corr_tc_sigma,nan
corr_td_sigma,nan
corr_td_tc,nan
a1,4.74609
b2,6.59454
a3,7.37496
