bins_middles,empirical_median,empirical_lower,empirical_upper,theoretical_median_median,theoretical_median_piLower,theoretical_median_piUpper,theoretical_lower_median,theoretical_lower_piLower,theoretical_lower_piUpper,theoretical_upper_median,theoretical_upper_piLower,theoretical_upper_piUpper,split
-1,-0.388715,-1.11797,0.0665204,-0.404231,-0.766457,-0.0770282,-1.19789,-1.61221,-0.739051,0.349902,-0.0615678,0.814623,All
0,-0.240652,-0.407102,-0.0773724,-0.413453,-0.733656,-0.087739,-1.16558,-1.61032,-0.72598,0.350118,-0.0449444,0.789246,All
1,-0.306273,-1.57992,-0.110872,-0.391762,-0.747781,-0.0672623,-1.13722,-1.60445,-0.752673,0.344297,-0.0661427,0.81824,All
2,-0.574373,-1.15731,-0.0965875,-0.377268,-0.790208,-0.0122443,-1.17975,-1.67093,-0.723132,0.434209,-0.0234382,1.07982,All
3,-0.26073,-1.15952,1.08041,-0.0549058,-0.534264,0.563832,-1.09398,-1.66812,-0.573226,1.44957,0.531158,2.26947,All
4,0.717143,-1.04576,2.13405,0.815601,0.107363,1.47242,-0.74384,-1.53404,0.0379268,2.19975,1.54079,2.83955,All
5,1.20348,-0.289608,2.18357,1.43204,0.826933,1.8929,-0.220375,-1.28051,0.77491,2.4144,1.87764,2.99132,All
6,1.95611,0.162715,2.41172,1.52152,1.03801,1.98576,0.260354,-0.954746,1.0144,2.40885,1.98021,2.82358,All
7,1.49906,0.887259,3.18769,1.46444,1.07476,1.88235,0.436863,-0.729863,1.10241,2.33989,1.83273,2.80436,All
8,1.38811,0.644804,2.46171,1.29431,0.893339,1.64147,0.336094,-0.715568,0.87653,2.15069,1.62894,2.65368,All
9,1.0128,0.0677776,2.05861,1.02338,0.622171,1.45332,0.0696642,-1.0455,0.624348,1.94354,1.40765,2.46749,All
10,0.579226,-0.148613,1.82457,0.730005,0.283666,1.16321,-0.224434,-1.43713,0.330681,1.68936,1.16547,2.22196,All
11,-0.207794,-0.926752,1.51853,0.423535,-0.0382802,0.876184,-0.574343,-1.64698,-0.0457928,1.44902,0.921059,2.07643,All
12,-0.32235,-1.16984,1.16878,0.0621989,-0.370279,0.569108,-0.88153,-1.7884,-0.384194,1.15659,0.552145,1.90055,All
13,-0.160634,-1.59167,1.28545,-0.285178,-0.709183,0.197872,-1.26012,-2.12078,-0.731238,0.848202,0.211518,1.61109,All
14,-0.790959,-1.82778,0.66268,-0.681969,-1.12378,-0.190517,-1.66646,-2.4732,-1.12242,0.534949,-0.175234,1.40064,All
