rep,ID,time,sim_y3,censored,split,color,filter
1,7,-1,-0.769715,1,All,-1,0
1,7,1,-0.301162,0,All,-1,0
1,7,2,-0.628226,1,All,-1,0
1,7,4,0.0176953,0,All,-1,0
1,7,5,1.49359,0,All,-1,0
1,7,6,1.93687,0,All,-1,0
1,7,7,1.9209,0,All,-1,0
1,7,8,0.754642,0,All,-1,0
1,7,9,1.80089,0,All,-1,0
1,7,10,0.694342,0,All,-1,0
1,7,11,-0.925426,1,All,-1,0
1,7,12,1.58731,0,All,-1,0
1,7,13,-0.836824,1,All,-1,0
1,7,0,-0.430421,1,All,-1,0
1,7,3,-0.655762,1,All,-1,0
1,7,14,-1.36475,1,All,-1,0
1,8,-1,-0.903874,1,All,-1,0
1,8,0,-0.109387,0,All,-1,0
1,8,1,-0.403715,1,All,-1,0
1,8,4,1.47157,0,All,-1,0
1,8,5,0.745641,0,All,-1,0
1,8,6,2.17405,0,All,-1,0
1,8,7,1.04441,0,All,-1,0
1,8,8,0.603252,0,All,-1,0
1,8,9,0.59884,0,All,-1,0
1,8,10,-0.684284,1,All,-1,0
1,8,11,0.482275,0,All,-1,0
1,8,13,-1.6304,1,All,-1,0
1,8,2,-1.3257,1,All,-1,0
1,8,3,2.36487,0,All,-1,0
1,8,12,0.0426409,0,All,-1,0
1,8,14,nan,0,All,-1,0
1,9,3,-2.00138,1,All,-1,0
1,9,4,-2.71279,1,All,-1,0
1,9,5,-2.86406,1,All,-1,0
1,9,6,-2.57605,1,All,-1,0
1,9,7,-3.2701,1,All,-1,0
1,9,8,-2.84373,1,All,-1,0
1,9,9,-3.79309,1,All,-1,0
1,9,10,-3.86611,1,All,-1,0
1,9,11,-4.33355,1,All,-1,0
1,9,12,-5.25855,1,All,-1,0
1,9,13,nan,0,All,-1,0
1,9,14,nan,0,All,-1,0
1,9,-1,-1.47741,1,All,-1,0
1,9,0,-0.850469,1,All,-1,0
1,9,1,-0.492863,1,All,-1,0
1,9,2,-0.969049,1,All,-1,0
1,10,0,-0.660377,1,All,-1,0
1,10,2,-0.828075,1,All,-1,0
1,10,3,-0.0730564,0,All,-1,0
1,10,4,0.931601,0,All,-1,0
1,10,5,0.450632,0,All,-1,0
1,10,6,1.97242,0,All,-1,0
1,10,7,1.79549,0,All,-1,0
1,10,8,0.546454,0,All,-1,0
1,10,9,1.23149,0,All,-1,0
1,10,10,0.660049,0,All,-1,0
1,10,-1,-0.6375,1,All,-1,0
1,10,1,-1.53947,1,All,-1,0
1,10,11,-0.553307,1,All,-1,0
1,10,12,-0.330363,1,All,-1,0
1,10,13,-1.07352,1,All,-1,0
1,10,14,-1.39583,1,All,-1,0
1,11,-1,-0.352839,1,All,-1,0
1,11,0,0.00575637,0,All,-1,0
1,11,2,-0.52187,1,All,-1,0
1,11,3,0.552283,0,All,-1,0
1,11,4,0.870521,0,All,-1,0
1,11,5,-0.378109,1,All,-1,0
1,11,6,0.946343,0,All,-1,0
1,11,7,1.37316,0,All,-1,0
1,11,8,2.59988,0,All,-1,0
1,11,9,1.04968,0,All,-1,0
1,11,10,0.976496,0,All,-1,0
1,11,11,0.89916,0,All,-1,0
1,11,1,-0.542444,1,All,-1,0
1,11,12,-0.0738095,0,All,-1,0
1,11,13,0.601858,0,All,-1,0
1,11,14,-1.63604,1,All,-1,0
1,12,-1,0.751145,0,All,-1,0
1,12,0,0.743421,0,All,-1,0
1,12,7,-0.507089,1,All,-1,0
1,12,8,0.806785,0,All,-1,0
1,12,9,1.92729,0,All,-1,0
1,12,10,1.78112,0,All,-1,0
1,12,11,1.37004,0,All,-1,0
1,12,1,-0.0658147,0,All,-1,0
1,12,2,0.509525,0,All,-1,0
1,12,3,0.103136,0,All,-1,0
1,12,4,0.280032,0,All,-1,0
1,12,5,-0.0669172,0,All,-1,0
1,12,6,0.328669,0,All,-1,0
1,12,12,1.24366,0,All,-1,0
1,12,13,2.111,0,All,-1,0
1,12,14,-0.459649,1,All,-1,0
1,13,0,-0.807342,1,All,-1,0
1,13,4,2.09632,0,All,-1,0
1,13,5,2.3132,0,All,-1,0
1,13,6,1.65211,0,All,-1,0
1,13,7,1.91333,0,All,-1,0
1,13,8,1.52781,0,All,-1,0
1,13,9,0.885022,0,All,-1,0
1,13,10,1.37082,0,All,-1,0
1,13,12,0.714768,0,All,-1,0
1,13,13,0.0669244,0,All,-1,0
1,13,14,0.265166,0,All,-1,0
1,13,-1,-1.0872,1,All,-1,0
1,13,1,-1.1846,1,All,-1,0
1,13,2,-0.491134,1,All,-1,0
1,13,3,1.53052,0,All,-1,0
1,13,11,1.35108,0,All,-1,0
1,14,0,-0.266355,0,All,-1,0
1,14,1,-0.626242,1,All,-1,0
1,14,3,1.19307,0,All,-1,0
1,14,4,-1.00665,1,All,-1,0
1,14,5,0.966264,0,All,-1,0
1,14,6,1.90432,0,All,-1,0
1,14,7,1.79781,0,All,-1,0
1,14,8,2.27746,0,All,-1,0
1,14,9,0.938319,0,All,-1,0
1,14,10,1.23624,0,All,-1,0
1,14,-1,-1.05732,1,All,-1,0
1,14,2,-0.13195,0,All,-1,0
1,14,11,0.792845,0,All,-1,0
1,14,12,-0.994864,1,All,-1,0
