id,beta_exp_SAEM,delta0_SAEM,p_SAEM,td_SAEM,b_exp_SAEM,h_0_SAEM,tc_SAEM,sigma_SAEM,phi_exp_SAEM,rho_exp_SAEM,dF_SAEM,q_exp_SAEM,ifn0_SAEM
7,-4.03962,1.23276,2.69012,2.76289,-3.10011,0.747409,8.13693,0.440679,-1.45059,-1.69113,0.942768,-4.28335,0.573444
8,-4.27667,0.271373,3.20965,2.43349,-1.14186,0.477892,2.98622,0.342267,-1.45059,-2.58284,0.942768,-4.30865,0.60623
9,-3.54921,1.27152,2.91398,1.58448,-2.33767,0.586141,5.93161,0.394916,-1.45059,-1.80653,0.942768,-4.27022,0.322753
10,-3.45272,4.09314,3.42729,1.3865,-1.71763,0.539672,6.52436,0.665618,-1.45059,-1.28725,0.942768,-4.24686,0.194157
11,-4.51089,0.314715,3.42278,1.70232,-0.953521,0.45244,3.92209,0.594974,-1.45059,-2.38299,0.942768,-4.30049,0.614306
12,-3.69682,2.32074,1.71871,4.03209,-1.79198,0.655155,3.97597,0.131517,-1.45059,-1.9176,0.942768,-4.26559,0.263684
13,-2.47414,6.9614,2.87969,0.730878,-5.10555,0.876256,11.1843,0.584649,-1.45059,-0.646414,0.942768,-4.22459,0.223255
14,-3.86096,0.886474,3.29471,1.7416,-1.44836,0.515902,3.84333,0.436705,-1.45059,-2.0122,0.942768,-4.28268,0.370448
15,-3.51684,12.5419,3.07891,1.89473,-4.02158,0.872695,11.3024,1.27968,-1.45059,-0.533743,0.942768,-4.23054,0.241938
16,-3.1984,0.350248,2.24227,1.40647,-3.75534,0.76308,5.4866,0.142175,-1.45059,-1.93186,0.942768,-4.29108,0.574403
17,-4.17404,0.71487,2.90989,2.62509,-2.13916,0.626653,5.20975,0.370293,-1.45059,-1.95368,0.942768,-4.29361,0.580668
18,-4.60587,0.742581,3.45782,2.61112,-0.912684,0.474235,4.18469,0.643279,-1.45059,-2.19449,0.942768,-4.29518,0.510811
