id,eta_beta_exp_SAEM,eta_delta0_SAEM,eta_p_SAEM,eta_td_SAEM,eta_b_exp_SAEM,eta_h_0_SAEM,eta_tc_SAEM,eta_sigma_SAEM,eta_phi_exp_SAEM,eta_rho_exp_SAEM,eta_dF_SAEM,eta_q_exp_SAEM,eta_ifn0_SAEM
7,-0.221136,-0.0188906,-0.254209,0.348952,-0.783184,0.20178,0.758731,0.035506,0,0.115596,0,-0.00622685,0.326756
8,-0.458183,-1.38694,0.265324,0.228407,1.17506,-0.241956,-1.235,-0.170442,0,-0.776106,0,-0.0315276,0.391974
9,0.269273,0.0637824,-0.030345,-0.205008,-0.020746,-0.0457793,-0.120775,-0.0567696,0,0.000202311,0,0.00690399,-0.245583
10,0.365766,1.33064,0.48296,-0.332954,0.599293,-0.121331,0.102971,0.498301,0,0.519482,0,0.0302609,-0.758173
11,-0.692404,-1.31956,0.478457,-0.12903,1.3634,-0.296878,-0.833078,0.37577,0,-0.576258,0,-0.0233694,0.39497
12,0.121667,0.777464,-1.22561,0.734305,0.524942,0.0748788,-0.820253,-1.17731,0,-0.110875,0,0.0115273,-0.438267
13,1.34434,1.85655,-0.0646415,-0.981599,-2.78863,0.366693,2.60995,0.364526,0,1.16031,0,0.0525291,-0.613498
14,-0.0424766,-0.206923,0.35038,-0.105936,0.868558,-0.165644,-0.853783,0.0750158,0,-0.205474,0,-0.00556312,-0.104451
15,0.30164,2.38623,0.134587,-0.0359371,-1.70466,0.361558,2.79111,1.13729,0,1.27299,0,0.0465818,-0.540808
16,0.620082,-1.0983,-0.70206,-0.33362,-1.43842,0.226091,-0.259417,-1.07782,0,-0.125134,0,-0.0139576,0.337958
17,-0.355561,-0.478243,-0.034436,0.302866,0.177764,0.0224048,-0.360729,-0.106129,0,-0.146949,0,-0.0164872,0.343493
18,-0.787388,-0.575941,0.513497,0.299469,1.40424,-0.249617,-0.733671,0.447048,0,-0.387757,0,-0.0180623,0.200668
