parameter,value,CV
beta_exp_pop,-3.82414562934541,
delta0_pop,0.991442841099298,
p_pop,2.94417804122032,
td_pop,1.92970388744571,
b_exp_pop,-2.31681802175331,
h_0_pop,0.607588749995621,
tc_pop,6.24666910520276,
sigma_pop,0.406288568918891,
phi_exp_pop,-1.4468288157476,
rho_exp_pop,-1.79722505771042,
dF_pop,0.943971875426939,
q_exp_pop,-4.27733184756273,
ifn0_pop,0.4,
omega_beta_exp,0.614056630944627,-16.0573547783466
omega_delta0,1.2951092849995,208.593663381722
omega_p,0.532121516339145,18.0736867434344
omega_td,0.437048636006594,45.877378394423
omega_b_exp,1.36043053270279,-58.7197837693462
omega_h_0,0.245196041367441,24.8927984283282
omega_tc,1.37520577576188,49.949928104739
omega_sigma,0.657123054305357,73.4876568146246
omega_rho_exp,0.667370126858815,-37.1333642381446
omega_q_exp,0.0306119195797576,-0.715677919570365
omega_ifn0,0.496480238707948,52.8705730777513
corr_beta_exp_b_exp,-0.799517712887186,
corr_delta0_b_exp,-0.57816294782425,
corr_h_0_b_exp,-0.935200069236879,
corr_ifn0_b_exp,0.323997919152576,
corr_p_b_exp,0.342415396585172,
corr_q_exp_b_exp,-0.606748317966416,
corr_rho_exp_b_exp,-0.770027900250397,
corr_sigma_b_exp,-0.0704700792905571,
corr_tc_b_exp,-0.81093636936712,
corr_td_b_exp,0.552381187851338,
corr_delta0_beta_exp,0.615126574619551,
corr_h_0_beta_exp,0.702236172642116,
corr_ifn0_beta_exp,-0.600931516854785,
corr_p_beta_exp,-0.379151625553832,
corr_q_exp_beta_exp,0.687739656095474,
corr_rho_exp_beta_exp,0.69031788150616,
corr_sigma_beta_exp,-0.0882965662602699,
corr_tc_beta_exp,0.606219175736324,
corr_td_beta_exp,-0.661731623194484,
corr_h_0_delta0,0.623195112936125,
corr_ifn0_delta0,-0.808577134917091,
corr_p_delta0,-0.0953865690883496,
corr_q_exp_delta0,0.886387016777007,
corr_rho_exp_delta0,0.887513869575071,
corr_sigma_delta0,0.399630187387977,
corr_tc_delta0,0.795323532932696,
corr_td_delta0,-0.292010869016049,
corr_ifn0_h_0,-0.329094199375621,
corr_p_h_0,-0.502289191912946,
corr_q_exp_h_0,0.593810122508989,
corr_rho_exp_h_0,0.763109807990596,
corr_sigma_h_0,-0.0227392184395672,
corr_tc_h_0,0.766750123542595,
corr_td_h_0,-0.307689660078838,
corr_p_ifn0,0.0883276969192441,
corr_q_exp_ifn0,-0.79632351711736,
corr_rho_exp_ifn0,-0.679999578572257,
corr_sigma_ifn0,-0.248670904465403,
corr_tc_ifn0,-0.496993626343023,
corr_td_ifn0,0.318673766558282,
corr_q_exp_p,-0.109735038687596,
corr_rho_exp_p,-0.0677865424108243,
corr_sigma_p,0.755073392781372,
corr_tc_p,-0.0121749036295295,
corr_td_p,-0.241494339163296,
corr_rho_exp_q_exp,0.850963333847231,
corr_sigma_q_exp,0.350504937417049,
corr_tc_q_exp,0.774607575152287,
corr_td_q_exp,-0.449013170810354,
corr_sigma_rho_exp,0.451538407931267,
corr_tc_rho_exp,0.888609993753793,
corr_td_rho_exp,-0.492204268541129,
corr_tc_sigma,0.521196950846199,
corr_td_sigma,-0.292606311982847,
corr_td_tc,-0.482678879442653,
a1,0.860934530572903,
b2,0.403472207850123,
a3,0.558633172997361,
