ID,eta_beta_exp_mean,eta_beta_exp_mode,eta_delta0_mean,eta_delta0_mode,eta_p_mean,eta_p_mode,eta_td_mean,eta_td_mode,eta_b_exp_mean,eta_b_exp_mode,eta_h_0_mean,eta_h_0_mode,eta_tc_mean,eta_tc_mode,eta_sigma_mean,eta_sigma_mode,eta_rho_exp_mean,eta_rho_exp_mode,eta_alpha_exp_mean,eta_alpha_exp_mode,split,color,filter
7,0.128456,0.0379437,0.797439,1.11071,-0.234124,-0.244826,-0.119504,-0.13329,-1.93649,-2.172,0.118891,0.117233,-0.555372,-0.992951,0.377023,0.570592,0.367642,0.292438,-3.43478e-156,4.67548e-156,All,#4682B4,0
8,0.196033,0.0796636,-0.928976,-1.07468,0.274898,0.490124,0.353277,0.514887,0.712887,0.511716,-0.073401,-0.111967,0.332138,0.369969,-0.443727,-0.434517,-0.302672,-0.261874,-8.31397e-156,-1.09875e-155,All,#4682B4,0
9,0.200836,-0.0200963,0.124492,0.218118,0.0560743,0.0807902,-0.171407,-0.134604,0.177039,0.109092,-0.174201,-0.191262,-0.804421,-0.646391,-0.133281,-0.33489,-0.049439,-0.0663355,-4.55352e-156,-1.53467e-155,All,#4682B4,0
10,0.173473,0.117416,0.774444,0.801745,0.322028,0.389264,-0.403404,-0.352916,1.55406,1.59804,0.110514,0.105729,0.937996,0.906407,-0.120854,-0.186757,-0.157411,-0.110899,-2.51148e-158,-1.37204e-156,All,#4682B4,0
11,-0.565373,-0.419221,-0.909306,-1.1735,0.00947839,0.097738,-0.664321,-0.587592,1.41565,1.56134,-0.122643,-0.22519,0.0633045,0.318459,0.490368,0.361021,-0.0264355,0.0706405,5.39005e-156,5.09239e-156,All,#4682B4,0
12,0.360721,0.364187,-0.194383,-0.0775555,-1.0449,-0.955014,0.635228,0.709677,0.96162,0.851177,-0.187749,-0.134341,-1.62231,-1.77046,-0.168994,-0.155743,-0.0196462,-0.0673645,3.29917e-155,3.23702e-155,All,#4682B4,0
13,0.538501,0.511471,0.667382,0.940247,0.10684,0.160165,-0.475399,-0.461193,-2.24215,-2.29951,-0.147462,-0.152944,2.23782,1.70237,-0.0469869,0.0242162,-0.0746513,-0.0870816,1.40787e-155,1.34418e-155,All,#4682B4,0
14,0.307935,0.244219,0.44233,0.435195,0.453212,0.43676,-0.0641944,-0.0218393,1.04751,1.23963,0.248405,0.248014,-1.28495,-1.10085,-0.142425,-0.337162,-0.0591469,0.00336476,-2.51245e-157,-2.47152e-156,All,#4682B4,0
15,-0.169232,-0.041156,0.59187,0.598124,-0.134839,-0.0640247,0.624626,0.747674,-0.03682,-0.107081,0.0702125,0.0992532,2.78487,2.48553,0.700168,0.842651,0.167572,0.195876,2.02283e-156,3.58589e-156,All,#4682B4,0
16,0.0395508,-0.0118163,-1.06948,-1.10212,-0.000272317,-0.0692797,-0.285321,-0.302446,-1.8905,-1.42896,-0.00152278,-0.0429438,-1.29484,-0.876251,-0.853581,-1.26174,0.232217,0.337986,-8.7435e-156,-1.86393e-155,All,#4682B4,0
17,-0.52764,-0.602235,-0.739695,-0.958076,0.0719386,-0.0583081,0.33323,0.38403,-0.883467,-1.46968,0.178716,0.294542,-0.41402,0.0284807,0.00477054,-0.357337,0.203771,0.0755377,-1.71449e-155,-1.3858e-155,All,#4682B4,0
18,-0.49315,-0.473677,-0.276437,-0.222859,0.25798,0.270123,0.138635,0.178375,1.09491,1.04153,-0.0726478,-0.127454,-0.641499,-0.686275,0.647807,0.650515,-0.0476888,-0.0455079,-1.0767e-155,-1.27954e-155,All,#4682B4,0
