ID,eta_beta_exp_mean,eta_beta_exp_mode,eta_delta0_mean,eta_delta0_mode,eta_p_mean,eta_p_mode,eta_td_mean,eta_td_mode,eta_b_exp_mean,eta_b_exp_mode,eta_h_0_mean,eta_h_0_mode,eta_tc_mean,eta_tc_mode,eta_sigma_mean,eta_sigma_mode,eta_rho_exp_mean,eta_rho_exp_mode,eta_alpha_exp_mean,eta_alpha_exp_mode,split,color,filter
7,0.576702,0.546763,1.30038,1.36868,-0.440168,-0.426723,-0.520005,-0.519841,-2.66265,-2.68016,0.534315,0.53413,0.817252,0.723053,-0.0161137,0.0264354,1.62505,1.57948,-0.0442607,0.0602484,All,#4682B4,0
8,-0.197216,-0.347823,-1.02006,-1.0997,0.22099,0.364283,0.421202,0.481664,1.55612,1.56484,-0.33409,-0.342046,-0.825295,-0.750903,-0.230594,-0.147897,-1.14132,-1.11693,-0.107134,-0.141586,All,#4682B4,0
9,0.141576,0.0344935,-0.235811,-0.233851,-0.0367108,0.0191647,-0.0763815,-0.0666632,0.270113,0.27319,-0.0992173,-0.0986601,-0.748596,-0.698799,-0.297668,-0.33261,-0.272016,-0.296607,-0.0586768,-0.197757,All,#4682B4,0
10,0.033414,-0.0134206,0.480326,0.470765,0.530378,0.555735,-0.222985,-0.205255,0.753032,0.749936,-0.14315,-0.137049,0.980753,0.962948,0.275469,0.270309,-0.530345,-0.48667,-0.00032363,-0.0176802,All,#4682B4,0
11,-0.796425,-0.753064,-1.00582,-1.07423,0.432291,0.440953,-0.00158799,0.0215926,1.6601,1.68879,-0.325414,-0.350037,-0.366473,-0.323365,0.443243,0.419536,-0.655312,-0.610195,0.0694564,0.0656206,All,#4682B4,0
12,0.213854,0.213641,-1.08631,-1.05941,-1.17753,-1.13029,0.901675,0.924451,1.33391,1.33018,-0.219031,-0.212224,-2.44042,-2.47368,-0.617204,-0.627587,-0.519912,-0.578131,0.425132,0.417123,All,#4682B4,0
13,0.918676,0.913513,2.015,2.02005,0.273668,0.270073,-0.985362,-0.976498,-2.78213,-2.763,0.395707,0.393148,2.8699,2.61993,0.18579,0.146555,1.02426,0.998996,0.181419,0.173212,All,#4682B4,0
14,0.0626026,0.0343744,-0.282891,-0.291795,0.171655,0.141738,0.00735531,0.0354071,0.732178,0.749868,-0.0926751,-0.0844405,-0.962981,-0.948494,-0.283802,-0.328847,-0.495643,-0.441211,-0.00323755,-0.0318481,All,#4682B4,0
15,-0.134556,-0.0907738,1.41534,1.40759,0.192031,0.161195,0.278014,0.341313,-0.614759,-0.644665,0.162955,0.175734,3.14371,3.02934,1.2632,1.28389,0.752584,0.795782,0.0260663,0.0462079,All,#4682B4,0
16,0.357382,0.362869,-0.53645,-0.550905,-0.445581,-0.510877,-0.49852,-0.498557,-1.6935,-1.62883,0.300356,0.296625,-1.64284,-1.61845,-1.13024,-1.25306,0.735813,0.795524,-0.112669,-0.240187,All,#4682B4,0
17,-0.402871,-0.311747,-0.456139,-0.454406,-0.0998632,-0.191369,0.167736,0.127223,-0.452105,-0.818038,0.155542,0.233069,-0.47768,-0.458942,-0.0375941,-0.27668,0.47021,0.463263,-0.220929,-0.178575,All,#4682B4,0
18,-0.805972,-0.789108,-0.854726,-0.834449,0.381508,0.376913,0.453589,0.470625,1.75398,1.74885,-0.314502,-0.325067,-0.52485,-0.531025,0.535418,0.534521,-0.695321,-0.698352,-0.138744,-0.164882,All,#4682B4,0
