rep,ID,eta_beta_exp_simulated,eta_delta0_simulated,eta_p_simulated,eta_td_simulated,eta_b_exp_simulated,eta_h_0_simulated,eta_tc_simulated,eta_sigma_simulated,eta_rho_exp_simulated,eta_alpha_exp_simulated,split,color,filter
1,7,2.38781,-1.41313,-0.285322,0.405253,-1.40266,-0.0691291,1.84907,0.329298,2.09687,-1.44439,All,#4682B4,0
2,7,-0.698049,0.73629,-0.890335,0.251145,-1.35425,1.05562,-0.0160503,0.447208,0.273399,-0.721772,All,#4682B4,0
3,7,-0.913435,0.754816,-1.32874,-1.14912,-0.888001,0.60691,0.178876,0.507561,0.740926,0.46167,All,#4682B4,0
4,7,-0.624331,0.641894,-1.61892,-1.01719,-1.07223,1.04787,0.04281,0.126133,0.403303,-0.737094,All,#4682B4,0
5,7,0.1954,1.55126,0.279389,0.522977,-0.85637,-0.0256551,-0.875209,0.657332,2.37018,-0.18905,All,#4682B4,0
6,7,1.59381,1.25487,-0.64513,-1.0552,-1.03744,0.147387,-0.223369,0.325295,1.18132,-0.957997,All,#4682B4,0
7,7,-0.861886,0.584426,-0.315738,-0.569099,-1.82296,0.750129,-0.333855,0.632546,0.289541,2.07999,All,#4682B4,0
8,7,0.773775,1.43706,0.198349,1.92857,-0.913582,-0.243214,-0.0572032,0.998776,1.59228,-0.51523,All,#4682B4,0
9,7,0.103791,-0.54936,-1.46212,-0.441098,-0.896453,0.907942,0.116241,0.0167132,1.06114,-1.04015,All,#4682B4,0
10,7,-0.599677,0.341395,-0.286495,0.658513,-1.31639,0.504901,-0.0480453,0.311528,0.836447,-0.0403853,All,#4682B4,0
1,8,-0.483021,-0.473307,1.42782,1.12389,-0.259711,0.480738,-0.833955,-0.781124,-1.44027,0.386676,All,#4682B4,0
2,8,0.422089,-0.982492,0.456822,0.158329,1.18575,-0.974238,0.584139,-0.590563,-0.252563,-0.234073,All,#4682B4,0
3,8,1.50559,-0.334804,0.191707,0.920043,0.895603,-0.372847,0.788259,-0.448423,-1.30869,-0.402181,All,#4682B4,0
4,8,-0.546118,-0.824272,1.03085,0.932522,0.521006,0.49403,0.0580771,-1.41169,-0.3558,-0.186366,All,#4682B4,0
5,8,0.270447,-1.21667,0.195567,0.543859,0.34275,-0.647284,0.455961,-0.435791,-1.32285,-0.75133,All,#4682B4,0
6,8,-0.276379,-1.9935,-0.111931,0.17005,0.625995,0.0170299,0.505949,-0.603706,-0.250737,-0.256462,All,#4682B4,0
7,8,-0.532248,-0.345515,0.508469,0.779714,0.722849,0.165902,0.532089,-1.62507,-0.235547,-0.641156,All,#4682B4,0
8,8,1.83023,-0.901221,0.67022,1.1298,0.607299,-0.788369,0.676739,-0.344603,-0.815771,-1.24305,All,#4682B4,0
9,8,0.517554,0.516126,0.766398,0.983203,-0.325349,1.50716,-1.86551,0.275113,-2.50896,-2.195,All,#4682B4,0
10,8,0.0365225,0.233115,0.580823,0.708672,1.06319,-1.28775,0.692761,-1.37165,-0.559704,0.694621,All,#4682B4,0
1,9,0.517926,0.392248,0.562669,-0.362887,0.0461971,-0.788323,-1.81552,-0.31203,-1.2502,0.03358,All,#4682B4,0
