beta_exp_abscissa,beta_exp_cdf,delta0_abscissa,delta0_cdf,p_abscissa,p_cdf,td_abscissa,td_cdf,b_exp_abscissa,b_exp_cdf,h_0_abscissa,h_0_cdf,tc_abscissa,tc_cdf,sigma_abscissa,sigma_cdf,rho_exp_abscissa,rho_exp_cdf,alpha_exp_abscissa,alpha_exp_cdf,split
-4.98551,0,0.115222,0,1.21746,0.00833333,0.410187,0,-6.05164,0.00833333,0.209207,0,0.250844,0.00833333,0.0828236,0,-3.99517,0,-4.78464,0,All
-4.81068,0.00833333,0.151913,0.00833333,1.25098,0.0166667,0.542528,0.00833333,-5.79273,0.0166667,0.369252,0.00833333,0.444372,0.0166667,0.103313,0.00833333,-3.63432,0.00833333,-4.41087,0.00833333,All
-4.78972,0.0166667,0.172909,0.0166667,1.27488,0.025,0.643889,0.0166667,-5.37053,0.025,0.371207,0.0166667,0.513687,0.025,0.105258,0.0166667,-3.46905,0.0166667,-4.3682,0.0166667,All
-4.76562,0.025,0.174295,0.025,1.29364,0.0333333,0.656715,0.025,-5.35011,0.0333333,0.377937,0.025,0.538355,0.0333333,0.10563,0.025,-3.44829,0.025,-4.36735,0.025,All
-4.69178,0.0333333,0.186235,0.0333333,1.42034,0.0416667,0.688498,0.0333333,-5.32609,0.0416667,0.392701,0.0333333,0.578459,0.0416667,0.111113,0.0333333,-3.42592,0.0333333,-4.32746,0.0333333,All
-4.66735,0.0416667,0.201415,0.0416667,1.50948,0.05,0.700696,0.0416667,-5.30534,0.05,0.396189,0.0416667,0.585167,0.05,0.114958,0.0416667,-3.37734,0.0416667,-4.25537,0.0416667,All
-4.65227,0.05,0.202691,0.05,1.54224,0.0583333,0.704871,0.05,-5.18141,0.0583333,0.396364,0.05,0.636522,0.0583333,0.12528,0.05,-3.33294,0.05,-4.19666,0.05,All
-4.58954,0.0583333,0.218995,0.0583333,1.58725,0.0666667,0.70928,0.0583333,-5.16069,0.0666667,0.400543,0.0583333,0.646214,0.0666667,0.137267,0.0583333,-3.31602,0.0583333,-4.14647,0.0583333,All
-4.58915,0.0666667,0.23261,0.0666667,1.72854,0.075,0.718237,0.0666667,-5.1467,0.075,0.412394,0.0666667,0.737376,0.075,0.151527,0.0666667,-3.29787,0.0666667,-4.11559,0.0666667,All
-4.5262,0.075,0.24525,0.075,1.89261,0.0833333,0.72192,0.075,-5.11197,0.0833333,0.413439,0.075,0.861661,0.0833333,0.161241,0.075,-3.25946,0.075,-4.11369,0.075,All
-4.44839,0.0833333,0.247004,0.0833333,1.92903,0.0916667,0.736933,0.0833333,-5.04556,0.0916667,0.413718,0.0833333,0.864122,0.0916667,0.17285,0.0833333,-3.25905,0.0833333,-4.10153,0.0833333,All
-4.44798,0.0916667,0.247682,0.0916667,1.96413,0.1,0.746449,0.0916667,-5.02254,0.1,0.42138,0.0916667,0.923315,0.1,0.17291,0.0916667,-3.2559,0.0916667,-4.09252,0.0916667,All
-4.43015,0.1,0.267483,0.1,1.98268,0.108333,0.804211,0.1,-4.99674,0.108333,0.421921,0.1,0.957339,0.108333,0.174845,0.1,-3.23975,0.1,-4.08722,0.1,All
-4.42904,0.108333,0.272069,0.108333,2.05695,0.116667,0.826437,0.108333,-4.98245,0.116667,0.426671,0.108333,1.17208,0.116667,0.181966,0.108333,-3.23313,0.108333,-4.07723,0.108333,All
-4.42086,0.116667,0.276795,0.116667,2.12108,0.125,0.830516,0.116667,-4.9285,0.125,0.432978,0.116667,1.29423,0.125,0.187858,0.116667,-3.18106,0.116667,-4.05913,0.116667,All
-4.39581,0.125,0.281514,0.125,2.17086,0.133333,0.832187,0.125,-4.90819,0.133333,0.435166,0.125,1.41937,0.133333,0.194115,0.125,-3.11996,0.125,-4.05863,0.125,All
-4.38715,0.133333,0.281794,0.133333,2.17231,0.141667,0.836676,0.133333,-4.84191,0.141667,0.437658,0.133333,1.56147,0.141667,0.194512,0.133333,-3.07161,0.133333,-4.04144,0.133333,All
-4.37436,0.141667,0.2867,0.141667,2.23653,0.15,0.871262,0.141667,-4.83976,0.15,0.448722,0.141667,1.80377,0.15,0.19508,0.141667,-3.05353,0.141667,-4.04068,0.141667,All
-4.31401,0.15,0.290188,0.15,2.23885,0.158333,0.874594,0.15,-4.80441,0.158333,0.453336,0.15,1.90222,0.158333,0.217874,0.15,-3.05272,0.15,-4.03899,0.15,All
-4.3091,0.158333,0.299076,0.158333,2.26667,0.166667,0.903863,0.158333,-4.7051,0.166667,0.456778,0.158333,2.16259,0.166667,0.223829,0.158333,-3.04606,0.158333,-4.02828,0.158333,All
