beta_exp_abscissa,beta_exp_pdf,delta0_abscissa,delta0_pdf,p_abscissa,p_pdf,td_abscissa,td_pdf,b_exp_abscissa,b_exp_pdf,h_0_abscissa,h_0_pdf,tc_abscissa,tc_pdf,sigma_abscissa,sigma_pdf,rho_exp_abscissa,rho_exp_pdf,alpha_exp_abscissa,alpha_exp_pdf,split
-4.69359,0.310538,0.640689,0.688176,1.32636,0.2087,0.716093,0.471397,-5.78585,0.0342039,0.404544,2.06074,0.77084,0.122379,0.19794,1.4891,-3.46935,0.192866,-4.34188,0.263561,All
-4.45939,0.349355,1.61824,0.102296,1.54416,0.12522,1.06322,0.235699,-5.25428,0.188121,0.475128,4.12148,1.81083,0.0699306,0.387193,2.20964,-3.13939,0.385732,-4.20391,0.197671,All
-4.22519,0.232903,2.59579,0.130195,1.76196,0.04174,1.41035,0.523775,-4.72271,0.188121,0.545711,1.93194,2.85082,0.078672,0.576447,0.86464,-2.80944,0.551045,-4.06594,1.05425,All
-3.99099,0.388172,3.57334,0.0371987,1.97976,0.2087,1.75748,0.733285,-4.19114,0.119714,0.616295,0.901574,3.89081,0.148603,0.765701,0.43232,-2.47949,0.60615,-3.92797,1.58137,All
-3.75679,0.543441,4.55089,0.0650977,2.19755,0.29218,2.10462,0.235699,-3.65956,0.136816,0.686878,0.772778,4.93081,0.104896,0.954955,0.336249,-2.14954,0.137761,-3.79,1.31781,All
-3.5226,0.776344,5.52845,0.027899,2.41535,0.500879,2.45175,0.288076,-3.12799,0.153918,0.757462,0.772778,5.9708,0.113637,1.14421,0.144107,-1.81959,0.24797,-3.65203,1.3837,All
-3.2884,0.659893,6.506,0.0371987,2.63315,0.709579,2.79888,0.392831,-2.59642,0.102612,0.828046,1.54556,7.01079,0.052448,1.33346,0.0960711,-1.48964,0.220418,-3.51406,0.790684,All
-3.0542,0.815161,7.48355,0,2.85095,0.918279,3.14601,0,-2.06485,0.136816,0.898629,1.80315,8.05078,0.078672,1.52272,0.0960711,-1.15969,0.495941,-3.37609,0.790684,All
-2.82,0.310538,8.4611,0,3.06875,0.834799,3.49314,0,-1.53328,0.359141,0.969213,0.643982,9.09077,0.0699306,1.71197,0,-0.829734,0.358179,-3.23812,0.131781,All
-2.5858,0.116452,9.43865,0.00929967,3.28655,0.834799,3.84027,0.0261887,-1.00171,0.410447,1.0398,0.386389,10.1308,0.026224,1.90122,0,-0.499782,0.0551045,-3.10015,0.329452,All
-2.35161,0.155269,10.4162,0.0185993,3.50435,0.33392,4.1874,0.235699,-0.470136,0.222325,1.11038,0.515185,11.1708,0.183568,2.09048,0.0960711,-0.169831,0.0551045,-2.96218,0.0658904,All
