beta_exp_abscissa,beta_exp_pdf,beta_exp_cdf,delta0_abscissa,delta0_pdf,delta0_cdf,p_abscissa,p_pdf,p_cdf,td_abscissa,td_pdf,td_cdf,b_exp_abscissa,b_exp_pdf,b_exp_cdf,h_0_abscissa,h_0_pdf,h_0_cdf,tc_abscissa,tc_pdf,tc_cdf,sigma_abscissa,sigma_pdf,sigma_cdf,rho_exp_abscissa,rho_exp_pdf,rho_exp_cdf,alpha_exp_abscissa,alpha_exp_pdf,alpha_exp_cdf,split
-4.98551,0.0217764,0.00402455,0.115222,0.562726,0.0330997,1.21746,0.011802,0.00196616,0.410187,0.0466714,0.00329892,-6.05164,0.0239326,0.0155472,0.209207,0.0120387,0.000204776,0.250844,0.0924182,0.0167546,0.0828236,0.394158,0.00780606,-3.99517,0.050879,0.0181594,-4.78464,0.00198375,0.000151306,All
-4.95622,0.0250598,0.00470938,0.224209,0.713701,0.105246,1.24727,0.0138622,0.0023479,0.476131,0.0840144,0.00754711,-5.99081,0.0259172,0.0170627,0.225677,0.0258576,0.000505429,0.366399,0.0980428,0.02781,0.104059,0.684041,0.0192022,-3.95487,0.0559603,0.0203113,-4.76317,0.00257551,0.000200016,All
-4.92694,0.0287556,0.00549632,0.333196,0.698936,0.182949,1.27707,0.0162303,0.00279555,0.542076,0.131072,0.014594,-5.92999,0.0280273,0.0187026,0.242148,0.0498381,0.00111229,0.481953,0.100052,0.0392778,0.125294,0.979979,0.0368961,-3.91456,0.061419,0.0226756,-4.74169,0.00332602,0.00026308,All
-4.89765,0.0329021,0.006398,0.442184,0.639352,0.256052,1.30688,0.0189428,0.00331882,0.60802,0.18449,0.0249741,-5.86916,0.0302672,0.0204749,0.258619,0.0877403,0.00222364,0.597508,0.100394,0.05087,0.146529,1.24709,0.0606141,-3.87426,0.0672679,0.0252677,-4.72021,0.00427241,0.000344296,All
-4.86837,0.0375388,0.00742818,0.551171,0.571516,0.322038,1.33668,0.0220386,0.00392855,0.673964,0.240527,0.0389834,-5.80833,0.0326407,0.0223874,0.275089,0.143085,0.00409849,0.713063,0.0998924,0.0624477,0.167764,1.46731,0.0895258,-3.83395,0.0735182,0.0281036,-4.69873,0.00545892,0.000448333,All
-4.83908,0.0427063,0.00860182,0.660159,0.50701,0.380758,1.36649,0.0255589,0.00463677,0.739909,0.295739,0.0566782,-5.74751,0.0351515,0.0244484,0.29156,0.218592,0.00704799,0.828617,0.0989497,0.0739393,0.188999,1.63479,0.122556,-3.79364,0.0801796,0.0311997,-4.67725,0.00693789,0.000580894,All
-4.8098,0.0484462,0.00993507,0.769146,0.449196,0.432799,1.39629,0.0295477,0.00545679,0.805853,0.347344,0.0779082,-5.68668,0.0378028,0.0266664,0.308031,0.315716,0.0114182,0.944172,0.0977771,0.0853071,0.210234,1.75111,0.158593,-3.75334,0.0872599,0.0345727,-4.65577,0.00877069,0.000748903,All
-4.78051,0.0548001,0.0114453,0.878134,0.398565,0.478933,1.4261,0.0340506,0.00640323,0.871797,0.393347,0.102365,-5.62586,0.0405977,0.0290501,0.324501,0.434353,0.0175665,1.05973,0.0964929,0.0965322,0.23147,1.82171,0.196602,-3.71303,0.0947648,0.0382396,-4.63429,0.0110288,0.000960709,All
-4.75123,0.0618101,0.0131511,0.987121,0.354612,0.519919,1.4559,0.0391154,0.00749214,0.937742,0.432509,0.129635,-5.56503,0.0435386,0.0316082,0.340972,0.572775,0.0258353,1.17528,0.0951659,0.107606,0.252705,1.8536,0.235687,-3.67272,0.102698,0.0422177,-4.61281,0.0137945,0.00122631,All
-4.72194,0.0695172,0.0150723,1.09611,0.316545,0.556444,1.48571,0.044791,0.00874099,1.00369,0.464237,0.159244,-5.50421,0.0466278,0.0343496,0.357443,0.727763,0.0365257,1.29084,0.093837,0.118526,0.27394,1.854,0.275103,-3.63242,0.11106,0.0465241,-4.59133,0.0171621,0.0015576,All
-4.69266,0.0779616,0.0172299,1.2051,0.283549,0.589102,1.51551,0.0511277,0.0101687,1.06963,0.488447,0.190697,-5.44338,0.0498669,0.0372835,0.373913,0.894901,0.0498756,1.40639,0.0925305,0.129293,0.295175,1.82963,0.314252,-3.59211,0.11985,0.0511763,-4.56985,0.0212384,0.00196864,All
-4.66337,0.0871814,0.0196461,1.31408,0.254876,0.618407,1.54532,0.0581757,0.0117958,1.13557,0.505424,0.223506,-5.38256,0.0532568,0.040419,0.390384,1.06898,0.0660431,1.52194,0.0912611,0.139912,0.31641,1.78641,0.352674,-3.55181,0.129061,0.0561912,-4.54837,0.0261432,0.0024759,All
-4.63409,0.0972127,0.0223441,1.42307,0.229881,0.644793,1.57512,0.0659856,0.0136442,1.20152,0.5157,0.25721,-5.32173,0.0567983,0.0437654,0.406855,1.24441,0.0850967,1.6375,0.0900373,0.150386,0.337645,1.72934,0.390024,-3.5115,0.138688,0.0615858,-4.5269,0.0320098,0.00309859,All
