pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4,0,-4,0,All
-2.33124,0.00255754,-3.90802,0.000255754,-1.85575,0.00255754,All
-1.90412,0.00511509,-3.43964,0.000511509,-1.84225,0.00511509,All
-1.87922,0.00767263,-3.32959,0.000767263,-1.8199,0.00767263,All
-1.81533,0.0102302,-3.3209,0.00102302,-1.74915,0.0102302,All
-1.74131,0.0127877,-3.23146,0.00127877,-1.68816,0.0127877,All
-1.73695,0.0153453,-3.22458,0.00153453,-1.66438,0.0153453,All
-1.67264,0.0179028,-3.1556,0.00179028,-1.64951,0.0179028,All
-1.64853,0.0204604,-3.03347,0.00204604,-1.50679,0.0204604,All
-1.53546,0.0230179,-2.98886,0.00230179,-1.48986,0.0230179,All
-1.5252,0.0255754,-2.96829,0.00255754,-1.44641,0.0255754,All
-1.49772,0.028133,-2.95063,0.0028133,-1.427,0.028133,All
-1.40304,0.0306905,-2.9206,0.00306905,-1.36557,0.0306905,All
-1.37301,0.0332481,-2.84423,0.00332481,-1.33762,0.0332481,All
-1.34779,0.0358056,-2.82316,0.00358056,-1.3191,0.0358056,All
-1.34754,0.0383632,-2.7762,0.00383632,-1.31568,0.0383632,All
-1.32529,0.0409207,-2.70245,0.00409207,-1.30808,0.0409207,All
-1.29633,0.0434783,-2.66756,0.00434783,-1.27842,0.0434783,All
-1.28854,0.0460358,-2.65598,0.00460358,-1.27318,0.0460358,All
-1.2796,0.0485934,-2.63322,0.00485934,-1.26565,0.0485934,All
-1.26606,0.0511509,-2.59562,0.00511509,-1.2584,0.0511509,All
-1.25932,0.0537084,-2.58696,0.00537084,-1.25383,0.0537084,All
-1.24649,0.056266,-2.58667,0.0056266,-1.21428,0.056266,All
-1.20658,0.0588235,-2.57755,0.00588235,-1.20852,0.0588235,All
-1.16952,0.0613811,-2.55347,0.00613811,-1.19383,0.0613811,All
-1.16689,0.0639386,-2.53968,0.00639386,-1.19171,0.0639386,All
-1.1499,0.0664962,-2.53668,0.00664962,-1.18227,0.0664962,All
-1.13156,0.0690537,-2.49946,0.00690537,-1.16601,0.0690537,All
-1.12112,0.0716113,-2.47139,0.00716113,-1.16132,0.0716113,All
-1.08468,0.0741688,-2.46821,0.00741688,-1.15462,0.0741688,All
-1.06509,0.0767263,-2.43843,0.00767263,-1.15171,0.0767263,All
-1.05715,0.0792839,-2.41981,0.00792839,-1.10015,0.0792839,All
-1.04602,0.0818414,-2.41903,0.00818414,-1.08842,0.0818414,All
-1.02536,0.084399,-2.38515,0.0084399,-1.06992,0.084399,All
-1.01349,0.0869565,-2.38279,0.00869565,-1.0523,0.0869565,All
-0.99415,0.0895141,-2.37786,0.00895141,-1.05043,0.0895141,All
-0.991103,0.0920716,-2.37032,0.00920716,-1.03361,0.0920716,All
-0.978724,0.0946292,-2.34623,0.00946292,-1.03299,0.0946292,All
-0.973966,0.0971867,-2.33787,0.00971867,-1.00923,0.0971867,All
-0.969723,0.0997442,-2.33484,0.00997442,-1.00159,0.0997442,All
-0.962932,0.102302,-2.3107,0.0102302,-0.997692,0.102302,All
-0.946732,0.104859,-2.30334,0.0104859,-0.993864,0.104859,All
-0.946094,0.107417,-2.30131,0.0107417,-0.992869,0.107417,All
-0.938484,0.109974,-2.29533,0.0109974,-0.983596,0.109974,All
-0.935329,0.112532,-2.2883,0.0112532,-0.975997,0.112532,All
-0.931015,0.11509,-2.28729,0.011509,-0.96509,0.11509,All
-0.913862,0.117647,-2.28529,0.0117647,-0.962762,0.117647,All
-0.903963,0.120205,-2.28494,0.0120205,-0.958432,0.120205,All
-0.880543,0.122762,-2.28219,0.0122762,-0.956335,0.122762,All
-0.87866,0.12532,-2.27521,0.012532,-0.942906,0.12532,All
-0.87814,0.127877,-2.26729,0.0127877,-0.939669,0.127877,All
-0.850824,0.130435,-2.25534,0.0130435,-0.934244,0.130435,All
-0.846479,0.132992,-2.2465,0.0132992,-0.931512,0.132992,All
-0.836872,0.13555,-2.2394,0.013555,-0.929179,0.13555,All
-0.82979,0.138107,-2.23559,0.0138107,-0.914565,0.138107,All
-0.825944,0.140665,-2.23473,0.0140665,-0.907274,0.140665,All
-0.783607,0.143223,-2.23116,0.0143223,-0.88695,0.143223,All
-0.779843,0.14578,-2.22464,0.014578,-0.884766,0.14578,All
-0.745416,0.148338,-2.22127,0.0148338,-0.880021,0.148338,All
-0.741053,0.150895,-2.21161,0.0150895,-0.876433,0.150895,All
-0.739132,0.153453,-2.20484,0.0153453,-0.852689,0.153453,All
-0.737143,0.15601,-2.20096,0.015601,-0.845159,0.15601,All
-0.724499,0.158568,-2.19678,0.0158568,-0.828708,0.158568,All
-0.719116,0.161125,-2.19492,0.0161125,-0.819855,0.161125,All
-0.712749,0.163683,-2.17256,0.0163683,-0.818507,0.163683,All
-0.709897,0.16624,-2.14044,0.016624,-0.769578,0.16624,All
-0.70585,0.168798,-2.13443,0.0168798,-0.766079,0.168798,All
-0.686107,0.171355,-2.1246,0.0171355,-0.764633,0.171355,All
-0.685329,0.173913,-2.11886,0.0173913,-0.758794,0.173913,All
-0.672908,0.176471,-2.1141,0.0176471,-0.754448,0.176471,All
-0.660266,0.179028,-2.11028,0.0179028,-0.744541,0.179028,All
-0.659051,0.181586,-2.10544,0.0181586,-0.742293,0.181586,All
-0.658564,0.184143,-2.10401,0.0184143,-0.725878,0.184143,All
-0.657329,0.186701,-2.09647,0.0186701,-0.724453,0.186701,All
-0.655048,0.189258,-2.08509,0.0189258,-0.717653,0.189258,All
-0.6308,0.191816,-2.08471,0.0191816,-0.713695,0.191816,All
-0.623229,0.194373,-2.07527,0.0194373,-0.703222,0.194373,All
-0.616558,0.196931,-2.07399,0.0196931,-0.687989,0.196931,All
-0.612176,0.199488,-2.07317,0.0199488,-0.685134,0.199488,All
-0.606933,0.202046,-2.06976,0.0202046,-0.682743,0.202046,All
-0.603883,0.204604,-2.05876,0.0204604,-0.679128,0.204604,All
-0.60273,0.207161,-2.05634,0.0207161,-0.670959,0.207161,All
-0.589342,0.209719,-2.05461,0.0209719,-0.669346,0.209719,All
-0.58751,0.212276,-2.04289,0.0212276,-0.66554,0.212276,All
-0.573474,0.214834,-2.03364,0.0214834,-0.657947,0.214834,All
-0.564278,0.217391,-2.03046,0.0217391,-0.657612,0.217391,All
-0.560631,0.219949,-2.02397,0.0219949,-0.636258,0.219949,All
-0.555825,0.222506,-2.01993,0.0222506,-0.635702,0.222506,All
-0.542737,0.225064,-2.01967,0.0225064,-0.61691,0.225064,All
-0.541966,0.227621,-2.01906,0.0227621,-0.613115,0.227621,All
-0.536707,0.230179,-2.01824,0.0230179,-0.609634,0.230179,All
-0.534994,0.232737,-2.01374,0.0232737,-0.609128,0.232737,All
-0.488341,0.235294,-2.00567,0.0235294,-0.600334,0.235294,All
-0.487131,0.237852,-2.00121,0.0237852,-0.589296,0.237852,All
-0.484831,0.240409,-1.99988,0.0240409,-0.578134,0.240409,All
-0.48369,0.242967,-1.99117,0.0242967,-0.576894,0.242967,All
-0.473965,0.245524,-1.9899,0.0245524,-0.575047,0.245524,All
-0.473277,0.248082,-1.98561,0.0248082,-0.573417,0.248082,All
-0.470245,0.250639,-1.98539,0.0250639,-0.57176,0.250639,All
-0.452489,0.253197,-1.98474,0.0253197,-0.564369,0.253197,All
-0.45196,0.255754,-1.98206,0.0255754,-0.561596,0.255754,All
-0.444863,0.258312,-1.98134,0.0258312,-0.551945,0.258312,All
-0.442165,0.26087,-1.97782,0.026087,-0.544622,0.26087,All
-0.440133,0.263427,-1.97627,0.0263427,-0.531415,0.263427,All
-0.433931,0.265985,-1.9707,0.0265985,-0.518335,0.265985,All
-0.430991,0.268542,-1.96877,0.0268542,-0.514423,0.268542,All
-0.429039,0.2711,-1.96782,0.02711,-0.502636,0.2711,All
-0.423041,0.273657,-1.96668,0.0273657,-0.496393,0.273657,All
-0.413219,0.276215,-1.96458,0.0276215,-0.496162,0.276215,All
-0.411653,0.278772,-1.95763,0.0278772,-0.49503,0.278772,All
-0.400269,0.28133,-1.95759,0.028133,-0.491338,0.28133,All
-0.390716,0.283887,-1.95196,0.0283887,-0.487772,0.283887,All
-0.388108,0.286445,-1.93259,0.0286445,-0.477123,0.286445,All
-0.383076,0.289003,-1.92096,0.0289003,-0.475079,0.289003,All
-0.382982,0.29156,-1.91798,0.029156,-0.47462,0.29156,All
-0.382466,0.294118,-1.91684,0.0294118,-0.458981,0.294118,All
-0.381432,0.296675,-1.90901,0.0296675,-0.451959,0.296675,All
-0.380532,0.299233,-1.90859,0.0299233,-0.445787,0.299233,All
-0.362758,0.30179,-1.90044,0.030179,-0.419415,0.30179,All
-0.361911,0.304348,-1.8946,0.0304348,-0.416082,0.304348,All
-0.358303,0.306905,-1.8805,0.0306905,-0.414556,0.306905,All
-0.350402,0.309463,-1.87219,0.0309463,-0.411987,0.309463,All
-0.33012,0.31202,-1.86989,0.031202,-0.411276,0.31202,All
-0.32996,0.314578,-1.86288,0.0314578,-0.399554,0.314578,All
-0.321517,0.317136,-1.8586,0.0317136,-0.386749,0.317136,All
-0.314855,0.319693,-1.85399,0.0319693,-0.384023,0.319693,All
-0.31416,0.322251,-1.85347,0.0322251,-0.379519,0.322251,All
-0.307788,0.324808,-1.8509,0.0324808,-0.37354,0.324808,All
-0.306662,0.327366,-1.84956,0.0327366,-0.363798,0.327366,All
-0.2993,0.329923,-1.83864,0.0329923,-0.35272,0.329923,All
-0.299243,0.332481,-1.83756,0.0332481,-0.347434,0.332481,All
-0.297177,0.335038,-1.8346,0.0335038,-0.346956,0.335038,All
-0.26636,0.337596,-1.83327,0.0337596,-0.341447,0.337596,All
-0.263379,0.340153,-1.83109,0.0340153,-0.334,0.340153,All
-0.26132,0.342711,-1.82838,0.0342711,-0.330144,0.342711,All
-0.258152,0.345269,-1.82809,0.0345269,-0.324453,0.345269,All
-0.233598,0.347826,-1.82532,0.0347826,-0.321107,0.347826,All
-0.226099,0.350384,-1.82499,0.0350384,-0.315407,0.350384,All
-0.22115,0.352941,-1.82216,0.0352941,-0.310205,0.352941,All
-0.218827,0.355499,-1.81979,0.0355499,-0.306495,0.355499,All
-0.214485,0.358056,-1.81948,0.0358056,-0.298652,0.358056,All
-0.214444,0.360614,-1.81689,0.0360614,-0.274009,0.360614,All
-0.200704,0.363171,-1.81435,0.0363171,-0.259863,0.363171,All
-0.199691,0.365729,-1.80973,0.0365729,-0.253473,0.365729,All
-0.193604,0.368286,-1.80748,0.0368286,-0.253303,0.368286,All
-0.191506,0.370844,-1.806,0.0370844,-0.244094,0.370844,All
-0.182632,0.373402,-1.80339,0.0373402,-0.239142,0.373402,All
-0.172176,0.375959,-1.79738,0.0375959,-0.233291,0.375959,All
-0.160328,0.378517,-1.79644,0.0378517,-0.227839,0.378517,All
-0.158169,0.381074,-1.77971,0.0381074,-0.22524,0.381074,All
-0.157278,0.383632,-1.77859,0.0383632,-0.215482,0.383632,All
-0.154657,0.386189,-1.77345,0.0386189,-0.208047,0.386189,All
-0.153236,0.388747,-1.771,0.0388747,-0.192491,0.388747,All
-0.14757,0.391304,-1.76423,0.0391304,-0.185778,0.391304,All
-0.135225,0.393862,-1.75945,0.0393862,-0.183248,0.393862,All
-0.135124,0.396419,-1.75802,0.0396419,-0.178936,0.396419,All
-0.122334,0.398977,-1.75012,0.0398977,-0.172626,0.398977,All
-0.117672,0.401535,-1.74765,0.0401535,-0.170488,0.401535,All
-0.115374,0.404092,-1.74695,0.0404092,-0.17016,0.404092,All
-0.114997,0.40665,-1.74562,0.040665,-0.167702,0.40665,All
-0.114327,0.409207,-1.73731,0.0409207,-0.162124,0.409207,All
-0.109819,0.411765,-1.73717,0.0411765,-0.154715,0.411765,All
-0.0986032,0.414322,-1.73261,0.0414322,-0.14169,0.414322,All
-0.0929281,0.41688,-1.73146,0.041688,-0.139191,0.41688,All
-0.0911989,0.419437,-1.73014,0.0419437,-0.133728,0.419437,All
-0.0905538,0.421995,-1.72422,0.0421995,-0.130242,0.421995,All
-0.0888504,0.424552,-1.72118,0.0424552,-0.11947,0.424552,All
-0.0870173,0.42711,-1.71871,0.042711,-0.104301,0.42711,All
-0.0847751,0.429668,-1.71838,0.0429668,-0.103151,0.429668,All
-0.0791003,0.432225,-1.71654,0.0432225,-0.101061,0.432225,All
-0.0718605,0.434783,-1.71006,0.0434783,-0.0982581,0.434783,All
-0.0700682,0.43734,-1.70639,0.043734,-0.0980733,0.43734,All
-0.0689878,0.439898,-1.70621,0.0439898,-0.0963227,0.439898,All
-0.0626004,0.442455,-1.69609,0.0442455,-0.0855479,0.442455,All
-0.0600592,0.445013,-1.69131,0.0445013,-0.0699685,0.445013,All
-0.051678,0.44757,-1.67517,0.044757,-0.0682156,0.44757,All
-0.0466893,0.450128,-1.67505,0.0450128,-0.0529445,0.450128,All
-0.0292374,0.452685,-1.6724,0.0452685,-0.0469946,0.452685,All
-0.0240946,0.455243,-1.67239,0.0455243,-0.0468782,0.455243,All
-0.0160604,0.457801,-1.67148,0.0457801,-0.0401522,0.457801,All
-0.0142896,0.460358,-1.67057,0.0460358,-0.0312246,0.460358,All
-0.003447,0.462916,-1.66931,0.0462916,-0.022144,0.462916,All
-0.00206925,0.465473,-1.66798,0.0465473,-0.0216899,0.465473,All
