pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-2.21566,0.0116175,-3.84509,0.00206424,-1.75433,0.0794315,All
-1.98451,0.023235,-3.71923,0,-1.55148,0.0397157,All
-1.75336,0.0580876,-3.59336,0,-1.34863,0.158863,All
-1.52221,0.0348526,-3.4675,0.00206424,-1.14579,0.18534,All
-1.29105,0.13941,-3.34163,0.00412849,-0.942938,0.344203,All
-1.0599,0.220733,-3.21577,0.00619273,-0.740089,0.317726,All
-0.828747,0.243968,-3.08991,0.00206424,-0.537241,0.423634,All
-0.597595,0.371761,-2.96404,0.00825697,-0.334393,0.397157,All
-0.366442,0.464701,-2.83818,0.00619273,-0.131545,0.436873,All
-0.135289,0.499554,-2.71231,0.00619273,0.0713037,0.410396,All
0.0958634,0.476318,-2.58645,0.0165139,0.274152,0.450112,All
0.327016,0.313673,-2.46059,0.0123855,0.477,0.410396,All
0.558169,0.534406,-2.33472,0.0350921,0.679848,0.423634,All
0.789322,0.522789,-2.20886,0.0309637,0.882697,0.37068,All
1.02047,0.290438,-2.08299,0.0454134,1.08554,0.225056,All
1.25163,0.13941,-1.95713,0.06812,1.28839,0.172101,All
1.48278,0.104558,-1.83127,0.06812,1.49124,0.158863,All
1.71393,0.0580876,-1.7054,0.0805055,1.69409,0.0529543,All
1.94509,0.0116175,-1.57954,0.0990837,1.89694,0.0794315,All
2.17624,0.023235,-1.45367,0.134176,2.09979,0.0397157,All
,,-1.32781,0.169268,,,All
,,-1.20195,0.173396,,,All
,,-1.07608,0.220874,,,All
,,-0.950218,0.253902,,,All
,,-0.824353,0.247709,,,All
,,-0.698489,0.264223,,,All
,,-0.572625,0.276609,,,All
,,-0.446761,0.342664,,,All
,,-0.320897,0.35505,,,All
,,-0.195033,0.402527,,,All
,,-0.0691691,0.377757,,,All
,,0.0566949,0.427298,,,All
,,0.182559,0.416977,,,All
,,0.308423,0.445877,,,All
,,0.434287,0.435555,,,All
,,0.560151,0.396335,,,All
,,0.686015,0.3695,,,All
,,0.811879,0.357114,,,All
,,0.937743,0.295187,,,All
,,1.06361,0.251838,,,All
,,1.18947,0.231195,,,All
,,1.31534,0.152754,,,All
,,1.4412,0.111469,,,All
,,1.56706,0.0970194,,,All
,,1.69293,0.0825697,,,All
,,1.81879,0.0619273,,,All
,,1.94466,0.0433491,,,All
,,2.07052,0.0371564,,,All
,,2.19638,0.0392206,,,All
,,2.32225,0.0309637,,,All
,,2.44811,0.0144497,,,All
,,2.57398,0.0165139,,,All
,,2.69984,0.0185782,,,All
,,2.8257,0.00206424,,,All
,,2.95157,0.00206424,,,All
,,3.07743,0.00206424,,,All
,,3.2033,0,,,All
,,3.32916,0,,,All
,,3.45502,0,,,All
,,3.58089,0,,,All
,,3.70675,0,,,All
,,3.83262,0,,,All
,,3.95848,0.0206424,,,All
