standEta_beta_exp_abscissa,standEta_beta_exp_cdf,standEta_delta0_abscissa,standEta_delta0_cdf,standEta_p_abscissa,standEta_p_cdf,standEta_td_abscissa,standEta_td_cdf,standEta_b_exp_abscissa,standEta_b_exp_cdf,standEta_h_0_abscissa,standEta_h_0_cdf,standEta_tc_abscissa,standEta_tc_cdf,standEta_sigma_abscissa,standEta_sigma_cdf,standEta_rho_exp_abscissa,standEta_rho_exp_cdf,standEta_alpha_exp_abscissa,standEta_alpha_exp_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,All
-2.33042,0.00833333,-1.5942,0.00833333,-2.88354,0.00833333,-2.17934,0.00833333,-2.15586,0.00833333,-1.68684,0.00833333,-2.12593,0.00833333,-2.08146,0.00833333,-1.6817,0.00833333,-2.34287,0.00833333,All
-2.29209,0.0166667,-1.48047,0.0166667,-2.82018,0.0166667,-1.8503,0.0166667,-1.9972,0.0166667,-1.66968,0.0166667,-1.80516,0.0166667,-2.05308,0.0166667,-1.49317,0.0166667,-2.19788,0.0166667,All
-2.24803,0.025,-1.47346,0.025,-2.77499,0.025,-1.81241,0.025,-1.73847,0.025,-1.61127,0.025,-1.72286,0.025,-2.0477,0.025,-1.46949,0.025,-2.195,0.025,All
-2.11305,0.0333333,-1.41524,0.0333333,-2.73953,0.0333333,-1.72162,0.0333333,-1.72596,0.0333333,-1.48669,0.0333333,-1.69612,0.0333333,-1.97069,0.0333333,-1.44398,0.0333333,-2.05943,0.0333333,All
-2.06839,0.0416667,-1.3464,0.0416667,-2.49999,0.0416667,-1.68789,0.0416667,-1.71124,0.0416667,-1.45794,0.0416667,-1.65505,0.0416667,-1.91892,0.0416667,-1.38856,0.0416667,-1.81445,0.0416667,All
-2.04081,0.05,-1.34086,0.05,-2.33146,0.05,-1.67647,0.05,-1.69852,0.05,-1.4565,0.05,-1.64844,0.05,-1.78807,0.05,-1.33791,0.05,-1.61494,0.05,All
-1.92615,0.0583333,-1.27289,0.0583333,-2.26954,0.0583333,-1.6645,0.0583333,-1.62258,0.0583333,-1.42241,0.0583333,-1.60013,0.0583333,-1.64901,0.0583333,-1.31861,0.0583333,-1.44439,0.0583333,All
-1.92543,0.0666667,-1.2199,0.0666667,-2.18444,0.0666667,-1.64039,0.0666667,-1.60988,0.0666667,-1.32762,0.0666667,-1.59143,0.0666667,-1.4986,0.0666667,-1.2979,0.0666667,-1.33946,0.0666667,All
-1.81035,0.075,-1.17341,0.075,-1.91732,0.075,-1.63056,0.075,-1.60131,0.075,-1.3194,0.075,-1.51509,0.075,-1.40404,0.075,-1.25409,0.075,-1.333,0.075,All
