standEta_beta_exp_abscissa,standEta_beta_exp_pdf,standEta_delta0_abscissa,standEta_delta0_pdf,standEta_p_abscissa,standEta_p_pdf,standEta_td_abscissa,standEta_td_pdf,standEta_b_exp_abscissa,standEta_b_exp_pdf,standEta_h_0_abscissa,standEta_h_0_pdf,standEta_tc_abscissa,standEta_tc_pdf,standEta_sigma_abscissa,standEta_sigma_pdf,standEta_rho_exp_abscissa,standEta_rho_exp_pdf,standEta_alpha_exp_abscissa,standEta_alpha_exp_pdf,split
-2.11635,0.16987,-1.42354,0.186441,-2.67766,0.110392,-1.99735,0.0499539,-1.99299,0.0558151,-1.51953,0.190173,-1.94061,0.0490557,-1.87036,0.129196,-1.49351,0.169072,-2.10845,0.0775584,All
-1.68821,0.191104,-1.08222,0.452786,-2.26591,0.0662354,-1.63338,0.224792,-1.66724,0.306983,-1.18491,0.298843,-1.56998,0.220751,-1.44817,0.129196,-1.11712,0.338144,-1.63959,0.0581688,All
-1.26008,0.127403,-0.740896,0.559324,-1.85415,0.0220785,-1.26941,0.249769,-1.34148,0.306983,-0.850283,0.570519,-1.19934,0.147167,-1.02598,0.193794,-0.740738,0.483063,-1.17074,0.310234,All
-0.831947,0.212338,-0.399575,0.47942,-1.4424,0.110392,-0.905433,0.0249769,-1.01573,0.195353,-0.51566,0.543352,-0.828703,0.245279,-0.603792,0.344523,-0.364352,0.531369,-0.701882,0.465351,All
-0.403813,0.297273,-0.0582532,0.266345,-1.03064,0.154549,-0.541461,0.374654,-0.689983,0.22326,-0.181037,0.163006,-0.458067,0.564141,-0.181601,0.473719,0.0120336,0.120766,-0.233027,0.387792,All
0.0243214,0.424676,0.283068,0.23971,-0.61889,0.264942,-0.177489,0.349677,-0.364232,0.251168,0.153587,0.244508,-0.087431,0.588669,0.24059,0.55985,0.38842,0.217378,0.235828,0.407182,All
0.452455,0.360975,0.62439,0.186441,-0.207136,0.375334,0.186483,0.674377,-0.0384815,0.167445,0.48821,0.10867,0.283205,0.34339,0.662781,0.23686,0.764806,0.193225,0.704682,0.232675,All
0.880589,0.44591,0.965711,0.346248,0.204619,0.485726,0.550455,0.274746,0.287269,0.22326,0.822834,0.380346,0.653841,0.196223,1.08497,0.279925,1.14119,0.434757,1.17354,0.232675,All
1.30872,0.16987,1.30703,0.186441,0.616373,0.441569,0.914428,0.524516,0.61302,0.586059,1.15746,0.434681,1.02448,0.147167,1.50716,0.107664,1.51758,0.313991,1.64239,0.0387792,All
1.73686,0.0637014,1.64835,0.213076,1.02813,0.441569,1.2784,0,0.938771,0.669781,1.49208,0.163006,1.39511,0.147167,1.92935,0.0861308,1.89396,0.0483063,2.11125,0.096948,All
2.16499,0.0849352,1.98967,0.0799034,1.43988,0.176628,1.64237,0.249769,1.26452,0.362798,1.8267,0.163006,1.76575,0.294334,2.35154,0.0430654,2.27035,0.0483063,2.5801,0.0193896,All
