rep,ID,standEta_beta_exp_simulated,standEta_delta0_simulated,standEta_p_simulated,standEta_td_simulated,standEta_b_exp_simulated,standEta_h_0_simulated,standEta_tc_simulated,standEta_sigma_simulated,standEta_rho_exp_simulated,standEta_alpha_exp_simulated,filter
1,7,2.08454,1.40076,-0.714149,-1.13428,-2.15586,1.99402,1.68567,0.556148,2.45854,-1.44439,0
2,7,0.498211,1.02702,-0.817478,-0.477869,-1.41322,1.66884,0.520951,0.113789,1.45173,-0.721772,0
3,7,0.443062,1.1264,-0.737769,-1.1988,-1.39156,1.57875,0.686359,0.26994,1.63785,0.46167,0
4,7,0.820458,1.01212,-1.17523,-1.15137,-1.50065,1.74757,0.413181,-0.256834,1.55832,-0.737094,0
5,7,0.924226,1.39403,-0.780113,-0.642292,-1.60988,1.79091,0.35075,0.148477,2.23327,-0.18905,0
6,7,2.37906,1.7597,-1.08111,-1.81241,-1.9972,1.93677,0.653537,-0.396594,2.00212,-0.957997,0
7,7,0.448607,0.989559,-0.329058,-1.26937,-1.72596,1.81207,0.432315,-0.0333703,1.60653,2.07999,0
8,7,1.04702,1.60956,-0.666952,0.305837,-1.33069,1.41592,0.939569,0.833837,1.80483,-0.51523,0
9,7,0.810588,0.356325,-1.47193,-0.651587,-1.26722,1.51658,0.0780319,-0.442312,1.52914,-1.04015,0
10,7,0.269691,0.768235,-0.584807,-0.284263,-1.30948,1.47655,0.418302,0.123181,1.4865,-0.0403853,0
1,8,-0.834079,-1.16474,0.724135,0.842645,0.779765,-0.784834,-1.06468,-0.872811,-1.38856,0.386676,0
2,8,-0.596049,-0.911062,0.633332,0.719688,1.27861,-1.48669,-0.188672,0.10586,-1.25409,-0.234073,0
3,8,0.429148,-0.292145,0.310106,0.974852,1.05728,-1.25755,0.141299,0.0921415,-1.44398,-0.402181,0
4,8,-0.951737,-1.05226,0.596776,0.84511,0.865398,-0.732606,-0.617323,-0.603918,-1.01066,-0.186366,0
5,8,-0.516203,-1.05139,0.439706,0.875988,1.07645,-1.32762,-0.352716,-0.146695,-1.46949,-0.75133,0
6,8,-1.03418,-1.47346,0.1283,0.820499,1.04426,-1.01991,-0.55535,-0.214334,-0.987052,-0.256462,0
7,8,-0.653765,-0.556129,0.4197,0.718209,0.735291,-0.63598,-0.178153,-0.403675,-0.802593,-0.641156,0
8,8,0.448248,-0.510273,0.395352,0.930845,0.904991,-1.21698,0.0236234,0.0213812,-1.23161,-1.24305,0
9,8,0.0921013,-0.903256,-0.0426321,0.930764,0.777843,-0.635185,-1.51509,-1.11855,-1.6817,-2.195,0
10,8,-0.345138,-0.255113,0.713835,0.767685,1.06601,-1.3172,0.099591,-0.0445248,-1.22405,0.694621,0
1,9,0.243415,-0.953657,-0.100377,0.0876174,0.712929,-0.995324,-1.59143,-1.40404,-1.31861,0.03358,0
2,9,0.884697,1.01159,-0.269477,-0.864705,-0.912076,0.95918,0.302169,-0.415122,0.727795,-2.05943,0
3,9,-0.66189,-1.27289,0.250752,0.00869843,0.631753,-0.954519,-1.36203,-0.716883,-0.70091,1.30613,0
4,9,-0.375557,0.423993,1.01222,-0.234673,0.239156,-0.693189,0.108753,0.410425,-0.491535,0.83579,0
5,9,0.894972,0.0186381,0.162207,-0.333486,-0.288106,0.0249373,-0.204605,-0.743141,-0.204567,-0.581493,0
6,9,-0.000721578,-0.552773,0.0811144,0.0808187,0.794633,-1.13433,-0.76804,-0.488782,-0.953783,-0.998535,0
7,9,0.55895,0.876738,0.423167,-0.535542,-0.907406,0.894105,0.51963,-0.15735,0.491109,-0.575949,0
8,9,-0.831014,-1.16715,0.477091,-0.0516172,0.58577,-0.881908,-0.814452,-0.329278,-0.923111,0.457579,0
9,9,0.0772471,-0.319802,0.0806932,0.0465217,0.539525,-0.747273,-0.119987,-0.141185,-0.417649,0.840878,0
10,9,0.730189,0.568541,-0.51847,-0.00522114,0.000487388,0.0664733,-0.0137951,-0.385425,0.378332,-0.278393,0
1,10,0.692137,0.118392,0.326054,-0.638202,0.051088,0.0949264,0.0159488,-0.592123,-0.254538,-0.791612,0
2,10,0.360636,0.601292,1.1906,-0.353455,0.648409,-0.877766,0.719564,0.920541,-1.2979,-1.08489,0
3,10,-0.316171,0.765933,0.843253,-0.689518,0.106818,0.0255454,0.439552,0.672387,0.291397,-0.883243,0
4,10,0.478966,0.276038,1.17502,-0.305006,0.487398,-0.628487,0.336787,0.153876,-0.675265,0.523613,0
5,10,0.0338748,0.828798,0.908935,-0.437694,0.494524,-0.499493,0.509146,0.565137,-0.165157,-0.643066,0
6,10,-0.237175,0.0781772,0.83217,-0.458896,0.388474,-0.381517,0.527295,0.0971692,-0.500984,0.515093,0
7,10,-0.164065,0.27388,1.20316,-0.400584,0.355341,-0.323123,0.637081,0.415256,-0.540893,0.0869333,0
8,10,-0.00883946,0.194095,1.43347,-0.358248,0.542971,-0.642449,1.08438,0.565713,-1.25362,0.347282,0
9,10,-0.67538,0.353726,1.47065,-0.365839,0.638188,-0.615969,0.891128,1.06018,-0.697168,0.732186,0
10,10,0.756776,0.488285,0.998882,-0.338818,0.39109,-0.397926,0.334791,0.564424,-0.53636,0.366821,0
1,11,-1.81035,-0.677217,0.598942,-0.30308,0.823772,-0.642533,-0.0481148,1.01482,0.295022,-0.0642431,0
2,11,-2.06839,-0.824529,1.01469,0.0443847,0.926265,-0.604416,-0.388526,0.0962801,-0.489838,1.22842,0
3,11,-1.17447,-0.685653,1.12517,-0.0823748,1.11367,-1.61127,0.00100403,1.12344,-1.16465,0.0707752,0
4,11,-2.29209,-1.5942,1.62274,0.00574205,0.898483,-0.790354,-0.554463,0.44608,-0.572012,1.39576,0
5,11,-1.61779,-0.969429,0.185471,0.0242466,1.09588,-0.907509,-0.0648175,1.03589,0.00426531,0.0238038,0
6,11,-2.33042,-0.999093,1.50499,0.0902616,1.42263,-1.68684,-0.03812,1.25787,-0.547499,1.18643,0
7,11,-0.978324,-0.574756,0.874731,0.119059,1.15946,-1.45794,0.0412688,1.20115,-0.418608,-0.703366,0
8,11,-1.55615,-1.09718,0.835753,0.112923,1.114,-1.15289,-0.397831,0.186734,-1.33791,0.200286,0
9,11,-1.92615,-1.3464,1.18916,-0.0863859,0.937186,-0.787894,-0.750974,0.160215,-0.628456,0.864506,0
10,11,-1.34406,-0.989774,0.837971,0.169866,1.23855,-1.4565,-0.304119,0.514515,-1.0398,0.158184,0
1,12,1.10937,-1.0256,-2.82018,1.79849,0.745093,-0.671543,-1.80516,-1.12166,-0.505187,0.049465,0
2,12,0.602871,-0.929595,-2.26954,1.75019,0.822842,-0.718331,-1.24101,-1.17152,-0.793779,1.73367,0
3,12,0.473851,-1.17341,-1.91732,1.78059,0.878709,-0.973082,-1.18079,-0.567562,-0.713537,1.8407,0
4,12,0.750514,-1.06711,-2.88354,1.77236,1.02162,-1.05317,-1.65505,-1.22002,-0.91118,1.99626,0
5,12,0.933202,-1.03622,-2.77499,1.82436,0.813576,-0.668038,-1.64844,-0.775569,-0.267119,-0.533829,0
6,12,0.678892,-0.883306,-2.73953,1.62847,0.830511,-0.691557,-0.854814,-0.945937,-0.47447,1.88043,0
7,12,0.329511,-0.695174,-2.18444,1.80156,0.721882,-0.363865,-1.60013,-1.2977,-0.681369,1.39553,0
8,12,0.738054,-1.08224,-2.49999,1.7166,0.862633,-0.64518,-1.42414,-0.878223,-0.742584,1.30871,0
9,12,0.033305,-0.850977,-1.60716,1.75661,0.68539,-0.637084,-0.797206,-0.753537,-0.331275,2.81453,0
10,12,-0.0300163,-0.741463,-2.33146,1.72643,0.702307,-0.247074,-1.69612,-1.29823,-0.420314,0.754088,0
1,13,1.47892,1.4596,0.515515,-1.59103,-1.62258,1.20881,1.41109,0.12655,1.07838,1.38177,0
2,13,2.13882,2.02303,-0.0523345,-1.67647,-1.4676,1.07481,1.75005,0.391589,1.36597,0.37991,0
3,13,1.78009,2.11346,0.246007,-1.72162,-1.52523,1.18915,1.74182,0.323325,1.28114,1.26858,0
4,13,1.3337,1.71423,0.773231,-2.17934,-1.60131,1.1691,1.60988,0.191614,1.16483,0.612832,0
5,13,2.18447,2.16034,0.294418,-1.34718,-1.73847,1.3155,1.6982,0.525993,1.41487,-0.367673,0
6,13,1.18039,1.73479,1.34569,-1.26204,-1.71124,1.20728,1.38069,0.573078,1.06494,1.92652,0
7,13,1.67361,1.47882,0.325828,-1.8503,-1.53933,1.10072,1.77888,0.15903,0.959754,0.401618,0
8,13,1.42271,0.972012,-0.11086,-1.68789,-1.14901,0.779371,1.18689,0.202803,0.974301,0.672788,0
9,13,0.966033,1.60329,0.794171,-1.64039,-1.58003,1.2318,1.13898,0.149239,1.26942,1.1289,0
10,13,1.73626,1.57445,0.150865,-1.6645,-1.69852,1.35998,1.12664,0.043686,1.14573,1.26142,0
1,14,0.974235,-0.435653,-0.308495,0.0571481,0.621134,-0.767822,-1.12406,-1.28077,-1.25003,-1.20909,0
2,14,-0.261083,-0.490735,0.688114,0.191994,0.852665,-0.881743,-0.477755,-0.235085,-0.728221,-0.0570297,0
3,14,-0.0151767,-0.541234,0.0830371,0.0121562,0.6229,-0.584998,-0.529073,-0.300683,-0.446365,-0.462282,0
4,14,-0.410661,-0.0470125,1.19498,-0.265476,-0.198005,0.409995,-0.33323,-0.0199119,0.318523,0.72789,0
5,14,-0.106561,-0.318275,-0.102366,-0.369099,0.251623,0.176182,-0.764992,-0.793509,-0.237727,-0.86114,0
6,14,-0.271968,-0.361876,0.605454,0.0297729,0.592583,-0.400859,-0.418451,-0.184906,-0.554287,0.105261,0
7,14,-0.19943,-0.285932,0.599861,0.061501,0.467997,-0.217794,-0.585318,-0.502827,-0.644225,-1.33946,0
8,14,-0.169523,-0.192816,0.283507,0.102572,0.430977,-0.168955,-0.516679,-0.552909,-0.354574,1.21964,0
9,14,0.290821,-0.0893257,0.432139,0.214827,0.689077,-0.577566,-0.194366,-0.237235,-0.784205,-0.0483164,0
10,14,-0.0934973,-0.21536,0.98127,0.216696,0.750982,-0.919864,-0.395767,-0.407752,-1.09496,-0.561518,0
1,15,0.0243763,1.14734,-0.0347285,0.652668,-0.581105,0.917216,1.32229,1.36758,0.770752,0.0172587,0
2,15,-1.63273,0.84534,1.12653,0.552788,-0.341623,0.564666,1.95107,2.56264,0.94638,2.1408,0
3,15,0.465464,1.30469,-0.0414691,0.852403,-0.256163,0.416036,1.68447,1.62857,0.65812,-0.477717,0
4,15,-0.166105,1.3477,-0.191973,0.0555764,-0.722349,1.0266,1.44545,1.80302,1.38056,0.0343453,0
5,15,-0.206085,1.31302,-0.0361226,0.878238,0.0644796,0.0459646,1.68813,2.07241,0.542091,-1.08747,0
6,15,0.675461,1.05605,-0.429927,0.530099,-0.629142,0.914871,1.29457,1.59399,0.864582,-0.820439,0
7,15,-1.07625,1.10948,1.32814,0.899786,0.137332,-0.21617,1.88619,2.43721,0.639711,1.08831,0
8,15,0.229054,0.997094,-0.895912,0.487521,-0.408945,0.772375,1.2697,1.62428,1.36946,-1.333,0
9,15,-0.152926,1.6697,0.197837,0.0468063,-0.612547,0.809054,1.92405,1.91111,1.255,0.00550881,0
10,15,-0.194763,0.989731,0.239722,0.557533,-0.186835,0.209078,1.60061,1.94031,1.1676,-0.316631,0
1,16,1.28769,-0.226187,-1.07837,-1.37083,-1.41453,1.31305,-0.818759,-1.4986,1.61762,0.261874,0
2,16,0.762917,-0.730656,-1.43687,-0.456013,-0.834731,0.931985,-1.38344,-1.78807,0.935833,-1.81445,0
3,16,0.561669,-0.83749,-0.3232,-0.69274,-1.28974,1.10814,-0.438596,-1.97069,-0.00308695,0.449713,0
4,16,1.32218,0.74974,-0.628574,-1.56638,-1.45515,1.24404,0.377038,-0.904904,1.65344,-0.707525,0
5,16,0.720239,-1.2199,-1.29647,0.150842,-0.254412,0.177208,-2.12593,-2.0477,-0.184479,-1.1476,0
6,16,1.1487,0.0735914,-0.899973,-1.35751,-1.50941,1.4283,-0.453374,-1.11411,1.63249,-0.500515,0
7,16,0.730027,-0.476424,-0.952579,-1.63056,-1.0646,0.927886,-0.973242,-1.91892,1.06817,-1.26107,0
8,16,0.0583457,-0.755412,-0.617925,-1.36137,-0.956435,0.967634,-1.42246,-2.05308,0.655933,-1.07914,0
9,16,0.947837,-0.383349,-0.956961,-1.4232,-1.27218,1.20514,-0.312383,-1.64901,0.962298,-0.234504,0
10,16,0.895286,-1.41524,-1.5383,0.149796,-0.330205,0.247915,-1.72286,-2.08146,-0.148688,-0.219776,0
1,17,-0.760305,-0.887596,0.00342961,0.374454,-0.339903,0.634072,-0.470254,-0.361551,0.356043,-0.0286844,0
2,17,-0.229761,0.751462,-0.401296,-0.399037,-0.896026,1.10731,0.154589,-0.314777,1.17134,-1.14589,0
3,17,0.10868,-0.082354,-0.672565,0.0713115,-0.785892,1.03708,0.0199058,0.181494,1.01787,-0.850431,0
4,17,-1.66736,-0.358844,0.513704,0.88627,0.338704,-0.127937,0.0554963,0.939651,0.381536,-2.34287,0
5,17,-1.0039,-0.345028,0.190318,0.327032,-0.548938,0.702173,-0.36667,-0.18608,0.965196,-0.686097,0
6,17,-1.42245,-0.815284,-0.408075,0.345212,-0.286711,0.879938,-0.938986,-0.260884,1.06224,-1.04276,0
7,17,0.551992,0.293053,-0.586035,-0.122281,-1.05512,1.12055,0.193082,0.0228176,1.26458,-2.19788,0
