ID,standEta_beta_exp_mean,standEta_beta_exp_mode,standEta_delta0_mean,standEta_delta0_mode,standEta_p_mean,standEta_p_mode,standEta_td_mean,standEta_td_mode,standEta_b_exp_mean,standEta_b_exp_mode,standEta_h_0_mean,standEta_h_0_mode,standEta_tc_mean,standEta_tc_mode,standEta_sigma_mean,standEta_sigma_mode,standEta_rho_exp_mean,standEta_rho_exp_mode,standEta_alpha_exp_mean,standEta_alpha_exp_mode,filter
7,1.05426,0.99953,1.14242,1.20242,-0.832149,-0.806731,-0.998912,-0.998596,-1.63169,-1.64242,1.73699,1.73639,0.445498,0.394149,-0.0245223,0.0402302,1.85374,1.80176,-0.150408,0.204738,0
8,-0.360528,-0.63585,-0.896149,-0.966119,0.417787,0.688686,0.809115,0.92526,0.953602,0.958948,-1.08609,-1.11195,-0.449883,-0.409331,-0.350925,-0.225074,-1.30194,-1.27411,-0.364066,-0.481141,0
9,0.258812,0.0630571,-0.207167,-0.205445,-0.0694027,0.0362314,-0.146726,-0.128058,0.165527,0.167413,-0.322543,-0.320732,-0.408073,-0.380928,-0.453,-0.506176,-0.310297,-0.338349,-0.199397,-0.672025,0
10,0.0610837,-0.0245341,0.42198,0.41358,1.00269,1.05063,-0.428347,-0.394287,0.461463,0.459566,-0.465362,-0.445528,0.534626,0.52492,0.419217,0.411365,-0.604982,-0.55516,-0.00109977,-0.0600813,0
11,-1.45593,-1.37667,-0.883637,-0.943739,0.817259,0.833633,-0.00305047,0.0414787,1.01732,1.0349,-1.05788,-1.13793,-0.199771,-0.176272,0.674541,0.638462,-0.747535,-0.696069,0.236029,0.222994,0
12,0.390944,0.390555,-0.954352,-0.93072,-2.22615,-2.13684,1.73209,1.77584,0.81743,0.815141,-0.712043,-0.689913,-1.33031,-1.34845,-0.939278,-0.95508,-0.59308,-0.659492,1.4447,1.41748,0
13,1.67942,1.66998,1.77023,1.77467,0.517376,0.51058,-1.89285,-1.87582,-1.70491,-1.69319,1.2864,1.27807,1.56444,1.42817,0.28274,0.223032,1.1684,1.13959,0.616503,0.588614,0
14,0.114443,0.0628394,-0.248528,-0.25635,0.324518,0.267959,0.0141293,0.0680159,0.448684,0.459524,-0.301275,-0.274506,-0.524938,-0.517041,-0.431898,-0.500448,-0.565396,-0.503303,-0.0110019,-0.108227,0
15,-0.24598,-0.165942,1.24341,1.23661,0.363039,0.304744,0.534056,0.655651,-0.376729,-0.395055,0.529748,0.571288,1.71369,1.65135,1.92237,1.95386,0.858496,0.907773,0.0885792,0.157025,0
16,0.653325,0.663356,-0.471287,-0.483985,-0.842383,-0.965828,-0.95764,-0.957711,-1.03779,-0.998159,0.97642,0.96429,-0.895541,-0.882243,-1.72003,-1.90695,0.839365,0.907479,-0.382875,-0.816211,0
17,-0.736483,-0.5699,-0.400731,-0.399209,-0.188794,-0.361788,0.322216,0.244391,-0.277053,-0.501299,0.505648,0.757678,-0.260392,-0.250177,-0.0572117,-0.42106,0.536383,0.528458,-0.750769,-0.606839,0
18,-1.47339,-1.44256,-0.750901,-0.733087,0.721251,0.712564,0.871329,0.904055,1.07485,1.07171,-1.02241,-1.05675,-0.286105,-0.289471,0.814814,0.81345,-0.793174,-0.796632,-0.471485,-0.560307,0
