simulations,OFV
100,2277.97
200,2262.81
300,2244.61
400,2230.22
500,2226.3
600,2227.94
700,2228.38
800,2228.24
900,2225.38
1000,2225.02
1100,2225.49
1200,2222.92
1300,2223.66
1400,2224.42
1500,2224.23
1600,2219.96
1700,2220.27
1800,2219.23
1900,2219.61
2000,2211.57
2100,2212.13
2200,2208.56
2300,2209.23
2400,2208.88
2500,2209.34
2600,2209.37
2700,2209.99
2800,2210.32
2900,2210.7
3000,2211.25
3100,2211.61
3200,2210.81
3300,2211.18
3400,2209.63
3500,2209.56
3600,2209.79
3700,2209.58
3800,2209.94
3900,2210.08
4000,2210.43
4100,2210.19
4200,2210.54
4300,2210.8
4400,2211.1
4500,2211.41
4600,2210.29
4700,2208
4800,2208.21
4900,2208.34
5000,2208.61
5100,2208.42
5200,2208.77
5300,2209.03
5400,2204.01
5500,2204.2
5600,2203.88
5700,2203.84
5800,2204.2
5900,2204.17
6000,2204.02
6100,2201.32
6200,2201.37
6300,2199.53
6400,2199.69
6500,2199.74
6600,2199.58
6700,2199.65
6800,2199.83
6900,2200.11
7000,2200.21
7100,2200.16
7200,2200.32
7300,2200.21
7400,2200.49
7500,2200.25
7600,2200.31
7700,2200.54
7800,2200.52
7900,2200.56
8000,2200.63
8100,2200.7
8200,2200.91
8300,2201.01
8400,2201.05
8500,2201.26
8600,2201.4
8700,2201.55
8800,2201.73
8900,2201.8
9000,2201.85
9100,2201.55
9200,2201.61
9300,2201.78
9400,2201.97
9500,2202.04
9600,2202.14
9700,2202.15
9800,2202.2
9900,2202.38
10000,2201.83
