iteration,E_beta_exp,sd_beta_exp,E_delta0,sd_delta0,E_p,sd_p,E_td,sd_td,E_b_exp,sd_b_exp,E_h_0,sd_h_0,E_tc,sd_tc,E_sigma,sd_sigma,E_rho_exp,sd_rho_exp,E_alpha_exp,sd_alpha_exp
1,-3.56091,0.283855,1.68401,0.492319,2.75369,0.251556,1.88378,0.200018,-2.57305,0.600073,0.657583,0.132248,5.7688,0.75806,0.492772,0.289681,-2.13436,0.425197,-3.70051,0.308906
2,-3.55885,0.248191,1.70921,0.434995,2.75799,0.22058,1.88898,0.174983,-2.57462,0.52433,0.6574,0.11571,5.79622,0.696589,0.498119,0.258752,-2.1343,0.368439,-3.68724,0.272857
3,-3.55405,0.236125,1.73517,0.406402,2.75873,0.212063,1.88864,0.169994,-2.57661,0.492745,0.657613,0.109738,5.84401,0.669794,0.500292,0.245427,-2.13734,0.35472,-3.6863,0.256577
4,-3.54929,0.230944,1.76284,0.385795,2.75785,0.212293,1.88779,0.164944,-2.57757,0.476069,0.657295,0.107025,5.86057,0.630608,0.501128,0.237441,-2.13824,0.35463,-3.69196,0.255887
5,-3.54724,0.233335,1.76783,0.373515,2.75419,0.214521,1.8872,0.162492,-2.57869,0.469828,0.657677,0.105537,5.88557,0.605904,0.500752,0.232341,-2.13965,0.34876,-3.69935,0.249406
6,-3.54309,0.238815,1.77712,0.375216,2.75155,0.215818,1.88838,0.156948,-2.5795,0.465699,0.658287,0.104847,5.90984,0.590079,0.50262,0.232371,-2.13745,0.34809,-3.7024,0.245435
7,-3.53757,0.24006,1.78686,0.378184,2.74632,0.216319,1.88896,0.153593,-2.5826,0.462271,0.658837,0.103681,5.92359,0.58658,0.502477,0.229654,-2.13505,0.348756,-3.70624,0.244064
8,-3.53348,0.241523,1.7954,0.382966,2.74232,0.214133,1.89075,0.153099,-2.5847,0.459775,0.6594,0.102154,5.92546,0.58361,0.502783,0.228314,-2.13141,0.346834,-3.71408,0.243841
9,-3.52915,0.242638,1.8053,0.386205,2.73934,0.211454,1.89188,0.151877,-2.58703,0.458402,0.659931,0.101247,5.92762,0.586858,0.503509,0.230001,-2.12953,0.344882,-3.71893,0.240936
10,-3.52508,0.243303,1.82506,0.389477,2.73818,0.211474,1.88844,0.151587,-2.59292,0.457365,0.660426,0.100103,5.93173,0.583592,0.503103,0.228627,-2.12773,0.34024,-3.72435,0.23891
11,-3.52012,0.24407,1.84027,0.391864,2.73649,0.211821,1.88596,0.151315,-2.59878,0.456404,0.660931,0.099481,5.93681,0.587051,0.502738,0.22649,-2.12773,0.336503,-3.72891,0.23741
12,-3.51575,0.245507,1.85353,0.393794,2.73401,0.212288,1.8841,0.152012,-2.60302,0.457416,0.661474,0.0989358,5.94051,0.59336,0.503103,0.227927,-2.12747,0.33475,-3.73201,0.236633
13,-3.51373,0.247073,1.8638,0.396532,2.73378,0.2145,1.88326,0.15396,-2.60711,0.457872,0.661822,0.098598,5.9424,0.604326,0.502848,0.228186,-2.12492,0.334367,-3.73274,0.23566
14,-3.51226,0.249335,1.86238,0.399033,2.73254,0.215435,1.88145,0.155208,-2.61007,0.459843,0.662098,0.0982758,5.95234,0.608933,0.501851,0.22668,-2.12417,0.336723,-3.73286,0.23475
15,-3.50972,0.250754,1.86398,0.400684,2.73165,0.216985,1.87938,0.156524,-2.61316,0.461808,0.662408,0.0982588,5.95909,0.613464,0.501773,0.22491,-2.12354,0.339265,-3.73429,0.234351
