time,empiricalCdf,theoreticalCdf,piLower,piUpper,split
3.13149e-18,0.16624,0.250864,0.180605,0.327666,All
0.0493939,0.245524,0.403283,0.293471,0.521674,All
0.0987879,0.263427,0.415028,0.306122,0.533128,All
0.148182,0.296675,0.426974,0.31719,0.542688,All
0.197576,0.324808,0.437718,0.326853,0.556262,All
0.24697,0.352941,0.449073,0.335331,0.569008,All
0.296364,0.368286,0.460431,0.347039,0.579347,All
0.345758,0.391304,0.471962,0.35834,0.588176,All
0.395152,0.401535,0.482347,0.369059,0.599732,All
0.444545,0.411765,0.495316,0.377251,0.606598,All
0.493939,0.439898,0.50463,0.384067,0.614112,All
0.543333,0.460358,0.518349,0.396106,0.625141,All
0.592727,0.470588,0.529343,0.409855,0.638989,All
0.642121,0.483376,0.539224,0.419517,0.650663,All
0.691515,0.511509,0.549942,0.433374,0.660198,All
0.740909,0.524297,0.561381,0.447813,0.669664,All
0.790303,0.55243,0.573156,0.459687,0.678059,All
0.839697,0.560102,0.584487,0.473555,0.691187,All
0.889091,0.578005,0.595819,0.487864,0.700472,All
0.938485,0.603581,0.606986,0.5,0.711637,All
0.987879,0.626598,0.616233,0.51035,0.722222,All
1.03727,0.639386,0.630942,0.527512,0.735683,All
1.08667,0.672634,0.640569,0.535973,0.744684,All
1.13606,0.693095,0.650775,0.548229,0.750276,All
1.18545,0.695652,0.660571,0.561226,0.76409,All
1.23485,0.705882,0.670617,0.572114,0.770974,All
1.28424,0.71867,0.680974,0.583233,0.783985,All
1.33364,0.71867,0.693116,0.589098,0.794837,All
1.38303,0.71867,0.701878,0.604597,0.805966,All
1.43242,0.71867,0.711427,0.613777,0.814247,All
1.48182,0.71867,0.721311,0.626347,0.820354,All
1.53121,0.71867,0.731793,0.635176,0.831462,All
1.58061,0.721228,0.739695,0.648282,0.843562,All
1.63,0.726343,0.747952,0.656133,0.852185,All
1.67939,0.741688,0.758103,0.669063,0.863115,All
1.72879,0.744246,0.768011,0.677927,0.874282,All
1.77818,0.757033,0.777778,0.690816,0.883114,All
1.82758,0.764706,0.786867,0.702072,0.890148,All
1.87697,0.772379,0.796671,0.711905,0.897704,All
1.92636,0.774936,0.805525,0.720278,0.905073,All
1.97576,0.777494,0.812643,0.730592,0.912676,All
2.02515,0.782609,0.819461,0.738463,0.920552,All
2.07455,0.785166,0.824658,0.748832,0.92371,All
2.12394,0.800512,0.833333,0.757573,0.937206,All
2.17333,0.805627,0.841362,0.77013,0.944317,All
2.22273,0.818414,0.848041,0.778839,0.951545,All
2.27212,0.828645,0.855518,0.785865,0.9532,All
2.32152,0.836317,0.861627,0.795122,0.959384,All
2.37091,0.838875,0.86799,0.803743,0.960909,All
2.4203,0.838875,0.874413,0.809132,0.963123,All
2.4697,0.838875,0.880002,0.817735,0.965728,All
2.51909,0.838875,0.885452,0.824909,0.968417,All
2.56848,0.84399,0.891204,0.828715,0.976041,All
2.61788,0.84399,0.897465,0.83615,0.977901,All
2.66727,0.849105,0.902326,0.841535,0.983626,All
2.71667,0.851662,0.907602,0.850057,0.989959,All
2.76606,0.859335,0.912941,0.856453,0.99285,All
2.81545,0.86445,0.916763,0.861339,0.996049,All
2.86485,0.872123,0.920746,0.870064,0.998834,All
2.91424,0.879795,0.925408,0.874836,1,All
2.96364,0.887468,0.929237,0.879663,1,All
3.01303,0.895141,0.933882,0.884077,1,All
3.06242,0.895141,0.93786,0.891697,1,All
3.11182,0.897698,0.941176,0.897468,1,All
3.16121,0.897698,0.945042,0.899171,1,All
3.21061,0.905371,0.948174,0.90509,1,All
3.26,0.907928,0.951879,0.90909,1,All
3.30939,0.910486,0.955347,0.914618,1,All
3.35879,0.918159,0.957993,0.916267,1,All
3.40818,0.925831,0.960602,0.920619,1,All
3.45758,0.928389,0.963218,0.926381,1,All
3.50697,0.930946,0.965675,0.930993,1,All
3.55636,0.933504,0.967366,0.934272,1,All
3.60576,0.941176,0.969697,0.939934,1,All
3.65515,0.943734,0.972222,0.943595,1,All
3.70455,0.951407,0.974359,0.946996,1,All
3.75394,0.956522,0.97669,0.950062,1,All
3.80333,0.959079,0.978799,0.952263,1,All
3.85273,0.961637,0.98102,0.95559,1,All
3.90212,0.966752,0.981941,0.958937,1,All
3.95152,0.971867,0.983759,0.960488,1,All
4.00091,0.976982,0.985731,0.964243,1,All
4.0503,0.976982,0.986348,0.966903,1,All
4.0997,0.976982,0.988152,0.969484,1,All
4.14909,0.97954,0.988532,0.971631,1,All
4.19848,0.97954,0.990453,0.974087,1,All
4.24788,0.982097,0.990857,0.97658,1,All
4.29727,0.984655,0.992823,0.978823,1,All
4.34667,0.987212,0.993072,0.981521,1,All
4.39606,0.98977,0.993385,0.98372,1,All
4.44545,0.992327,0.995338,0.985731,1,All
4.49485,0.994885,0.995392,0.98782,1,All
4.54424,0.994885,0.997564,0.988152,1,All
4.59364,0.994885,0.997642,0.990123,1,All
4.64303,0.994885,0.997669,0.990555,1,All
4.69242,0.997442,0.997717,0.992883,1,All
4.74182,0.997442,1,0.994131,1,All
4.79121,0.997442,1,0.995266,1,All
4.84061,0.997442,1,0.997585,1,All
4.89,1,1,1,1,All
