popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
-7,-3.52172,-7,-14.659,0.659002,-7,-4.04792,-7,-14.659,0.659002,All
-6.90543,-3.4768,-6.90543,-14.471,0.660177,-6.901,-3.98076,-6.901,-14.4622,0.660232,All
-6.81087,-3.43188,-6.81087,-14.2831,0.661353,-6.802,-3.91361,-6.802,-14.2655,0.661463,All
-6.7163,-3.38696,-6.7163,-14.0951,0.662528,-6.70299,-3.84645,-6.70299,-14.0687,0.662694,All
-6.62174,-3.34204,-6.62174,-13.9072,0.663704,-6.60399,-3.77929,-6.60399,-13.8719,0.663924,All
-6.52717,-3.29712,-6.52717,-13.7192,0.664879,-6.50499,-3.71214,-6.50499,-13.6751,0.665155,All
-6.43261,-3.2522,-6.43261,-13.5313,0.666054,-6.40599,-3.64498,-6.40599,-13.4784,0.666385,All
-6.33804,-3.20728,-6.33804,-13.3433,0.66723,-6.30699,-3.57782,-6.30699,-13.2816,0.667616,All
-6.24348,-3.16236,-6.24348,-13.1554,0.668405,-6.20799,-3.51067,-6.20799,-13.0848,0.668846,All
-6.14891,-3.11744,-6.14891,-12.9674,0.669581,-6.10898,-3.44351,-6.10898,-12.888,0.670077,All
-6.05435,-3.07252,-6.05435,-12.7795,0.670756,-6.00998,-3.37636,-6.00998,-12.6913,0.671307,All
-5.95978,-3.0276,-5.95978,-12.5915,0.671931,-5.91098,-3.3092,-5.91098,-12.4945,0.672538,All
-5.86522,-2.98268,-5.86522,-12.4035,0.673107,-5.81198,-3.24204,-5.81198,-12.2977,0.673769,All
-5.77065,-2.93776,-5.77065,-12.2156,0.674282,-5.71298,-3.17489,-5.71298,-12.101,0.674999,All
-5.67609,-2.89284,-5.67609,-12.0276,0.675458,-5.61398,-3.10773,-5.61398,-11.9042,0.67623,All
-5.58152,-2.84792,-5.58152,-11.8397,0.676633,-5.51497,-3.04057,-5.51497,-11.7074,0.67746,All
-5.48696,-2.803,-5.48696,-11.6517,0.677808,-5.41597,-2.97342,-5.41597,-11.5106,0.678691,All
-5.39239,-2.75808,-5.39239,-11.4638,0.678984,-5.31697,-2.90626,-5.31697,-11.3139,0.679921,All
-5.29783,-2.71316,-5.29783,-11.2758,0.680159,-5.21797,-2.8391,-5.21797,-11.1171,0.681152,All
-5.20326,-2.66824,-5.20326,-11.0879,0.681335,-5.11897,-2.77195,-5.11897,-10.9203,0.682382,All
-5.1087,-2.62332,-5.1087,-10.8999,0.68251,-5.01997,-2.70479,-5.01997,-10.7235,0.683613,All
-5.01413,-2.5784,-5.01413,-10.7119,0.683685,-4.92096,-2.63763,-4.92096,-10.5268,0.684843,All
-4.91957,-2.53348,-4.91957,-10.524,0.684861,-4.82196,-2.57048,-4.82196,-10.33,0.686074,All
-4.825,-2.48856,-4.825,-10.336,0.686036,-4.72296,-2.50332,-4.72296,-10.1332,0.687305,All
-4.73044,-2.44364,-4.73044,-10.1481,0.687212,-4.62396,-2.43616,-4.62396,-9.93645,0.688535,All
-4.63587,-2.39872,-4.63587,-9.96013,0.688387,-4.52496,-2.36901,-4.52496,-9.73968,0.689766,All
-4.5413,-2.3538,-4.5413,-9.77217,0.689563,-4.42595,-2.30185,-4.42595,-9.54291,0.690996,All
-4.44674,-2.30888,-4.44674,-9.58422,0.690738,-4.32695,-2.27002,-4.32695,-9.34613,0.692227,All
-4.35217,-2.26396,-4.35217,-9.39626,0.691913,-4.22795,-2.25601,-4.22795,-9.14936,0.693457,All
-4.25761,-2.21904,-4.25761,-9.20831,0.693089,-4.12895,-2.24201,-4.12895,-8.95259,0.694688,All
-4.16304,-2.17412,-4.16304,-9.02035,0.694264,-4.02995,-2.228,-4.02995,-8.75581,0.695918,All
-4.06848,-2.1292,-4.06848,-8.8324,0.69544,-3.93095,-2.214,-3.93095,-8.55904,0.697149,All
-3.97391,-2.08428,-3.97391,-8.64444,0.696615,-3.83194,-2.2,-3.83194,-8.36227,0.69838,All
-3.87935,-2.03936,-3.87935,-8.45649,0.69779,-3.73294,-2.1846,-3.73294,-8.16549,0.69961,All
-3.78478,-1.99444,-3.78478,-8.26853,0.698966,-3.63394,-2.16796,-3.63394,-7.96872,0.700841,All
-3.69022,-1.94953,-3.69022,-8.08058,0.700141,-3.53494,-2.15027,-3.53494,-7.77195,0.702071,All
-3.59565,-1.90461,-3.59565,-7.89262,0.701317,-3.43594,-2.12891,-3.43594,-7.57518,0.703302,All
-3.50109,-1.85969,-3.50109,-7.70467,0.702492,-3.33694,-2.10755,-3.33694,-7.3784,0.704532,All
-3.40652,-1.81477,-3.40652,-7.51671,0.703667,-3.23793,-2.08408,-3.23793,-7.18163,0.705763,All
-3.31196,-1.76985,-3.31196,-7.32876,0.704843,-3.13893,-2.05447,-3.13893,-6.98486,0.706993,All
-3.21739,-1.72493,-3.21739,-7.1408,0.706018,-3.03993,-2.01873,-3.03993,-6.78808,0.708224,All
-3.12283,-1.68001,-3.12283,-6.95285,0.707194,-2.94093,-1.98299,-2.94093,-6.59131,0.709455,All
-3.02826,-1.63509,-3.02826,-6.76489,0.708369,-2.84193,-1.94725,-2.84193,-6.39454,0.710685,All
-2.9337,-1.59017,-2.9337,-6.57694,0.709544,-2.74292,-1.91015,-2.74292,-6.19777,0.711916,All
-2.83913,-1.54525,-2.83913,-6.38898,0.71072,-2.64392,-1.86228,-2.64392,-6.00099,0.713146,All
-2.74457,-1.50033,-2.74457,-6.20103,0.711895,-2.54492,-1.80802,-2.54492,-5.80422,0.714377,All
-2.65,-1.45541,-2.65,-6.01307,0.713071,-2.44592,-1.74853,-2.44592,-5.60745,0.715607,All
-2.55544,-1.38512,-2.55544,-5.82512,0.714246,-2.34692,-1.68903,-2.34692,-5.41067,0.716838,All
-2.46087,-1.31162,-2.46087,-5.63716,0.715421,-2.24792,-1.62055,-2.24792,-5.2139,0.718068,All
-2.36631,-1.23812,-2.36631,-5.44921,0.716597,-2.14891,-1.54547,-2.14891,-5.01713,0.719299,All
-2.27174,-1.16462,-2.27174,-5.26125,0.717772,-2.04991,-1.4623,-2.04991,-4.82035,0.72053,All
-2.17717,-1.12552,-2.17717,-5.0733,0.718948,-1.95091,-1.37538,-1.95091,-4.62358,0.72176,All
-2.08261,-1.09216,-2.08261,-4.88534,0.720123,-1.85191,-1.27979,-1.85191,-4.42681,0.722991,All
-1.98804,-1.0588,-1.98804,-4.69739,0.721299,-1.75291,-1.17823,-1.75291,-4.23004,0.724221,All
-1.89348,-1.02544,-1.89348,-4.50943,0.722474,-1.65391,-1.07469,-1.65391,-4.03326,0.725452,All
-1.79891,-0.995005,-1.79891,-4.32148,0.723649,-1.5549,-0.969292,-1.5549,-3.83649,0.726682,All
-1.70435,-0.972023,-1.70435,-4.13352,0.724825,-1.4559,-0.864554,-1.4559,-3.63972,0.727913,All
-1.60978,-0.94904,-1.60978,-3.94557,0.726,-1.3569,-0.761793,-1.3569,-3.44294,0.729143,All
-1.51522,-0.926058,-1.51522,-3.75761,0.727176,-1.2579,-0.663388,-1.2579,-3.24617,0.730374,All
