time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
-1,0,0,0,0,0,0,0,0,0,0,0,All
-0.917671,0,0,0,0,0,0,0,0,0,0,0,All
-0.835341,0,0,0,0,0,0,0,0,0,0,0,All
-0.753012,0,0,0,0,0,0,0,0,0,0,0,All
-0.670683,0,0,0,0,0,0,0,0,0,0,0,All
-0.588353,0,0,0,0,0,0,0,0,0,0,0,All
-0.506024,0,0,0,0,0,0,0,0,0,0,0,All
-0.423695,0,0,0,0,0,0,0,0,0,0,0,All
-0.341365,0,0,0,0,0,0,0,0,0,0,0,All
-0.259036,0,0,0,0,0,0,0,0,0,0,0,All
-0.176707,0,0,0,0,0,0,0,0,0,0,0,All
-0.0943775,0,0,0,0,0,0,0,0,0,0,0,All
-0.0120482,0,0,0,0,0,0,0,0,0,0,0,All
0.0702811,0,0,0,0,0,0,0,0,0,0,0,All
0.15261,0,0,0,0,0,0,0,0,0,0,0,All
0.23494,0,0,0,0,0,0,0,0,0,0,0,All
0.317269,0,0,0,0,0,0,0,0,0,0,0,All
0.399598,0,0,0,0,0,0,0,0,0,0,0,All
0.481928,0,0,0,0,0,0,0,0,0,0,0,All
0.564257,0,0,0,0,0,0,0,0,0,0,0,All
0.646586,0,0,0,0,0,0,0,0,0,0,0,All
0.728916,0,0,0,0,0,0,0,0,0,0,0,All
0.811245,0,0,0,0,0,0,0,0,0,0,0.828923,All
0.893574,0,0,0,0,0,0,0,0,0,0,1.33246,All
0.975904,0,0,0,0,0,0,0,0,0,0,1.89933,All
1.05823,0,0,0,0,0,0,0,0,0,0.684951,2.56058,All
1.14056,0,0,0,0,0,0,0,0,0,1.21197,3.2324,All
1.22289,0,0,0,0,0,0,0,0,0.0221202,1.65827,3.82304,All
1.30522,0,0,0,0,0,0,0,0,0.898926,2.21719,4.36284,All
1.38755,0,0,0,0,0,0,0,0,1.41062,2.80046,4.8625,All
1.46988,0,0,0,0,0,0,0,0.628622,1.89237,3.35705,5.31786,All
1.55221,0,0,0,0,0,0,0,1.19434,2.42855,3.87773,5.71802,All
1.63454,0,0,0,0,0,0,0.026704,1.72743,2.97583,4.37328,6.10695,All
1.71687,0,0,0,0,0,0,0.853682,2.23726,3.4894,4.7651,6.40897,All
1.7992,0.681832,0,0,0,0,0,1.52896,2.72149,3.97138,5.14117,6.73728,All
1.88153,1.37327,0,0,0,0,0.363905,2.06808,3.23764,4.4131,5.48689,7.01171,All
1.96386,1.9139,0,0,0,0,1.02468,2.56398,3.74057,4.8081,5.82395,7.23493,All
2.04618,2.39993,0,0,0,0,1.61574,3.02777,4.16281,5.14871,6.10619,7.4594,All
2.12851,2.91385,0,0,0,0.0380174,2.22839,3.48502,4.54443,5.46538,6.38646,7.65569,All
2.21084,3.33798,0,0,0,1.00851,2.74446,3.89555,4.93212,5.77112,6.63176,7.81906,All
2.29317,3.76653,0,0,0,1.54962,3.23697,4.28737,5.23239,6.04252,6.85685,7.98604,All
2.3755,4.16461,0,0,0,2.13164,3.64862,4.64697,5.52838,6.27192,7.05021,8.12784,All
2.45783,4.55347,0,0,0,2.66951,4.03612,4.97412,5.77589,6.48101,7.2289,8.23471,All
2.54016,4.85709,0,0,0.977204,3.13554,4.34887,5.27278,6.03579,6.6741,7.40496,8.3466,All
2.62249,5.1419,0,0,1.54141,3.56447,4.66932,5.51182,6.25118,6.8683,7.56727,8.43965,All
2.70482,5.4047,0,0,2.08602,3.98075,4.96475,5.75952,6.44837,7.04591,7.6957,8.52377,All
2.78715,5.62824,0,0,2.6417,4.27744,5.24144,5.9872,6.6361,7.19299,7.82073,8.57957,All
2.86948,5.84999,0,0,3.07924,4.57791,5.49497,6.18672,6.80887,7.32885,7.92008,8.63253,All
2.95181,6.06475,0,0,3.49051,4.85696,5.72477,6.37355,6.95461,7.4605,8.02478,8.67649,All
3.03414,6.24028,0,0.858958,3.84753,5.08302,5.91663,6.54263,7.08199,7.57351,8.10776,8.71138,All
3.11647,6.41185,0,1.40081,4.20183,5.334,6.10704,6.69682,7.20713,7.68289,8.1632,8.71952,All
3.1988,6.57945,0,1.90759,4.46833,5.57571,6.2896,6.83924,7.32081,7.77227,8.21563,8.73353,All
3.28112,6.71986,0,2.4167,4.74021,5.7631,6.44421,6.97085,7.42614,7.83878,8.25114,8.7485,All
3.36345,6.84624,0,2.8081,4.9777,5.92965,6.57756,7.09154,7.52292,7.90183,8.28544,8.7666,All
3.44578,6.95321,0,3.18378,5.19327,6.0968,6.71275,7.19721,7.60329,7.94607,8.31097,8.78232,All
3.52811,7.06434,0,3.62685,5.37262,6.23819,6.83081,7.28475,7.66791,7.98688,8.33383,8.78548,All
3.61044,7.16306,0,3.92135,5.5364,6.35781,6.93619,7.37347,7.7197,8.02149,8.34902,8.80026,All
3.69277,7.24086,0,4.16393,5.71697,6.48314,7.01611,7.44461,7.76206,8.04417,8.35866,8.80252,All
3.7751,7.30448,0,4.40627,5.87726,6.604,7.09756,7.50161,7.79367,8.06632,8.37027,8.79575,All
3.85743,7.36636,0,4.65099,6.03057,6.71212,7.16968,7.54432,7.8184,8.09093,8.37058,8.7824,All
3.93976,7.41144,0,4.84096,6.14945,6.82417,7.22723,7.57114,7.84646,8.09779,8.36959,8.78233,All
4.02209,7.45307,0,5.03673,6.27675,6.90102,7.28951,7.60623,7.85684,8.10509,8.37139,8.77911,All
4.10442,7.49136,0,5.22925,6.3893,6.97978,7.33681,7.63011,7.875,8.10882,8.37629,8.7691,All
4.18675,7.52093,0,5.39228,6.49467,7.03131,7.3766,7.64782,7.88469,8.11505,8.37697,8.76425,All
4.26908,7.55173,0.026579,5.54363,6.5807,7.0803,7.4057,7.66538,7.88885,8.11682,8.37009,8.75421,All
4.35141,7.56554,0.713461,5.70987,6.65855,7.11904,7.43092,7.67492,7.89759,8.11466,8.36339,8.74169,All
4.43373,7.5769,1.36851,5.82718,6.72171,7.15044,7.45682,7.67957,7.89578,8.11364,8.35572,8.73821,All
4.51606,7.58105,1.66601,5.93696,6.76926,7.17884,7.46638,7.6806,7.89186,8.10689,8.3442,8.73011,All
4.59839,7.58854,1.93681,6.03272,6.821,7.19982,7.47702,7.68214,7.88536,8.10006,8.33515,8.71851,All
4.68072,7.58706,2.13619,6.12918,6.85154,7.21454,7.4793,7.68558,7.87785,8.08899,8.32468,8.71542,All
4.76305,7.58091,2.41511,6.22228,6.87362,7.22219,7.4756,7.67578,7.87196,8.07613,8.31219,8.70317,All
4.84538,7.57803,2.81429,6.28397,6.90458,7.23484,7.46944,7.67478,7.87073,8.06558,8.30209,8.69908,All
4.92771,7.57041,3.11695,6.33886,6.92145,7.24249,7.46431,7.66903,7.86152,8.05161,8.29149,8.68974,All
5.01004,7.55799,3.40032,6.39519,6.93551,7.24585,7.46358,7.6582,7.85055,8.03765,8.27225,8.67411,All
5.09237,7.54876,3.62281,6.43149,6.94998,7.24406,7.45417,7.64772,7.83588,8.0246,8.25807,8.65793,All
5.1747,7.53697,3.91299,6.4595,6.94583,7.23531,7.43856,7.63638,7.82303,8.01308,8.24536,8.64171,All
5.25703,7.52817,4.115,6.47866,6.94361,7.22608,7.43043,7.62449,7.80918,7.99834,8.23254,8.62354,All
5.33936,7.51657,4.30007,6.50138,6.94123,7.21849,7.41957,7.60956,7.79374,7.98026,8.21623,8.61068,All
5.42169,7.5042,4.38284,6.51239,6.93958,7.20698,7.4046,7.59601,7.7786,7.96518,8.20318,8.59473,All
5.50402,7.48982,4.49396,6.5139,6.9325,7.18883,7.39044,7.58296,7.75894,7.95371,8.19154,8.57928,All
5.58635,7.47045,4.64746,6.51769,6.91968,7.17898,7.37949,7.56247,7.74113,7.93554,8.17581,8.56619,All
5.66867,7.45509,4.82556,6.5242,6.90874,7.16402,7.36387,7.54509,7.72359,7.92277,8.16127,8.5468,All
5.751,7.43962,4.8988,6.52881,6.89439,7.14584,7.34564,7.52232,7.70942,7.90871,8.14077,8.5308,All
5.83333,7.42304,4.9404,6.52513,6.88296,7.12735,7.32455,7.50191,7.68648,7.89334,8.12343,8.50693,All
5.91566,7.40494,5.02163,6.50684,6.86489,7.10502,7.30866,7.48753,7.66707,7.87701,8.10428,8.49694,All
5.99799,7.38161,5.08606,6.49144,6.85031,7.0908,7.28768,7.46537,7.64924,7.85374,8.08333,8.4816,All
6.08032,7.3552,5.13515,6.4835,6.82269,7.06771,7.26848,7.44618,7.63124,7.83389,8.06645,8.46516,All
6.16265,7.3337,5.21344,6.46861,6.80249,7.0495,7.24619,7.42528,7.61198,7.8135,8.04602,8.4497,All
6.24498,7.31161,5.27957,6.44646,6.77504,7.02272,7.21944,7.40145,7.58958,7.79014,8.02747,8.43463,All
6.32731,7.28995,5.33345,6.41772,6.75194,7.00035,7.19326,7.3794,7.56499,7.76982,8.01108,8.41061,All
6.40964,7.26612,5.3557,6.39732,6.73416,6.98308,7.17471,7.35655,7.54114,7.74869,7.98966,8.3882,All
6.49197,7.24398,5.35638,6.3749,6.71119,6.9607,7.1469,7.33354,7.51771,7.72548,7.96694,8.36675,All
6.5743,7.21653,5.36188,6.34733,6.69151,6.93302,7.12076,7.31144,7.4973,7.70573,7.94406,8.34696,All
6.65663,7.18839,5.37279,6.32746,6.66893,6.90467,7.09533,7.28394,7.47448,7.68172,7.92561,8.32986,All
6.73896,7.16047,5.36295,6.30951,6.64047,6.8729,7.07028,7.25964,7.45349,7.65884,7.90022,8.30666,All
6.82129,7.13518,5.36797,6.28439,6.61488,6.84543,7.04546,7.2364,7.4319,7.63752,7.87864,8.29082,All
6.90361,7.11045,5.34309,6.25577,6.59193,6.81822,7.01805,7.21061,7.40898,7.61583,7.86072,8.27448,All
6.98594,7.0896,5.32095,6.23177,6.56186,6.78991,6.99125,7.1848,7.38427,7.59399,7.83954,8.25362,All
