iteration,convergenceIndicator,phase,beta_exp_pop,delta0_pop,p_pop,td_pop,b_exp_pop,h_0_pop,tc_pop,sigma_pop,phi_exp_pop,rho_exp_pop,alpha_exp_pop,omega_beta_exp,omega_delta0,omega_p,omega_td,omega_b_exp,omega_h_0,omega_tc,omega_sigma,omega_rho_exp,omega_alpha_exp,corr_beta_exp_b_exp,corr_delta0_b_exp,corr_h_0_b_exp,corr_p_b_exp,corr_rho_exp_b_exp,corr_sigma_b_exp,corr_tc_b_exp,corr_td_b_exp,corr_delta0_beta_exp,corr_h_0_beta_exp,corr_p_beta_exp,corr_rho_exp_beta_exp,corr_sigma_beta_exp,corr_tc_beta_exp,corr_td_beta_exp,corr_h_0_delta0,corr_p_delta0,corr_rho_exp_delta0,corr_sigma_delta0,corr_tc_delta0,corr_td_delta0,corr_p_h_0,corr_rho_exp_h_0,corr_sigma_h_0,corr_tc_h_0,corr_td_h_0,corr_rho_exp_p,corr_sigma_p,corr_tc_p,corr_td_p,corr_sigma_rho_exp,corr_tc_rho_exp,corr_td_rho_exp,corr_tc_sigma,corr_td_sigma,corr_td_tc,a1,b2,a3,b3
1,2719.78,1,-3.68124,1.21266,2.71956,1.83291,-2.49572,0.64485,6.92641,0.428133,-1.53916,-1.524,1,0.633759,1.07274,0.493478,0.451091,1.23558,0.198593,1.31881,0.667405,0.516993,1,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.862569,0.392874,1,0.3
2,2357.02,1,-4.29952,0.543383,3.29492,2.08864,-1.77419,0.560164,5.72122,0.584801,-1.53916,-1.72044,-2.95397,0.617712,1.26771,0.480982,0.439669,1.20429,0.193565,1.28542,0.650506,0.602475,0.974679,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,1.02881,0.432775,0.549497,0.612134
3,2348.6,1,-4.29238,0.5274,3.27997,2.08267,-1.79705,0.558399,5.84314,0.572443,-1.53916,-1.73467,-3.12294,0.602071,1.26639,0.468804,0.428537,1.1738,0.188664,1.25287,0.634035,0.606165,0.95,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,1.06814,0.441181,0.509135,0.619166
4,2325.24,1,-4.32589,0.51609,3.26729,2.1079,-1.81396,0.56023,5.73224,0.572305,-1.53916,-1.73869,-3.18856,0.587442,1.30697,0.456933,0.417686,1.14408,0.183886,1.22115,0.617981,0.593155,0.925945,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,1.07907,0.442181,0.508893,0.623093
5,2269.65,1,-4.33097,0.438077,3.25078,2.14984,-1.77766,0.553428,5.55354,0.554595,-1.53915,-1.81155,-3.28145,0.572567,1.27388,0.445364,0.40711,1.11511,0.17923,1.19023,0.602333,0.578136,0.9025,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,1.05605,0.436692,0.557484,0.595305
6,2266.78,1,-4.32569,0.438347,3.25455,2.13689,-1.79607,0.553776,5.5074,0.55198,-1.53907,-1.82584,-3.32343,0.558069,1.31104,0.434087,0.396801,1.08687,0.174692,1.16009,0.587082,0.563497,0.879648,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,1.04843,0.438291,0.552263,0.59954
7,2248.02,1,-4.30837,0.459311,3.2536,2.13133,-1.79996,0.551788,5.54583,0.55232,-1.54628,-1.83815,-3.42257,0.543939,1.34266,0.423095,0.386754,1.05935,0.170269,1.13072,0.572217,0.550222,0.857375,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,1.02791,0.434156,0.53814,0.619392
8,2233.25,1,-4.32393,0.446268,3.23834,2.12569,-1.75613,0.545367,5.54713,0.532754,-1.54252,-1.86866,-3.4428,0.530166,1.33665,0.412382,0.376961,1.03253,0.165958,1.10209,0.557728,0.53629,0.835666,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,1.03787,0.437903,0.510436,0.623517
9,2220.57,1,-4.33146,0.408725,3.22961,2.12627,-1.76946,0.545018,5.54596,0.519317,-1.55611,-1.89598,-3.43066,0.516742,1.30281,0.401941,0.367417,1.00639,0.161755,1.07418,0.543606,0.531438,0.814506,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,1.01159,0.438209,0.48081,0.622735
10,2199.7,1,-4.36131,0.406981,3.24644,2.09334,-1.78207,0.545237,5.489,0.515004,-1.53727,-1.88098,-3.41628,0.503658,1.26982,0.391763,0.358113,0.980904,0.15766,1.04698,0.529841,0.517981,0.793882,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,1.00271,0.437714,0.495409,0.619773
