rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
1,7,1,0.121718,3.22776,1.28006,1,All,#4682B4,0
2,7,1,0,3.36426,1.04853,1,All,#4682B4,0
3,7,1,0.385652,2.93178,0.109501,1,All,#4682B4,0
4,7,1,0,3.36426,0.935824,1,All,#4682B4,0
5,7,1,0,3.36426,1.00987,1,All,#4682B4,0
6,7,1,0.669876,2.61305,0.135489,1,All,#4682B4,0
7,7,1,0.787416,2.48124,-0.356022,1,All,#4682B4,0
8,7,1,0,3.36426,0.785666,1,All,#4682B4,0
9,7,1,0,3.36426,0.650206,1,All,#4682B4,0
10,7,1,0,3.36426,0.66738,1,All,#4682B4,0
1,7,1.5,1.08608,2.14631,0.929669,1,All,#4682B4,0
2,7,1.5,0.729121,2.54661,0.0414265,1,All,#4682B4,0
3,7,1.5,1.39705,1.79758,0.406509,1,All,#4682B4,0
4,7,1.5,1.04542,2.19191,1.27969,1,All,#4682B4,0
5,7,1.5,0.888889,2.36744,0.965649,1,All,#4682B4,0
6,7,1.5,1.02263,2.21746,-0.250423,1,All,#4682B4,0
7,7,1.5,1.50157,1.68037,0.0503648,1,All,#4682B4,0
8,7,1.5,0,3.36426,0.419965,1,All,#4682B4,0
9,7,1.5,0.707751,2.57057,-0.250812,1,All,#4682B4,0
10,7,1.5,0,3.36426,0.809523,1,All,#4682B4,0
1,7,2,1.41749,1.77465,-1.17714,1,All,#4682B4,0
2,7,2,1.49219,1.69089,0.27412,1,All,#4682B4,0
3,7,2,2.0614,1.05257,0.409274,1,All,#4682B4,0
4,7,2,1.56699,1.60701,-1.48537,1,All,#4682B4,0
5,7,2,1.40055,1.79366,0.817154,1,All,#4682B4,0
6,7,2,1.43538,1.75459,1.21217,1,All,#4682B4,0
7,7,2,1.95912,1.16726,0.00187848,1,All,#4682B4,0
8,7,2,0,3.36426,0.409788,1,All,#4682B4,0
9,7,2,1.56733,1.60662,0.353155,1,All,#4682B4,0
10,7,2,1.59657,1.57383,1.08034,1,All,#4682B4,0
1,7,2.5,1.8099,1.3346,0.12499,1,All,#4682B4,0
2,7,2.5,2.19088,0.90736,0.164173,1,All,#4682B4,0
3,7,2.5,2.73341,0.298955,0.0336509,1,All,#4682B4,0
4,7,2.5,2.12852,0.977296,-0.161993,1,All,#4682B4,0
5,7,2.5,1.94745,1.18035,0.207765,1,All,#4682B4,0
6,7,2.5,1.92351,1.2072,0.503688,1,All,#4682B4,0
7,7,2.5,2.46235,0.602934,0.287942,1,All,#4682B4,0
8,7,2.5,1.56028,1.61453,0.428297,1,All,#4682B4,0
9,7,2.5,2.40263,0.669901,-0.890302,1,All,#4682B4,0
10,7,2.5,2.45574,0.610347,-0.460655,1,All,#4682B4,0
1,7,3,2.27744,0.810289,-1.04716,1,All,#4682B4,0
2,7,3,2.92468,0.0844675,-0.761167,1,All,#4682B4,0
3,7,3,3.41293,-0.46307,-0.749708,1,All,#4682B4,0
4,7,3,2.7341,0.29818,-0.438595,1,All,#4682B4,0
5,7,3,2.5521,0.502284,-0.331854,1,All,#4682B4,0
6,7,3,2.50757,0.552218,-1.17939,1,All,#4682B4,0
7,7,3,3.01545,-0.0173224,-0.482762,1,All,#4682B4,0
8,7,3,2.61655,0.430011,-0.409265,1,All,#4682B4,0
9,7,3,3.22602,-0.253458,-0.654714,1,All,#4682B4,0
10,7,3,3.28788,-0.322829,-1.24549,1,All,#4682B4,0
1,7,3.5,2.84032,1.24329,1.24329,0,All,#4682B4,0
2,7,3.5,3.69607,0.283644,0.283644,0,All,#4682B4,0
3,7,3.5,4.1,-0.169335,-0.169335,0,All,#4682B4,0
4,7,3.5,3.38952,0.627411,0.627411,0,All,#4682B4,0
5,7,3.5,3.22339,0.813716,0.813716,0,All,#4682B4,0
6,7,3.5,3.2131,0.825248,0.825248,0,All,#4682B4,0
7,7,3.5,3.62694,0.361169,0.361169,0,All,#4682B4,0
8,7,3.5,3.59726,0.394452,0.394452,0,All,#4682B4,0
9,7,3.5,4.03818,-0.100007,-0.100007,0,All,#4682B4,0
10,7,3.5,4.09465,-0.163332,-0.163332,0,All,#4682B4,0
1,7,4,3.52661,-0.590548,-1.83864,1,All,#4682B4,0
2,7,4,4.50785,-1.69093,-2.55347,1,All,#4682B4,0
3,7,4,4.79449,-2.01237,-3.03347,1,All,#4682B4,0
4,7,4,4.10013,-1.23371,-1.34129,1,All,#4682B4,0
5,7,4,3.97382,-1.09206,-1.62312,1,All,#4682B4,0
6,7,4,4.07753,-1.20837,-1.29877,1,All,#4682B4,0
7,7,4,4.306,-1.46457,-1.56148,1,All,#4682B4,0
8,7,4,4.50978,-1.6931,-2.08471,1,All,#4682B4,0
9,7,4,4.83912,-2.06242,-2.28219,1,All,#4682B4,0
10,7,4,4.87676,-2.10464,-2.22127,1,All,#4682B4,0
1,7,4.5,4.3774,0.974064,0.974064,0,All,#4682B4,0
2,7,4.5,5.363,-0.131205,-0.131205,0,All,#4682B4,0
3,7,4.5,5.49506,-0.279305,-0.279305,0,All,#4682B4,0
4,7,4.5,4.87212,0.419276,0.419276,0,All,#4682B4,0
5,7,4.5,4.81594,0.482282,0.482282,0,All,#4682B4,0
6,7,4.5,5.15731,0.0994569,0.0994569,0,All,#4682B4,0
7,7,4.5,5.06296,0.205262,0.205262,0,All,#4682B4,0
8,7,4.5,5.36025,-0.128127,-0.128127,0,All,#4682B4,0
9,7,4.5,5.62758,-0.42791,-0.42791,0,All,#4682B4,0
10,7,4.5,5.63427,-0.435413,-0.435413,0,All,#4682B4,0
1,7,5,5.45669,0.248184,0.248184,0,All,#4682B4,0
2,7,5,6.26016,-0.65285,-0.65285,0,All,#4682B4,0
3,7,5,6.19469,-0.579423,-0.579423,0,All,#4682B4,0
4,7,5,5.71206,-0.0381905,-0.0381905,0,All,#4682B4,0
5,7,5,5.76496,-0.0975148,-0.0975148,0,All,#4682B4,0
6,7,5,6.53476,-0.960783,-0.960783,0,All,#4682B4,0
