time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
1,0.361285,1,0.500643,1,0.402774,2.22045e-16,-0.0450976,2.22045e-16,0.279577,2.22045e-16,0.0400646,All
1.06121,0.34125,1.06121,0.488931,1.06121,0.387462,4.75803e-16,-0.0450976,4.76764e-16,0.279577,4.75803e-16,0.0400646,All
1.12616,0.319989,1.12616,0.476502,1.12616,0.371213,1.01956e-15,-0.0450976,1.02369e-15,0.279577,1.01956e-15,0.0400646,All
1.19509,0.297427,1.19509,0.463313,1.19509,0.353969,2.18475e-15,-0.0450976,2.19801e-15,0.279577,2.18475e-15,0.0400646,All
1.26824,0.273484,1.26824,0.449316,1.26824,0.33567,4.68154e-15,-0.0450976,4.71947e-15,0.279577,4.68154e-15,0.0400646,All
1.34587,0.248076,1.34587,0.434462,1.34587,0.31625,1.00317e-14,-0.0450976,1.01334e-14,0.279577,1.00317e-14,0.0400646,All
1.37,0.240178,1.37,0.429845,1.37,0.310214,2.14963e-14,-0.0450976,2.17581e-14,0.279577,2.14963e-14,0.0400646,All
1.42825,0.221112,1.42825,0.418699,1.42825,0.295642,4.60629e-14,-0.0450976,4.67179e-14,0.279577,4.60629e-14,0.0400646,All
1.51567,0.200966,1.51567,0.40378,1.51567,0.279079,9.87048e-14,-0.0450976,1.00311e-13,0.279577,9.87048e-14,0.0400646,All
1.60844,0.220729,1.60844,0.396732,1.60844,0.287284,2.11507e-13,-0.0450976,2.15382e-13,0.279577,2.11507e-13,0.0400646,All
1.70689,0.241703,1.70689,0.389253,1.70689,0.295991,4.53224e-13,-0.0450976,4.62459e-13,0.279577,4.53224e-13,0.0400646,All
1.74,0.248756,1.74,0.386738,1.74,0.298919,9.7118e-13,-0.0450976,9.92971e-13,0.279577,9.7118e-13,0.0400646,All
1.81137,0.26396,1.81137,0.381316,1.81137,0.305231,2.08107e-12,-0.0450976,2.13206e-12,0.279577,2.08107e-12,0.0400646,All
1.92224,0.287579,1.92224,0.372894,1.92224,0.315037,4.45938e-12,-0.0450976,4.57787e-12,0.279577,4.45938e-12,0.0400646,All
2.0399,0.29682,2.0399,0.350683,2.0399,0.314067,9.55568e-12,-0.0450976,9.82939e-12,0.279577,9.55568e-12,0.0400646,All
2.11,0.283948,2.11,0.322035,2.11,0.300278,2.04762e-11,-0.0450976,2.11052e-11,0.279577,2.04762e-11,0.0400646,All
2.16476,0.273894,2.16476,0.299659,2.16476,0.289508,4.38769e-11,-0.0450976,4.53162e-11,0.279577,4.38769e-11,0.0400646,All
2.29726,0.249565,2.29726,0.245513,2.29726,0.263446,9.40207e-11,-0.0450976,9.73008e-11,0.279577,9.40207e-11,0.0400646,All
2.43787,0.223748,2.43787,0.188052,2.43787,0.235789,2.0147e-10,-0.0450976,2.0892e-10,0.279577,2.0147e-10,0.0400646,All
2.48,0.216012,2.48,0.170835,2.48,0.227502,4.31716e-10,-0.0450976,4.48583e-10,0.279577,4.31716e-10,0.0400646,All
2.58709,0.213617,2.58709,0.171417,2.58709,0.224494,9.25092e-10,-0.0450976,9.63178e-10,0.279577,9.25092e-10,0.0400646,All
2.74544,0.21594,2.74544,0.187336,2.74544,0.226176,1.98231e-09,-0.0450976,2.06809e-09,0.279577,1.98231e-09,0.0400646,All
2.85,0.217474,2.85,0.197847,2.85,0.227287,4.24775e-09,-0.0450976,4.44051e-09,0.279577,4.24775e-09,0.0400646,All
2.91348,0.218405,2.91348,0.204228,2.91348,0.227962,9.10221e-09,-0.0450976,9.53446e-09,0.279577,9.10221e-09,0.0400646,All
3.09181,0.219634,3.09181,0.219741,3.09181,0.227317,1.95045e-08,-0.0450976,2.0472e-08,0.279577,1.95045e-08,0.0400646,All
3.22,0.219579,3.22,0.229257,3.22,0.225134,4.17947e-08,-0.0450977,4.39565e-08,0.279577,4.17947e-08,0.0400646,All
3.28106,0.219552,3.28106,0.233789,3.28106,0.224094,8.95588e-08,-0.0450977,9.43814e-08,0.279577,8.95588e-08,0.0400646,All
3.48189,0.219465,3.48189,0.248697,3.48189,0.220673,1.91909e-07,-0.0450977,2.02651e-07,0.279577,1.91909e-07,0.0400646,All
3.59,0.214966,3.59,0.244837,3.59,0.215069,4.11228e-07,-0.0450977,4.35124e-07,0.279577,4.11228e-07,0.0400645,All
3.69501,0.209726,3.69501,0.238764,3.69501,0.208891,8.81191e-07,-0.0450978,9.34278e-07,0.279578,8.81191e-07,0.0400644,All
3.92117,0.19844,3.92117,0.225684,3.92117,0.195584,1.88824e-06,-0.045098,2.00604e-06,0.279578,1.88824e-06,0.0400642,All
3.96,0.196502,3.96,0.223439,3.96,0.1933,4.04617e-06,-0.0450985,4.30728e-06,0.279578,4.04617e-06,0.0400637,All
4.16118,0.18809,4.16118,0.205662,4.16118,0.186666,8.67025e-06,-0.0450994,9.24839e-06,0.279579,8.67025e-06,0.0400627,All
4.33,0.18137,4.33,0.189466,4.33,0.182182,1.85789e-05,-0.0451014,1.98577e-05,0.279582,1.85789e-05,0.0400605,All
4.41588,0.177952,4.41588,0.181227,4.41588,0.179901,3.98113e-05,-0.0451057,4.26376e-05,0.279587,3.98113e-05,0.0400557,All
4.68617,0.174435,4.68617,0.160724,4.68617,0.17826,8.53087e-05,-0.0451149,9.15495e-05,0.279597,8.53087e-05,0.0400455,All
4.7,0.174422,4.7,0.1598,4.7,0.178304,0.000182802,-0.0451346,0.000196571,0.27962,0.000182802,0.0400237,All
4.973,0.174175,4.973,0.141568,4.973,0.179175,0.000391713,-0.0451769,0.000422068,0.27967,0.000391713,0.0399768,All
5.07,0.177343,5.07,0.140611,5.07,0.181152,0.000839373,-0.0452676,0.000906246,0.279775,0.000839373,0.0398765,All
5.27739,0.186802,5.27739,0.143117,5.27739,0.186756,0.00179863,-0.0454617,0.00194585,0.280003,0.00179863,0.0396615,All
5.44,0.194218,5.44,0.145082,5.44,0.19115,0.00385416,-0.0458779,0.00417804,0.280491,0.00385416,0.0392007,All
5.60041,0.202213,5.60041,0.154361,5.60041,0.200831,0.0082588,-0.0467695,0.0089709,0.281538,0.0082588,0.0382133,All
5.81,0.213189,5.81,0.172215,5.81,0.217653,0.0176972,-0.0486802,0.0192619,0.283788,0.0176972,0.0360976,All
5.94321,0.220165,5.94321,0.183563,5.94321,0.228344,0.037922,-0.0527743,0.0413583,0.288619,0.037922,0.031564,All
6.18,0.22897,6.18,0.205253,6.18,0.245068,0.0812603,-0.0615475,0.0888026,0.298991,0.0812603,0.0218492,All
6.30698,0.233083,6.30698,0.217141,6.30698,0.25365,0.157337,-0.0769481,0.174035,0.317623,0.157337,0.00479562,All
6.55,0.23884,6.55,0.236674,6.55,0.265612,0.174127,-0.0803468,0.190673,0.32126,0.174127,0.00103206,All
6.69302,0.237424,6.69302,0.240856,6.69302,0.262515,0.314675,-0.108798,0.348069,0.330303,0.314675,-0.0304734,All
6.92,0.235176,6.92,0.247494,6.92,0.2576,0.373124,-0.120631,0.409404,0.328115,0.373124,-0.0435754,All
7.10269,0.225825,7.10269,0.240337,7.10269,0.243656,0.472012,-0.140649,0.522104,0.309643,0.472012,-0.0657424,All
7.29,0.210214,7.29,0.223015,7.29,0.221383,0.62935,-0.172499,0.696138,0.256941,0.62935,-0.101011,All
7.53743,0.187079,7.53743,0.196078,7.53743,0.189835,0.786687,-0.20435,0.870173,0.197981,0.786687,-0.13628,All
7.66,0.168638,7.66,0.171472,7.66,0.168299,0.79954,-0.206952,0.879054,0.194972,0.79954,-0.139162,All
7.99879,0.117663,7.99879,0.103456,7.99879,0.108771,0.944025,-0.183788,1.04421,0.139021,0.944025,-0.122669,All
8.03,0.114761,8.03,0.100362,8.03,0.105459,1.10136,-0.143196,1.21824,0.0797808,1.10136,-0.0901491,All
8.4,0.0812266,8.4,0.0651991,8.4,0.067238,1.2587,-0.0988683,1.39228,0.024741,1.2587,-0.0537569,All
8.48838,0.0732162,8.48838,0.0567997,8.48838,0.0581082,1.41604,-0.055603,1.56631,-0.0050449,1.41604,-0.0178496,All
8.77,0.0677394,8.77,0.0619669,8.77,0.0523741,1.57337,-0.0191337,1.74035,-0.0200769,1.57337,0.0123938,All
9.00794,0.0640446,9.00794,0.0677646,9.00794,0.0486502,1.71328,7.66694e-05,1.88747,-0.00205624,1.71328,0.0277703,All
9.14,0.0652698,9.14,0.0753383,9.14,0.0509496,1.73071,0.00237307,1.91438,0.00311311,1.73071,0.0296015,All
9.51,0.0679356,9.51,0.095439,9.51,0.0565453,1.88805,0.00637259,2.08842,0.0427099,1.88805,0.0311121,All
9.5593,0.0646115,9.5593,0.0927474,9.5593,0.0532294,2.04539,-0.0072976,2.26245,0.0787274,2.04539,0.0157423,All
9.88,0.0429903,9.88,0.0752404,9.88,0.0316613,2.20272,-0.0378865,2.43648,0.0901232,2.20272,-0.0171214,All
10.1444,0.02231,10.1444,0.0518276,10.1444,0.0105597,2.36006,-0.0784167,2.61052,0.0591171,2.36006,-0.0612507,All
10.25,0.0131051,10.25,0.0394994,10.25,0.00103236,2.5174,-0.108392,2.78455,0.0052413,2.5174,-0.094972,All
10.62,-0.0116446,10.62,0.00130433,10.62,-0.0242231,2.67474,-0.0753705,2.95859,-0.0252814,2.67474,-0.060015,All
10.7653,-0.0152236,10.7653,-0.00960213,10.7653,-0.0274895,2.83207,-0.0380492,3.13262,-0.0316003,2.83207,-0.0205881,All
10.99,-0.0207558,10.99,-0.0264611,10.99,-0.0325387,2.98941,-0.0518074,3.30666,-0.0552911,2.98941,-0.0375376,All
11.36,-0.00750584,11.36,-0.00503128,11.36,-0.0176848,3.14675,-0.0697078,3.48069,-0.0884516,3.14675,-0.0594127,All
11.4243,-0.00509646,11.4243,-0.00107161,11.4243,-0.0149929,3.30409,-0.0509415,3.65473,-0.0635972,3.30409,-0.0418002,All
11.73,0.00552342,11.73,0.0350355,11.73,-0.00374358,3.46142,0.0243626,3.82876,0.0117095,3.46142,0.036827,All
12.1,0.00210046,12.1,0.0486317,12.1,-0.00717832,3.61876,0.0624605,4.0028,0.0535551,3.61876,0.0714232,All
12.1235,-0.000854109,12.1235,0.0431463,12.1235,-0.0102176,3.67126,0.0659697,4.05268,0.051394,3.67126,0.0730243,All
12.47,-0.0443599,12.47,-0.0376264,12.47,-0.0549703,3.7761,0.0574416,4.17683,0.0245321,3.7761,0.0620672,All
12.84,-0.0926191,12.84,-0.135528,12.84,-0.104281,3.93344,0.038861,4.35086,-0.0252262,3.93344,0.0403554,All
12.8656,-0.095968,12.8656,-0.142371,12.8656,-0.107701,4.09077,0.0180724,4.5249,-0.0382538,4.09077,0.0180572,All
13.21,-0.107823,13.21,-0.159679,13.21,-0.119417,4.24811,-0.00299845,4.69893,-0.00651073,4.24811,-0.00431606,All
13.58,-0.0973622,13.58,-0.1244,13.58,-0.108269,4.40545,0.0107077,4.87297,0.0296646,4.40545,0.00656201,All
13.6531,-0.0950386,13.6531,-0.115676,13.6531,-0.105964,4.56279,0.0245829,5.047,0.0361753,4.56279,0.0176016,All
13.95,-0.0855969,13.95,-0.0802258,13.95,-0.0965979,4.72012,0.0395768,5.22104,0.0222789,4.72012,0.0300852,All
14.32,-0.116464,14.32,-0.126291,14.32,-0.130157,4.87746,0.0548536,5.39507,0.0278283,4.87746,0.042934,All
14.4888,-0.133581,14.4888,-0.153732,14.4888,-0.148687,5.0348,0.068903,5.56911,0.0526431,5.0348,0.0551373,All
14.69,-0.144475,14.69,-0.177209,14.69,-0.160468,5.19214,0.0799663,5.74314,0.0597153,5.19214,0.06577,All
