ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
7,-1,-7,1.5432,1.5432,-7,1.46741,1.46741,-7,1.46741,1.46741,-7,1.51775,1.51775,0,All,#4682B4,0
7,0,-7,1.4308,-0.513794,-7,1.43675,-1.2505,-7,1.43675,0.126775,-7,1.55348,-0.569039,1,All,#4682B4,0
7,1,-7,1.37079,1.37079,-7,1.51425,1.51425,-7,1.51425,1.51425,-7,1.44678,1.44678,0,All,#4682B4,0
7,2,-1.46233,0.643355,0.643355,-3.3659,1.24237,1.24237,-3.20698,1.2254,1.2254,-1.46233,0.525468,0.525468,0,All,#4682B4,0
7,3,1.4853,-0.0204286,-0.126786,-2.10356,1.04488,-0.173625,-1.99976,1.0215,-1.77857,1.4853,-0.392273,-0.552613,1,All,#4682B4,0
7,4,2.32409,-0.233551,-0.233551,-0.613302,0.996202,0.996202,-0.589105,0.984156,0.984156,2.32409,-0.580462,-0.580462,0,All,#4682B4,0
7,5,2.36195,-0.560686,-0.560686,1.15923,-0.895874,-0.895874,1.07099,-0.858687,-0.858687,2.36195,-0.772554,-0.772554,0,All,#4682B4,0
7,6,2.09102,-0.557218,-0.557218,2.80079,-1.12842,-1.12842,2.7032,-1.11326,-1.11326,2.09102,-0.677982,-0.677982,0,All,#4682B4,0
7,7,1.69343,0.0185205,0.0185205,2.48203,-0.490277,-0.490277,2.5542,-0.515905,-0.515905,1.69343,0.0513651,0.0513651,0,All,#4682B4,0
7,8,1.09248,0.868738,0.868738,2.12913,0.252984,0.252984,2.15402,0.236575,0.236575,1.09248,1.0065,1.0065,0,All,#4682B4,0
7,9,0.29198,0.0211876,0.0211876,1.95794,-0.754396,-0.754396,1.94152,-0.748848,-0.748848,0.29198,0.0673576,0.0673576,0,All,#4682B4,0
7,10,-0.56737,0.639083,0.639083,1.61608,-0.2006,-0.2006,1.59531,-0.187657,-0.187657,-0.56737,0.773958,0.773958,0,All,#4682B4,0
7,11,-1.28532,0.531933,0.531933,1.10454,-0.238152,-0.238152,1.08822,-0.225515,-0.225515,-1.28532,0.639199,0.639199,0,All,#4682B4,0
7,12,-1.8256,0.889128,0.889128,0.390539,0.959191,0.959191,0.380521,0.982339,0.982339,-1.8256,1.14265,1.14265,0,All,#4682B4,0
