parameter,res_sa
beta_exp_pop,7.43165
delta0_pop,1984.79
p_pop,19.8986
td_pop,48.9812
b_exp_pop,22.0318
h_0_pop,13.1009
tc_pop,33.6932
sigma_pop,26.732
phi_exp_pop,nan
rho_exp_pop,58.8458
alpha_exp_pop,nan
omega_beta_exp,58.8449
omega_delta0,nan
omega_p,34.0131
omega_td,60.4016
omega_b_exp,138.378
omega_h_0,177.971
omega_tc,89.3316
omega_sigma,90.4658
omega_rho_exp,44.5637
omega_alpha_exp,nan
corr_beta_exp_b_exp,nan
corr_delta0_b_exp,nan
corr_h_0_b_exp,nan
corr_p_b_exp,nan
corr_rho_exp_b_exp,nan
corr_sigma_b_exp,nan
corr_tc_b_exp,nan
corr_td_b_exp,nan
corr_delta0_beta_exp,nan
corr_h_0_beta_exp,nan
corr_p_beta_exp,nan
corr_rho_exp_beta_exp,nan
corr_sigma_beta_exp,nan
corr_tc_beta_exp,nan
corr_td_beta_exp,145.589
corr_h_0_delta0,nan
corr_p_delta0,nan
corr_rho_exp_delta0,nan
corr_sigma_delta0,nan
corr_tc_delta0,nan
corr_td_delta0,48.1164
corr_p_h_0,nan
corr_rho_exp_h_0,nan
corr_sigma_h_0,nan
corr_tc_h_0,nan
corr_td_h_0,62.4446
corr_rho_exp_p,nan
corr_sigma_p,nan
corr_tc_p,167.769
corr_td_p,423.129
corr_sigma_rho_exp,nan
corr_tc_rho_exp,nan
corr_td_rho_exp,nan
corr_tc_sigma,nan
corr_td_sigma,461.922
corr_td_tc,nan
a1,7.12759
b2,10.1572
a3,62.0128
b3,14.3037
