bins_middles,empirical_median,empirical_lower,empirical_upper,theoretical_median_median,theoretical_median_piLower,theoretical_median_piUpper,theoretical_lower_median,theoretical_lower_piLower,theoretical_lower_piUpper,theoretical_upper_median,theoretical_upper_piLower,theoretical_upper_piUpper,split
1.25,1.9374e-16,3.17765e-17,4.02003e-16,1.44742e-17,-8.3157e-17,1.2022e-16,-2.76933e-16,-4.07063e-16,-1.5259e-16,3.71211e-16,1.98617e-16,0.376078,All
2.25,1.84553e-16,3.18537e-17,2.85,2.28294e-16,3.21622e-17,0.524343,-1.99738e-16,-3.5961e-16,-5.2458e-17,1.95185,0.907253,3.40216,All
3.25,1.615,1.4055e-16,4.299,1.25075,0.443766,2.0857,-5.60355e-17,-2.98313e-16,0.252875,3.41478,2.40484,4.57809,All
4.25,2.11,0.115053,3.68,1.92396,1.24222,2.56513,0.00694345,-1.82375e-16,1.0322,3.83003,2.91591,4.91423,All
5.25,2.515,0.960715,3.737,2.0607,1.4595,2.71141,0.481873,-6.78449e-17,1.15594,3.81324,2.96494,4.90122,All
6.25,2.865,0.656596,3.971,1.91823,1.40541,2.57681,0.537744,-4.77573e-18,1.19215,3.67802,2.7879,4.7222,All
7.25,2.235,0.735564,4.246,1.75759,1.22937,2.37288,0.519033,-1.5036e-17,1.09544,3.4891,2.59823,4.61017,All
8.25,1.06619,0.279814,2.433,1.56335,1.05835,2.12139,0.410409,1.45023e-17,0.878671,3.18604,2.33962,4.23735,All
9.25,0.956293,0.318921,1.794,1.30732,0.828278,1.91617,0.241738,-3.75968e-17,0.73479,2.87705,2.10477,3.99091,All
10.25,1.10749,0.376145,1.831,1.05901,0.610493,1.6168,0.0697844,-1.54015e-16,0.543656,2.66305,1.81434,3.62813,All
11.25,0.822653,0.418325,1.688,0.788198,0.291552,1.3315,1.01369e-16,-2.25049e-16,0.273462,2.32771,1.51577,3.50473,All
12.25,0.4757,0.0490951,1.12917,0.522465,0.0714329,1.08985,-5.27644e-17,-2.86044e-16,0.126747,1.9947,1.1471,3.0854,All
13.25,0.305092,2.51164e-16,0.728256,0.231889,1.58049e-16,0.759292,-1.33442e-16,-3.22568e-16,1.53754e-16,1.53049,0.772002,2.48202,All
14.25,0.100055,1.27681e-16,0.597878,3.45755e-16,4.20432e-17,0.436016,-1.8585e-16,-3.48734e-16,-4.19497e-18,1.177,0.433912,2.20328,All
15.2273,0.000157223,2.45925e-17,0.31362,1.68868e-16,-5.87431e-18,0.266808,-2.16422e-16,-3.72046e-16,-6.9633e-17,1.00439,0.246483,2.21604,All
16.4524,0.0490754,7.3036e-17,0.161173,1.08262e-16,-5.43695e-17,0.14331,-2.38889e-16,-3.80261e-16,-5.39766e-17,0.810238,2.80744e-16,2.38881,All
18.0833,0.00176421,2.62901e-17,0.138576,7.1371e-17,-1.23287e-16,0.293999,-2.4599e-16,-4.65516e-16,-4.01227e-17,0.363167,1.81036e-16,2.07887,All
