rep,ID,time,sim_y3,censored,split,color,filter
1,7,-1,-9.57712,1,All,-1,0
1,7,1,-5.67162,1,All,-1,0
1,7,2,-2.66902,1,All,-1,0
1,7,4,1.48298,0,All,-1,0
1,7,5,3.53684,0,All,-1,0
1,7,6,3.77646,0,All,-1,0
1,7,7,3.22685,0,All,-1,0
1,7,8,0.235657,0,All,-1,0
1,7,9,2.9243,0,All,-1,0
1,7,10,0.893318,0,All,-1,0
1,7,11,-1.57055,1,All,-1,0
1,7,12,2.49342,0,All,-1,0
1,7,13,-1.08297,1,All,-1,0
1,7,0,-6.74903,1,All,-1,0
1,7,3,0.251796,0,All,-1,0
1,7,14,-3.09717,1,All,-1,0
1,8,-1,-8.82666,1,All,-1,0
1,8,0,-2.20442,1,All,-1,0
1,8,1,-2.6448,1,All,-1,0
1,8,4,-9.84053,1,All,-1,0
1,8,5,-14.2191,1,All,-1,0
1,8,6,0.926212,0,All,-1,0
1,8,7,-5.64284,1,All,-1,0
1,8,8,-7.94739,1,All,-1,0
1,8,9,-6.40765,1,All,-1,0
1,8,10,-14.0299,1,All,-1,0
1,8,11,-0.94367,1,All,-1,0
1,8,13,-11.7291,1,All,-1,0
1,8,2,-7.95496,1,All,-1,0
1,8,3,-2.40533,1,All,-1,0
1,8,12,-1.19924,1,All,-1,0
1,8,14,-4.47665,1,All,-1,0
1,9,3,0.84234,0,All,-1,0
1,9,4,-0.0300923,0,All,-1,0
1,9,5,0.682799,0,All,-1,0
1,9,6,2.01659,0,All,-1,0
1,9,7,0.733486,0,All,-1,0
1,9,8,1.35215,0,All,-1,0
1,9,9,0.308852,0,All,-1,0
1,9,10,0.419615,0,All,-1,0
1,9,11,0.304069,0,All,-1,0
1,9,12,-0.355247,1,All,-1,0
1,9,13,-0.420202,1,All,-1,0
1,9,14,-1.50161,1,All,-1,0
1,9,-1,-13.4912,1,All,-1,0
1,9,0,-8.26554,1,All,-1,0
1,9,1,-4.95167,1,All,-1,0
1,9,2,-0.436257,1,All,-1,0
1,10,0,-8.07062,1,All,-1,0
1,10,2,-0.00631357,0,All,-1,0
1,10,3,2.96781,0,All,-1,0
1,10,4,0.558154,0,All,-1,0
1,10,5,-2.33466,1,All,-1,0
1,10,6,2.17666,0,All,-1,0
1,10,7,2.29232,0,All,-1,0
1,10,8,0.328544,0,All,-1,0
1,10,9,2.18246,0,All,-1,0
1,10,10,1.74373,0,All,-1,0
1,10,-1,-7.87993,1,All,-1,0
1,10,1,-15.398,1,All,-1,0
1,10,11,0.329353,0,All,-1,0
1,10,12,0.686766,0,All,-1,0
1,10,13,-0.381898,1,All,-1,0
1,10,14,-0.923736,1,All,-1,0
1,11,-1,-9.19138,1,All,-1,0
1,11,0,-6.2024,1,All,-1,0
1,11,2,-10.6003,1,All,-1,0
1,11,3,0.21029,0,All,-1,0
1,11,4,-4.22868,1,All,-1,0
1,11,5,-2.29615,1,All,-1,0
1,11,6,0.649484,0,All,-1,0
1,11,7,1.7586,0,All,-1,0
1,11,8,5.42369,0,All,-1,0
1,11,9,1.04221,0,All,-1,0
1,11,10,1.02562,0,All,-1,0
1,11,11,0.615348,0,All,-1,0
1,11,1,-10.7718,1,All,-1,0
1,11,12,-0.817126,1,All,-1,0
1,11,13,0.562108,0,All,-1,0
1,11,14,-3.63104,1,All,-1,0
1,12,-1,-3.24735,1,All,-1,0
1,12,0,-3.31174,1,All,-1,0
1,12,7,-0.843002,1,All,-1,0
1,12,8,1.37346,0,All,-1,0
1,12,9,3.63526,0,All,-1,0
1,12,10,3.41034,0,All,-1,0
1,12,11,2.21756,0,All,-1,0
1,12,1,-6.59616,1,All,-1,0
1,12,2,-2.81117,1,All,-1,0
1,12,3,-3.50675,1,All,-1,0
1,12,4,-0.651853,1,All,-1,0
1,12,5,2.40421,0,All,-1,0
1,12,6,3.05111,0,All,-1,0
1,12,12,1.58896,0,All,-1,0
1,12,13,1.68851,0,All,-1,0
1,12,14,-3.83605,1,All,-1,0
1,13,0,-8.90951,1,All,-1,0
1,13,4,0.746345,0,All,-1,0
1,13,5,2.01341,0,All,-1,0
1,13,6,0.45965,0,All,-1,0
1,13,7,1.84755,0,All,-1,0
1,13,8,1.20272,0,All,-1,0
1,13,9,0.219959,0,All,-1,0
1,13,10,0.545737,0,All,-1,0
1,13,12,0.398327,0,All,-1,0
1,13,13,-0.650178,1,All,-1,0
1,13,14,-0.110336,0,All,-1,0
1,13,-1,-11.2422,1,All,-1,0
1,13,1,-12.0541,1,All,-1,0
1,13,2,-3.11888,1,All,-1,0
1,13,3,-0.354309,1,All,-1,0
1,13,11,0.954373,0,All,-1,0
1,14,0,-6.00482,1,All,-1,0
1,14,1,-4.71721,1,All,-1,0
1,14,3,9.03182,0,All,-1,0
1,14,4,-0.0577771,0,All,-1,0
1,14,5,1.46745,0,All,-1,0
1,14,6,1.25641,0,All,-1,0
1,14,7,0.397941,0,All,-1,0
1,14,8,0.826347,0,All,-1,0
1,14,9,-0.159594,0,All,-1,0
1,14,10,0.634673,0,All,-1,0
1,14,-1,-12.5977,1,All,-1,0
1,14,2,2.2349,0,All,-1,0
1,14,11,0.601122,0,All,-1,0
1,14,12,-0.865194,1,All,-1,0
1,14,13,-0.498231,1,All,-1,0
1,14,14,1.15274,0,All,-1,0
1,15,1,-4.97779,1,All,-1,0
1,15,5,0.584347,0,All,-1,0
1,15,6,0.383096,0,All,-1,0
1,15,7,3.15117,0,All,-1,0
1,15,8,4.57516,0,All,-1,0
1,15,9,1.28114,0,All,-1,0
1,15,10,2.20677,0,All,-1,0
1,15,12,3.75188,0,All,-1,0
1,15,13,-1.2058,1,All,-1,0
1,15,-1,1.4351,0,All,-1,0
1,15,0,-4.80195,1,All,-1,0
1,15,2,-9.69657,1,All,-1,0
1,15,3,-2.93865,1,All,-1,0
1,15,4,-4.8273,1,All,-1,0
1,15,11,2.38767,0,All,-1,0
1,15,14,0.299417,0,All,-1,0
1,16,0,-10.5437,1,All,-1,0
1,16,1,-2.55335,1,All,-1,0
1,16,3,-0.473959,1,All,-1,0
1,16,4,-0.429072,1,All,-1,0
1,16,5,3.55274,0,All,-1,0
1,16,6,2.82031,0,All,-1,0
1,16,7,0.825853,0,All,-1,0
1,16,8,0.750147,0,All,-1,0
1,16,9,-0.139017,0,All,-1,0
1,16,10,-0.494022,1,All,-1,0
1,16,11,1.16936,0,All,-1,0
1,16,12,-1.82513,1,All,-1,0
1,16,13,-2.12691,1,All,-1,0
1,16,14,-1.66688,1,All,-1,0
1,16,-1,-2.32935,1,All,-1,0
1,16,2,0.475264,0,All,-1,0
1,17,-1,-3.18729,1,All,-1,0
1,17,0,-13.5769,1,All,-1,0
1,17,1,-12.5261,1,All,-1,0
1,17,2,-5.55547,1,All,-1,0
1,17,3,-7.25537,1,All,-1,0
1,17,4,2.66351,0,All,-1,0
1,17,5,0.16336,0,All,-1,0
1,17,6,6.07106,0,All,-1,0
1,17,7,1.62892,0,All,-1,0
1,17,8,1.36003,0,All,-1,0
1,17,9,-0.235577,0,All,-1,0
1,17,10,0.725563,0,All,-1,0
1,17,11,-0.275839,0,All,-1,0
1,17,12,-0.637971,1,All,-1,0
1,17,13,-2.14595,1,All,-1,0
1,17,14,-5.46213,1,All,-1,0
1,18,-1,-13.1526,1,All,-1,0
1,18,0,-12.8541,1,All,-1,0
1,18,1,-6.29836,1,All,-1,0
1,18,4,-1.28159,1,All,-1,0
1,18,5,0.617229,0,All,-1,0
1,18,6,1.49694,0,All,-1,0
1,18,7,1.86048,0,All,-1,0
1,18,8,3.51963,0,All,-1,0
