id,beta_exp_SAEM,delta0_SAEM,p_SAEM,td_SAEM,b_exp_SAEM,h_0_SAEM,tc_SAEM,sigma_SAEM,phi_exp_SAEM,rho_exp_SAEM,alpha_exp_SAEM,beta_exp_mean,delta0_mean,p_mean,td_mean,b_exp_mean,h_0_mean,tc_mean,sigma_mean,phi_exp_mean,rho_exp_mean,alpha_exp_mean,beta_exp_mode,delta0_mode,p_mode,td_mode,b_exp_mode,h_0_mode,tc_mode,sigma_mode,phi_exp_mode,rho_exp_mode,alpha_exp_mode,beta_exp_sd,delta0_sd,p_sd,td_sd,b_exp_sd,h_0_sd,tc_sd,sigma_sd,phi_exp_sd,rho_exp_sd,alpha_exp_sd
7,-3.10541,3.5938,2.30386,1.12934,-5.00798,1.04204,8.32098,0.45208,-2.14977,-0.617413,-3.73633,-2.9592,3.88441,2.30255,1.07824,-5.19628,1.0602,8.26899,0.413695,-2.15276,-0.535042,-3.76569,-2.98914,3.66511,2.31599,1.00315,-5.21379,1.05838,8.21857,0.416519,-2.15276,-0.580609,-3.66118,0.374882,1.89027,0.203562,0.404158,0.486114,0.0586097,1.57216,0.114358,0,0.305871,0.256058
8,-3.79298,0.386291,2.97633,2.52929,-1.04945,0.455447,4.38182,0.359097,-2.14977,-3.13819,-3.85677,-3.73312,0.364133,2.96371,2.57446,-0.977506,0.445809,3.99907,0.328311,-2.15276,-3.30141,-3.82856,-3.88372,0.310515,3.107,2.73095,-0.968782,0.440681,3.98797,0.349884,-2.15276,-3.27701,-3.86301,0.266181,0.144863,0.252047,0.137947,0.240189,0.0377945,1.60196,0.0646559,0,0.288205,0.246596
9,-3.38459,1.14936,2.7557,1.54532,-2.52087,0.610321,4.94129,0.309022,-2.14977,-2.38605,-3.76066,-3.39432,0.962209,2.70601,1.58968,-2.26351,0.577569,4.35945,0.313218,-2.15276,-2.4321,-3.7801,-3.50141,0.738103,2.76188,1.57826,-2.26044,0.562116,4.1279,0.290873,-2.15276,-2.4567,-3.91919,0.344653,0.746845,0.259165,0.266011,1.00232,0.141016,2.5002,0.0889479,0,0.581854,0.221975
10,-3.53022,1.57445,3.27764,1.34642,-1.77612,0.54106,8.81635,0.562872,-2.14977,-2.66728,-3.73705,-3.50249,1.54988,3.2731,1.3515,-1.78059,0.540163,8.75204,0.544796,-2.15276,-2.69043,-3.72175,-3.54932,1.49323,3.29845,1.374,-1.78369,0.540946,8.81076,0.531555,-2.15276,-2.64676,-3.73911,0.217721,0.40117,0.222841,0.0649219,0.325536,0.0518062,1.00378,0.108631,0,0.302329,0.219735
11,-4.30476,0.360413,3.1822,1.71241,-0.826256,0.440711,4.99001,0.620681,-2.14977,-2.89935,-3.61804,-4.33233,0.373444,3.17501,1.6888,-0.873524,0.450258,5.11357,0.645665,-2.15276,-2.8154,-3.65197,-4.28896,0.318527,3.18367,1.72388,-0.844835,0.437174,5.19452,0.617101,-2.15276,-2.77028,-3.65581,0.28907,0.15533,0.242462,0.119561,0.323682,0.0445493,1.10847,0.136466,0,0.381479,0.239406
12,-3.32526,0.336675,1.56389,4.17112,-1.19964,0.50305,0.964704,0.209713,-2.14977,-2.73031,-3.26457,-3.32205,0.32547,1.56519,4.15902,-1.19972,0.500131,1.17034,0.22225,-2.15276,-2.68,-3.2963,-3.32226,0.323283,1.61243,4.2522,-1.20345,0.501771,0.979525,0.216569,-2.15276,-2.73822,-3.3043,0.265448,0.0842425,0.241932,0.145223,0.203093,0.0422148,0.700256,0.0393137,0,0.274681,0.234219
13,-2.57088,8.57592,3.02035,0.626857,-5.32779,0.919774,11.3253,0.494443,-2.14977,-1.10916,-3.5463,-2.61722,7.85321,3.01638,0.646108,-5.31575,0.922592,11.2712,0.495757,-2.15276,-1.13583,-3.54001,-2.62239,7.0303,3.01279,0.635392,-5.29663,0.919211,11.2251,0.469681,-2.15276,-1.16109,-3.54822,0.181711,3.99933,0.283923,0.143441,0.363383,0.0432311,0.442072,0.0835394,0,0.10809,0.22748
14,-3.43679,0.742281,2.88518,1.74758,-1.65396,0.551167,3.62327,0.303476,-2.14977,-2.77053,-3.77281,-3.4733,0.76054,2.91437,1.70639,-1.80145,0.571136,3.64593,0.312556,-2.15276,-2.65573,-3.72467,-3.50153,0.69655,2.88445,1.74786,-1.78376,0.570166,3.48032,0.29197,-2.15276,-2.6013,-3.75328,0.280906,0.296433,0.254303,0.147307,0.511246,0.0807531,1.43122,0.0659683,0,0.428578,0.257589
15,-3.68403,4.30266,2.96582,2.27939,-3.15722,0.7363,11.4862,1.49722,-2.14977,-1.41819,-3.67102,-3.67046,4.18309,2.93475,2.25285,-3.14839,0.735591,11.4537,1.48133,-2.15276,-1.4075,-3.69536,-3.62667,3.81054,2.90391,2.37334,-3.17829,0.739594,11.474,1.46468,-2.15276,-1.36431,-3.67522,0.303116,1.78489,0.263183,0.319825,0.572547,0.0879731,0.300221,0.374681,0,0.347837,0.263243
16,-3.1965,0.581138,2.30023,1.09093,-4.17282,0.835265,2.14986,0.126038,-2.14977,-1.5571,-3.83819,-3.17852,0.6741,2.29714,1.07503,-4.22712,0.843062,2.85148,0.139448,-2.15276,-1.42428,-3.8341,-3.17303,0.537554,2.23184,1.02473,-4.16246,0.834634,2.07481,0.115866,-2.15276,-1.36456,-3.96162,0.210223,0.506965,0.22664,0.339105,0.664588,0.0916976,2.70418,0.0515328,0,0.463098,0.2171
