id,eta_beta_exp_SAEM,eta_delta0_SAEM,eta_p_SAEM,eta_td_SAEM,eta_b_exp_SAEM,eta_h_0_SAEM,eta_tc_SAEM,eta_sigma_SAEM,eta_phi_exp_SAEM,eta_rho_exp_SAEM,eta_alpha_exp_SAEM,eta_beta_exp_mean,eta_delta0_mean,eta_p_mean,eta_td_mean,eta_b_exp_mean,eta_h_0_mean,eta_tc_mean,eta_sigma_mean,eta_phi_exp_mean,eta_rho_exp_mean,eta_alpha_exp_mean,eta_beta_exp_mode,eta_delta0_mode,eta_p_mode,eta_td_mode,eta_b_exp_mode,eta_h_0_mode,eta_tc_mode,eta_sigma_mode,eta_phi_exp_mode,eta_rho_exp_mode,eta_alpha_exp_mode,eta_beta_exp_sd,eta_delta0_sd,eta_p_sd,eta_td_sd,eta_b_exp_sd,eta_h_0_sd,eta_tc_sd,eta_sigma_sd,eta_phi_exp_sd,eta_rho_exp_sd,eta_alpha_exp_sd
7,0.430673,1.23509,-0.443326,-0.456055,-2.49145,0.522536,0.867769,0.0734403,0,1.57297,-0.0161354,0.576702,1.30038,-0.440168,-0.520005,-2.66265,0.534315,0.817252,-0.0161137,0,1.62505,-0.0442607,0.546763,1.36868,-0.426723,-0.519841,-2.68016,0.53413,0.723053,0.0264354,0,1.57948,0.0602484,0.374882,0.517868,0.203562,0.386223,0.486114,0.0553776,0.665539,0.264763,0,0.305871,0.256058
8,-0.256896,-0.983711,0.22915,0.397886,1.46708,-0.309701,-0.643341,-0.132137,0,-0.947811,-0.136572,-0.197216,-1.02006,0.22099,0.421202,1.55612,-0.33409,-0.825295,-0.230594,0,-1.14132,-0.107134,-0.347823,-1.0997,0.364283,0.481664,1.56484,-0.342046,-0.750903,-0.147897,0,-1.11693,-0.141586,0.266181,0.404676,0.252047,0.0541414,0.240189,0.0851911,0.677525,0.195048,0,0.288205,0.246596
9,0.151497,-0.045652,0.00851248,-0.10511,-0.00433885,-0.0358899,-0.500147,-0.305541,0,-0.195673,-0.0404673,0.141576,-0.235811,-0.0367108,-0.0763815,0.270113,-0.0992173,-0.748596,-0.297668,0,-0.272016,-0.0586768,0.0344935,-0.233851,0.0191647,-0.0666632,0.27319,-0.0986601,-0.698799,-0.33261,0,-0.296607,-0.197757,0.344653,0.725726,0.259165,0.193654,1.00232,0.231237,1.03845,0.280119,0,0.581854,0.221975
10,0.00586829,0.493495,0.530455,-0.230256,0.740409,-0.136983,1.04196,0.310865,0,-0.476897,-0.0168562,0.033414,0.480326,0.530378,-0.222985,0.753032,-0.14315,0.980753,0.275469,0,-0.530345,-0.00032363,-0.0134206,0.470765,0.555735,-0.205255,0.749936,-0.137049,0.962948,0.270309,0,-0.48667,-0.0176802,0.217721,0.22668,0.222841,0.0500679,0.325536,0.0968277,0.4375,0.197305,0,0.302329,0.219735
11,-0.768672,-1.0412,0.435012,0.0099967,1.69028,-0.340305,-0.376719,0.41303,0,-0.708971,0.102155,-0.796425,-1.00582,0.432291,-0.00158799,1.6601,-0.325414,-0.366473,0.443243,0,-0.655312,0.0694564,-0.753064,-1.07423,0.440953,0.0215926,1.68879,-0.350037,-0.323365,0.419536,0,-0.610195,0.0656206,0.28907,0.439995,0.242462,0.0732375,0.323682,0.0986039,0.408881,0.206362,0,0.381479,0.239406
12,0.210827,-1.06884,-1.1833,0.901294,1.31689,-0.208408,-2.60994,-0.675927,0,-0.539936,0.455619,0.213854,-1.08631,-1.17753,0.901675,1.33391,-0.219031,-2.44042,-0.617204,0,-0.519912,0.425132,0.213641,-1.05941,-1.13029,0.924451,1.33018,-0.212224,-2.47368,-0.627587,0,-0.578131,0.417123,0.265448,0.261743,0.241932,0.035391,0.203093,0.0839588,0.640933,0.176302,0,0.274681,0.234219
13,0.965206,2.11923,0.273164,-1.01967,-2.81126,0.398383,2.97064,0.191832,0,1.08122,0.173894,0.918676,2.015,0.273668,-0.985362,-2.78213,0.395707,2.8699,0.18579,0,1.02426,0.181419,0.913513,2.02005,0.270073,-0.976498,-2.763,0.393148,2.61993,0.146555,0,0.998996,0.173212,0.181711,0.47616,0.283923,0.230011,0.363383,0.0472895,0.674115,0.174579,0,0.10809,0.22748
14,0.0992901,-0.294319,0.138001,0.0298549,0.862571,-0.118194,-0.929128,-0.301733,0,-0.580154,-0.0526169,0.0626026,-0.282891,0.171655,0.00735531,0.732178,-0.0926751,-0.962981,-0.283802,0,-0.495643,-0.00323755,0.0343744,-0.291795,0.141738,0.0354071,0.749868,-0.0844405,-0.948494,-0.328847,0,-0.441211,-0.0318481,0.280906,0.406651,0.254303,0.0918739,0.511246,0.140884,0.640495,0.217654,0,0.428578,0.257589
15,-0.147941,1.43511,0.218636,0.289067,-0.640684,0.170576,3.2603,1.28464,0,0.772192,0.0491691,-0.134556,1.41534,0.192031,0.278014,-0.614759,0.162955,3.14371,1.2632,0,0.752584,0.0260663,-0.0907738,1.40759,0.161195,0.341313,-0.644665,0.175734,3.02934,1.28389,0,0.795782,0.0462079,0.303116,0.413061,0.263183,0.15405,0.572547,0.122236,0.604308,0.254693,0,0.347837,0.263243
16,0.339586,-0.679419,-0.446957,-0.498363,-1.65629,0.293496,-1.93699,-1.22764,0,0.633278,-0.117994,0.357382,-0.53645,-0.445581,-0.49852,-1.6935,0.300356,-1.64284,-1.13024,0,0.735813,-0.112669,0.362869,-0.550905,-0.510877,-0.498557,-1.62883,0.296625,-1.61845,-1.25306,0,0.795524,-0.240187,0.210223,0.615263,0.22664,0.308041,0.664588,0.114362,1.39989,0.350002,0,0.463098,0.2171
