rep,id,beta_exp,delta0,p,td,b_exp,h_0,tc,sigma,phi_exp,rho_exp,alpha_exp
1,7,-2.39562,4.5934,2.36497,0.93474,-6.05164,1.14567,11.5048,0.58461,-2.15276,-0.00485485,-4.14647
2,7,-3.26337,3.00176,2.31031,1.3155,-4.83976,1.03662,8.79368,0.437147,-2.15276,-0.887459,-3.93382
3,7,-3.29354,3.36129,2.35247,0.903863,-4.80441,1.00829,9.45486,0.484383,-2.15276,-0.724298,-3.58557
4,7,-3.08709,2.9513,2.12108,0.926459,-4.98245,1.06203,8.3084,0.342657,-2.15276,-0.794016,-3.93833
5,7,-3.03033,4.55834,2.33007,1.20759,-5.16069,1.07628,8.00942,0.447225,-2.15276,-0.20234,-3.77706
6,7,-2.23451,6.91152,2.17086,0.656715,-5.79273,1.12568,9.33203,0.312591,-2.15276,-0.404967,-4.00334
7,7,-3.2905,2.87646,2.56866,0.871262,-5.35011,1.08331,8.39751,0.396855,-2.15276,-0.751752,-3.10935
8,7,-2.96316,5.82579,2.38993,1.97821,-4.7051,0.959028,10.2637,0.701636,-2.15276,-0.57792,-3.87305
9,7,-3.09249,1.39902,1.96413,1.20176,-4.60152,0.989187,6.58728,0.303339,-2.15276,-0.819602,-4.02751
10,7,-3.38837,2.23588,2.43338,1.455,-4.67048,0.977081,8.33237,0.439853,-2.15276,-0.856981,-3.73331
1,8,-3.99216,0.247682,3.12575,2.61599,-1.26118,0.487332,1.56147,0.228599,-2.15276,-3.37734,-3.60764
2,8,-3.86195,0.330598,3.07772,2.45379,-0.44715,0.392701,5.12761,0.434875,-2.15276,-3.25946,-3.79031
3,8,-3.30115,0.66874,2.90675,2.80237,-0.808321,0.42138,6.9298,0.430972,-2.15276,-3.42592,-3.83978
4,8,-4.05652,0.281514,3.05838,2.61935,-1.12144,0.495225,3.04385,0.272779,-2.15276,-3.04606,-3.77627
5,8,-3.81827,0.281794,2.9753,2.66179,-0.77703,0.412394,4.26915,0.368376,-2.15276,-3.44829,-3.94252
6,8,-4.10162,0.174295,2.81058,2.586,-0.82956,0.453336,3.30927,0.352362,-2.15276,-3.02537,-3.7969
7,8,-3.89352,0.495175,2.96472,2.4519,-1.33375,0.510165,5.18436,0.31114,-2.15276,-2.86367,-3.9101
8,8,-3.2907,0.521708,2.95184,2.7389,-1.05683,0.426671,6.28951,0.411392,-2.15276,-3.23975,-4.08722
9,8,-3.48552,0.333549,2.72017,2.73878,-1.26432,0.51029,0.737376,0.194512,-2.15276,-3.63432,-4.36735
10,8,-3.7247,0.697532,3.1203,2.51587,-0.794081,0.413718,6.70455,0.393956,-2.15276,-3.23313,-3.51702
1,9,-3.40275,0.314951,2.68962,1.76579,-1.37024,0.456778,0.646214,0.161241,-2.15276,-3.31602,-3.71155
2,9,-3.05195,2.94952,2.60018,1.07556,-4.02198,0.833323,7.76861,0.308808,-2.15276,-1.52208,-4.32746
3,9,-3.89797,0.218995,2.87535,1.69471,-1.50271,0.462547,0.957339,0.253264,-2.15276,-2.77453,-3.33707
4,9,-3.74134,1.51104,3.27813,1.49305,-2.14336,0.501266,6.75423,0.531227,-2.15276,-2.59098,-3.47548
5,9,-3.04633,0.952557,2.82852,1.41819,-3.00377,0.62518,5.04197,0.248931,-2.15276,-2.33942,-3.89254
6,9,-3.5363,0.49707,2.78562,1.75955,-1.23692,0.437658,2.45928,0.294217,-2.15276,-2.9962,-4.01527
7,9,-3.23014,2.5298,2.96655,1.2766,-4.01436,0.816808,8.78798,0.365806,-2.15276,-1.72957,-3.89091
8,9,-3.99048,0.247004,2.99508,1.64233,-1.57775,0.472995,2.29698,0.326728,-2.15276,-2.96932,-3.58678
9,9,-3.49364,0.648016,2.7854,1.72841,-1.65321,0.492995,5.50055,0.369712,-2.15276,-2.52621,-3.47398
10,9,-3.13647,1.78128,2.46847,1.68248,-2.53283,0.633219,6.0838,0.314893,-2.15276,-1.82843,-3.80335
1,10,-3.15729,1.0671,2.91518,1.21016,-2.45026,0.638785,6.24736,0.274901,-2.15276,-2.38322,-3.95438
2,10,-3.33863,1.84894,3.37249,1.40352,-1.47553,0.473598,9.57487,0.742772,-2.15276,-3.29787,-4.04068
3,10,-3.70885,2.23003,3.18876,1.17826,-2.35932,0.625297,8.43089,0.631013,-2.15276,-1.90464,-3.98134
4,10,-3.2739,1.27684,3.36425,1.43937,-1.73827,0.511343,7.9409,0.448815,-2.15276,-2.75205,-3.56734
5,10,-3.51737,2.39545,3.2235,1.34331,-1.72665,0.532041,8.74254,0.588073,-2.15276,-2.30487,-3.91066
6,10,-3.66564,1.01935,3.1829,1.32856,-1.8997,0.551703,8.82095,0.432399,-2.15276,-2.59927,-3.56985
7,10,-3.62565,1.2737,3.37913,1.36951,-1.95377,0.561703,9.26887,0.532916,-2.15276,-2.63425,-3.69585
8,10,-3.54074,1.16313,3.50096,1.40003,-1.64759,0.509151,10.6223,0.588296,-2.15276,-3.25905,-3.61923
